==RUN-0==
ETask 87: Configuration:44 Energy:21.00 Power:21.00 Reward:21.00 Time:4997
ETask 88: Configuration:38 Energy:21.00 Power:21.00 Reward:21.00 Time:4998
ETask 89: Configuration:40 Energy:16.00 Power:16.00 Reward:16.00 Time:4999
ETask 90: Configuration:40 Energy:17.00 Power:17.00 Reward:17.00 Time:4998
ETask 91: Configuration:40 Energy:21.00 Power:21.00 Reward:21.00 Time:4997
ETask 92: Configuration:40 Energy:16.00 Power:16.00 Reward:16.00 Time:4998
ETask 93: Configuration:40 Energy:16.00 Power:16.00 Reward:16.00 Time:4998
ETask 94: Configuration:40 Energy:17.00 Power:17.00 Reward:17.00 Time:4998
ETask 95: Configuration:40 Energy:17.00 Power:17.00 Reward:17.00 Time:4998
ETask 96: Configuration:40 Energy:16.00 Power:16.00 Reward:16.00 Time:4999
ETask 97: Configuration:40 Energy:17.00 Power:17.00 Reward:17.00 Time:4997
ETask 98: Configuration:40 Energy:17.00 Power:17.00 Reward:17.00 Time:4998
ETask 99: Configuration:40 Energy:16.00 Power:16.00 Reward:16.00 Time:4998
ETask 100: Configuration:40 Energy:21.00 Power:21.00 Reward:21.00 Time:4998
ETask 101: Configuration:40 Energy:17.00 Power:17.00 Reward:17.00 Time:4998
ETask 102: Configuration:40 Energy:20.00 Power:20.00 Reward:20.00 Time:4998
ETask 103: Configuration:40 Energy:21.00 Power:21.00 Reward:21.00 Time:4998
ETask 104: Configuration:40 Energy:21.00 Power:21.00 Reward:21.00 Time:4997
ETask 105: Configuration:40 Energy:21.00 Power:21.00 Reward:21.00 Time:4998
ETask 106: Configuration:40 Energy:21.00 Power:21.00 Reward:21.00 Time:4997
ETask 107: Configuration:40 Energy:21.00 Power:21.00 Reward:21.00 Time:4998
ETask 108: Configuration:40 Energy:21.00 Power:21.00 Reward:21.00 Time:4998
ETask 109: Configuration:40 Energy:21.00 Power:21.00 Reward:21.00 Time:4998
ETask 110: Configuration:40 Energy:21.00 Power:21.00 Reward:21.00 Time:4998
ETask 111: Configuration:40 Energy:20.00 Power:20.00 Reward:20.00 Time:4995
ETask 112: Configuration:40 Energy:20.00 Power:20.00 Reward:20.00 Time:4997
ETask 113: Configuration:40 Energy:20.00 Power:20.00 Reward:20.00 Time:4998
ETask 114: Configuration:40 Energy:20.00 Power:20.00 Reward:20.00 Time:4997
ETask 115: Configuration:40 Energy:21.00 Power:21.00 Reward:21.00 Time:4998
ETask 116: Configuration:40 Energy:20.00 Power:20.00 Reward:20.00 Time:4998
ETask 117: Configuration:40 Energy:21.00 Power:21.00 Reward:21.00 Time:4997
ETask 118: Configuration:40 Energy:21.00 Power:21.00 Reward:21.00 Time:4997
ETask 119: Configuration:40 Energy:21.00 Power:21.00 Reward:21.00 Time:5000
ETask 120: Configuration:40 Energy:20.00 Power:20.00 Reward:20.00 Time:4998
ETask 121: Configuration:40 Energy:21.00 Power:21.00 Reward:21.00 Time:4998
ETask 122: Configuration:40 Energy:21.00 Power:21.00 Reward:21.00 Time:4998
ETask 123: Configuration:40 Energy:20.00 Power:20.00 Reward:20.00 Time:4997
ETask 124: Configuration:40 Energy:20.00 Power:20.00 Reward:20.00 Time:4998
ETask 125: Configuration:40 Energy:21.00 Power:21.00 Reward:21.00 Time:4999
ETask 126: Configuration:40 Energy:20.00 Power:20.00 Reward:20.00 Time:4997
ETask 127: Configuration:40 Energy:20.00 Power:20.00 Reward:20.00 Time:4998
ETask 128: Configuration:40 Energy:21.00 Power:21.00 Reward:21.00 Time:4998
ETask 129: Configuration:40 Energy:20.00 Power:20.00 Reward:20.00 Time:4998
ETask 130: Configuration:40 Energy:20.00 Power:20.00 Reward:20.00 Time:4999
ETask 131: Configuration:40 Energy:21.00 Power:21.00 Reward:21.00 Time:4997
ERun: Reward:2425.00 PostConfigReward:2362.00 Time:610352
