task	r0_energy	r0_config	r1_energy	r1_config	r2_energy	r2_config	r3_energy	r3_config	r4_energy	r4_config	r5_energy	r5_config
0	56.1	0	49.89	0	38.67	0	35.44	0	38.66	0	36.55	0
1	39.18	0	51.01	0	43.64	0	35.07	0	39.2	0	35.89	0
2	39.74	1	49.72	1	67.03	1	37.88	1	41.08	1	40.46	1
3	84.73	1	69.71	1	64.42	1	48.54	1	46.66	1	64.35	1
4	37.9	2	36.69	2	54.06	2	78.29	2	65.91	2	37.9	2
5	109.73	2	67.85	2	90.65	2	78.59	2	61.44	2	81.24	2
6	87.17	3	83.01	3	94.54	3	82.35	3	64.69	3	68.22	3
7	96.82	3	78.2	3	81.55	3	70.31	3	66.82	3	69.08	3
8	96.63	0	68.53	0	66.85	2	70.32	0	69.94	0	77.54	0
9	34.77	2	38.86	2	66.56	0	70.93	1	35.15	1	39.95	0
10	84.88	2	67.84	2	37.6	0	68.81	0	49.18	1	66.27	0
11	76.17	1	65.21	2	34.9	0	62.88	0	79.66	1	79.46	0
12	68.42	0	67.69	2	35.31	0	38.83	1	65.75	0	64.85	1
13	45.39	1	66.08	0	34.91	0	64.6	1	49.45	1	36.9	0
14	79.85	1	35.68	2	40.26	0	65.7	1	49.45	3	41.36	0
15	79.86	0	69.03	2	44.31	3	49.46	1	36.37	1	35.9	0
16	93.03	1	65.29	2	78.43	0	63.69	1	76.1	1	49.12	0
17	91.98	2	68.5	2	66.21	0	36.46	0	64.12	1	50.66	0
18	93.51	0	68.04	2	62.02	0	34.01	0	36.12	1	50.01	0
19	36.86	1	75.29	0	65.47	0	37.59	0	64.37	1	49.86	0
20	66.17	2	51.9	2	61.7	0	35.46	0	48.1	1	47.49	0
21	64.97	3	82.93	2	34.91	0	34.85	0	83.38	1	47.48	0
22	71.77	1	82.95	1	35.19	0	35.14	0	83.61	0	48.23	0
23	46.74	0	81.16	2	35.23	0	35.34	0	35.12	1	45.71	0
24	33.79	1	81.37	2	34.97	0	37.76	0	37.25	1	39.6	0
25	36.62	1	66.74	0	35.01	2	38.97	0	37.28	1	82.82	0
26	39.16	1	65.01	0	78.38	0	41.08	0	64.9	1	36.06	0
27	64.71	1	63.52	2	62.42	0	49.76	0	70.43	1	66.66	0
28	35.87	1	65.09	0	62.4	2	48.83	0	37.05	1	93.99	0
