task	r0_energy	r0_config	r1_energy	r1_config	r2_energy	r2_config
0	56.1	0	49.89	0	38.67	0
1	39.18	0	51.01	0	43.64	0
2	39.74	1	49.72	1	67.03	1
3	84.73	1	69.71	1	64.42	1
4	37.9	2	36.69	2	54.06	2
5	109.73	2	67.85	2	90.65	2
6	87.17	3	83.01	3	94.54	3
7	96.82	3	78.2	3	81.55	3
8	96.63	0	68.53	0	66.85	2
9	34.77	2	38.86	2	66.56	0
10	84.88	2	67.84	2	37.6	0
11	76.17	1	65.21	2	34.9	0
12	68.42	0	67.69	2	35.31	0
13	45.39	1	66.08	0	34.91	0
14	79.85	1	35.68	2	40.26	0
15	79.86	0	69.03	2	44.31	3
16	93.03	1	65.29	2	78.43	0
17	91.98	2	68.5	2	66.21	0
18	93.51	0	68.04	2	62.02	0
19	36.86	1	75.29	0	65.47	0
20	66.17	2	51.9	2	61.7	0
21	64.97	3	82.93	2	34.91	0
22	71.77	1	82.95	1	35.19	0
23	46.74	0	81.16	2	35.23	0
24	33.79	1	81.37	2	34.97	0
25	36.62	1	66.74	0	35.01	2
26	39.16	1	65.01	0	78.38	0
27	64.71	1	63.52	2	62.42	0
28	35.87	1	65.09	0	62.4	2
