task	r0_energy	r0_config	r1_energy	r1_config
0	44.72	0	38.8	0
1	35.54	0	48.37	0
2	35.89	1	48.37	1
3	115.49	1	67.93	1
4	81.93	2	74.81	2
5	77.94	2	81.41	2
6	100.09	3	110.25	3
7	78.15	3	84.78	3
8	93.52	0	73.48	0
9	75.2	0	30.76	0
10	58.22	0	35.46	0
11	103.82	0	35.99	0
12	77.58	0	62.94	0
13	77.54	0	55.21	0
14	46.04	0	48.35	0
15	36.21	0	48.94	0
16	36.3	0	41.39	0
17	53.82	0	39.7	0
18	36.21	0	51.05	0
19	36.21	0	67.3	0
20	57.56	0	64.87	0
21	40.36	3	66.43	0
22	68.57	0	51.53	0
23	73.81	3	47.99	0
24	77.91	3	34.5	0
25	81.89	0	34.78	0
26	35.09	0	35.07	0
27	81.3	0	34.43	0
28	71.44	0	37.48	0
29	40.72	0	51.43	0
30	36.75	0	38.52	0
31	97.6	0	66.01	0
32	50.35	0	75.71	0
33	51.25	0	79.09	0
34	118.28	0	73.38	0
35	41.48	0	62.42	0
36	41.5	0	34.51	0
37	92.88	0	35.13	0
38	70.27	0	34.4	0
39	73.71	0	34.76	0
40	48.63	0	34.87	0
41	35.79	0	48.03	0
42	35.57	0	48.03	0
43	39.76	0	38.26	0
44	38.12	0	51.93	0
45	36.64	0	63.76	0
46	36.46	0	34.68	0
47	40.16	0	34.53	0
48	40.92	3	47.91	0
