==RUN 0==
STOKE: Start Bat: 0.720000
ELocation 56: Diff:-10 ms Accuracy:3.00
ELocation 57: Diff:4506 ms Accuracy:3.00
ELocation 58: Diff:2000 ms Accuracy:3.00
ELocation 59: Diff:2000 ms Accuracy:3.00
ELocation 60: Diff:2000 ms Accuracy:3.00
ELocation 61: Diff:2000 ms Accuracy:3.00
ELocation 62: Diff:2000 ms Accuracy:3.00
ELocation 63: Diff:3000 ms Accuracy:3.00
ELocation 64: Diff:3000 ms Accuracy:3.00
ELocation 65: Diff:2000 ms Accuracy:3.00
ELocation 66: Diff:2000 ms Accuracy:3.00
ELocation 67: Diff:3000 ms Accuracy:3.00
ELocation 68: Diff:2000 ms Accuracy:3.00
ETask 16: Configuration:2 Energy:0.00 Power:0.00 Reward:77.94 Time:30003 -- SAMPLE
ELocation 69: Diff:3000 ms Accuracy:3.00
ELocation 70: Diff:3000 ms Accuracy:3.00
ELocation 71: Diff:3000 ms Accuracy:3.00
ELocation 72: Diff:2000 ms Accuracy:3.00
ELocation 73: Diff:2000 ms Accuracy:3.00
ELocation 74: Diff:2000 ms Accuracy:3.00
ELocation 75: Diff:3000 ms Accuracy:3.00
ELocation 76: Diff:2000 ms Accuracy:3.00
ELocation 77: Diff:3000 ms Accuracy:3.00
ELocation 78: Diff:2000 ms Accuracy:3.00
ELocation 79: Diff:3000 ms Accuracy:3.00
ELocation 80: Diff:2000 ms Accuracy:3.00
ETask 17: Configuration:3 Energy:0.00 Power:0.00 Reward:100.09 Time:30006 -- SAMPLE
ELocation 81: Diff:2000 ms Accuracy:3.00
ELocation 82: Diff:1000 ms Accuracy:3.00
ELocation 83: Diff:1000 ms Accuracy:3.00
ELocation 84: Diff:1000 ms Accuracy:3.00
ELocation 85: Diff:1000 ms Accuracy:3.00
ELocation 86: Diff:1000 ms Accuracy:3.00
ELocation 87: Diff:1000 ms Accuracy:3.00
ELocation 88: Diff:1000 ms Accuracy:3.00
ELocation 89: Diff:1000 ms Accuracy:3.00
ELocation 90: Diff:1000 ms Accuracy:3.00
ELocation 91: Diff:1000 ms Accuracy:3.00
ELocation 92: Diff:1000 ms Accuracy:3.00
ELocation 93: Diff:1000 ms Accuracy:3.00
ELocation 94: Diff:1000 ms Accuracy:3.00
ELocation 95: Diff:1000 ms Accuracy:3.00
ELocation 96: Diff:1000 ms Accuracy:3.00
ELocation 97: Diff:1000 ms Accuracy:3.00
ELocation 98: Diff:1000 ms Accuracy:3.00
ELocation 99: Diff:1000 ms Accuracy:3.00
ELocation 100: Diff:1000 ms Accuracy:3.00
ELocation 101: Diff:1000 ms Accuracy:3.00
ELocation 102: Diff:1000 ms Accuracy:3.00
ELocation 103: Diff:1000 ms Accuracy:3.00
ELocation 104: Diff:1000 ms Accuracy:3.00
ELocation 105: Diff:1000 ms Accuracy:3.00
ELocation 106: Diff:1000 ms Accuracy:3.00
ELocation 107: Diff:1000 ms Accuracy:3.00
ELocation 108: Diff:1000 ms Accuracy:3.00
ELocation 109: Diff:1000 ms Accuracy:3.00
ELocation 110: Diff:1000 ms Accuracy:3.00
ELocation 111: Diff:1000 ms Accuracy:3.00
ETask 18: Configuration:3 Energy:0.00 Power:0.00 Reward:78.15 Time:30006 -- SAMPLE
ELocation 112: Diff:1000 ms Accuracy:3.00
ELocation 113: Diff:1000 ms Accuracy:3.00
ELocation 114: Diff:1000 ms Accuracy:3.00
ELocation 115: Diff:1000 ms Accuracy:3.00
ELocation 116: Diff:1000 ms Accuracy:3.00
ELocation 117: Diff:1000 ms Accuracy:3.00
ELocation 118: Diff:1000 ms Accuracy:3.00
ELocation 119: Diff:1000 ms Accuracy:3.00
ELocation 120: Diff:1000 ms Accuracy:3.00
ELocation 121: Diff:1000 ms Accuracy:3.00
ELocation 122: Diff:1000 ms Accuracy:3.00
ELocation 123: Diff:1000 ms Accuracy:3.00
ELocation 124: Diff:1000 ms Accuracy:3.00
ELocation 125: Diff:1000 ms Accuracy:3.00
ELocation 126: Diff:1000 ms Accuracy:3.00
ELocation 127: Diff:1000 ms Accuracy:3.00
ELocation 128: Diff:1000 ms Accuracy:3.00
ELocation 129: Diff:1000 ms Accuracy:3.00
ELocation 130: Diff:1000 ms Accuracy:3.00
ELocation 131: Diff:1000 ms Accuracy:3.00
ELocation 132: Diff:1000 ms Accuracy:3.00
ELocation 133: Diff:1000 ms Accuracy:3.00
ELocation 134: Diff:1000 ms Accuracy:3.00
ELocation 135: Diff:1000 ms Accuracy:3.00
ELocation 136: Diff:1000 ms Accuracy:3.00
ELocation 137: Diff:1000 ms Accuracy:3.00
ELocation 138: Diff:1000 ms Accuracy:3.00
ELocation 139: Diff:1000 ms Accuracy:3.00
ELocation 140: Diff:1000 ms Accuracy:3.00
ELocation 141: Diff:1000 ms Accuracy:3.00
ETask 19: Configuration:0 Energy:0.00 Power:0.00 Reward:93.52 Time:30007
ELocation 142: Diff:0 ms Accuracy:3.00
ELocation 143: Diff:0 ms Accuracy:3.00
ELocation 144: Diff:12000 ms Accuracy:37.00
ELocation 145: Diff:11000 ms Accuracy:7.00
ETask 20: Configuration:0 Energy:0.00 Power:0.00 Reward:75.20 Time:30008
ELocation 146: Diff:20000 ms Accuracy:4.00
ETask 21: Configuration:0 Energy:0.00 Power:0.00 Reward:58.22 Time:30016
ELocation 147: Diff:20000 ms Accuracy:4.00
ELocation 148: Diff:10000 ms Accuracy:7.00
ELocation 149: Diff:10000 ms Accuracy:6.00
ETask 22: Configuration:0 Energy:0.00 Power:0.00 Reward:103.82 Time:30016
ELocation 150: Diff:10000 ms Accuracy:5.00
ELocation 151: Diff:20000 ms Accuracy:7.00
ETask 23: Configuration:0 Energy:0.00 Power:0.00 Reward:77.58 Time:30017
ELocation 152: Diff:20000 ms Accuracy:5.00
ELocation 153: Diff:10000 ms Accuracy:3.00
ETask 24: Configuration:0 Energy:0.00 Power:0.00 Reward:77.54 Time:30013
ELocation 154: Diff:10000 ms Accuracy:3.00
ELocation 155: Diff:20000 ms Accuracy:5.00
ETask 25: Configuration:0 Energy:0.00 Power:0.00 Reward:46.04 Time:30015
ELocation 156: Diff:10000 ms Accuracy:12.00
ELocation 157: Diff:10000 ms Accuracy:9.00
ETask 26: Configuration:0 Energy:0.00 Power:0.00 Reward:36.21 Time:30013
ELocation 158: Diff:20000 ms Accuracy:6.00
ELocation 159: Diff:20000 ms Accuracy:4.00
ETask 27: Configuration:0 Energy:0.00 Power:0.00 Reward:36.30 Time:30014
ELocation 160: Diff:20000 ms Accuracy:5.00
ETask 28: Configuration:0 Energy:0.00 Power:0.00 Reward:53.82 Time:30015
ELocation 161: Diff:20000 ms Accuracy:4.00
ELocation 162: Diff:10000 ms Accuracy:13.00
ETask 29: Configuration:0 Energy:0.00 Power:0.00 Reward:36.21 Time:30014
ELocation 163: Diff:20000 ms Accuracy:4.00
ELocation 164: Diff:10000 ms Accuracy:5.00
ELocation 165: Diff:10000 ms Accuracy:3.00
ETask 30: Configuration:0 Energy:0.00 Power:0.00 Reward:36.21 Time:30016
ELocation 166: Diff:20000 ms Accuracy:8.00
ETask 31: Configuration:0 Energy:0.00 Power:0.00 Reward:57.56 Time:30014
ELocation 167: Diff:20000 ms Accuracy:6.00
ELocation 168: Diff:10000 ms Accuracy:3.00
ETask 32: Configuration:3 Energy:0.00 Power:0.00 Reward:40.36 Time:30005
ELocation 169: Diff:10000 ms Accuracy:4.00
ELocation 170: Diff:10000 ms Accuracy:5.00
ELocation 171: Diff:544 ms Accuracy:4.00
ELocation 172: Diff:1456 ms Accuracy:3.00
ELocation 173: Diff:1000 ms Accuracy:3.00
ELocation 174: Diff:1000 ms Accuracy:3.00
ELocation 175: Diff:1000 ms Accuracy:3.00
ELocation 176: Diff:1000 ms Accuracy:3.00
ELocation 177: Diff:1000 ms Accuracy:3.00
ELocation 178: Diff:1000 ms Accuracy:3.00
ELocation 179: Diff:1000 ms Accuracy:3.00
ELocation 180: Diff:1000 ms Accuracy:3.00
ELocation 181: Diff:1000 ms Accuracy:3.00
ELocation 182: Diff:1000 ms Accuracy:3.00
ELocation 183: Diff:1000 ms Accuracy:3.00
ELocation 184: Diff:1000 ms Accuracy:3.00
ELocation 185: Diff:1000 ms Accuracy:3.00
ELocation 186: Diff:1000 ms Accuracy:3.00
ELocation 187: Diff:1000 ms Accuracy:3.00
ELocation 188: Diff:1000 ms Accuracy:3.00
ELocation 189: Diff:1000 ms Accuracy:3.00
ELocation 190: Diff:1000 ms Accuracy:3.00
ELocation 191: Diff:1000 ms Accuracy:3.00
ELocation 192: Diff:1000 ms Accuracy:3.00
ELocation 193: Diff:1000 ms Accuracy:3.00
ELocation 194: Diff:1000 ms Accuracy:3.00
ELocation 195: Diff:1000 ms Accuracy:3.00
ELocation 196: Diff:1000 ms Accuracy:3.00
ELocation 197: Diff:1000 ms Accuracy:3.00
ELocation 198: Diff:1000 ms Accuracy:3.00
ETask 33: Configuration:0 Energy:0.00 Power:0.00 Reward:68.57 Time:30008
ELocation 199: Diff:0 ms Accuracy:3.00
ELocation 200: Diff:0 ms Accuracy:3.00
ELocation 201: Diff:13000 ms Accuracy:3.00
ETask 34: Configuration:3 Energy:0.00 Power:0.00 Reward:73.81 Time:30006
ELocation 202: Diff:10000 ms Accuracy:4.00
ELocation 203: Diff:8044 ms Accuracy:6.00
ELocation 204: Diff:1956 ms Accuracy:4.00
ELocation 205: Diff:1000 ms Accuracy:4.00
