task	r0_energy	r0_config	r0_reward
0	1.4541601360000003	3	1.4541601360000003
1	1.750284096	3	3.204444232
2	1.8666583600000002	3	5.071102592000001
3	0.11273965800000019	3	5.183842250000001
4	1.5772326570000001	3	6.761074907000001
5	1.2543978850000004	3	8.015472792
6	1.612872711	3	9.628345503
7	1.4761404480000002	3	11.104485951000001
8	1.350030243	3	12.454516194
9	1.5822858480000002	3	14.036802042
10	0.06942088000000002	3	14.106222922
11	0.17974379699999998	4	0.17974379699999998
12	0.30882395599999946	4	0.48856775299999944
13	1.1539994450000004	4	1.6425671979999998
14	1.294786188	4	2.937353386
15	1.43014892	4	4.367502306
16	0.08121810599999968	4	4.448720411999999
17	1.4000266440000002	4	5.848747056
18	1.673213684	4	7.52196074
19	1.237082605	4	8.759043345
20	1.6302613559999997	4	10.389304701
21	1.554774596	4	11.944079297
22	0.1463503799999999	5	0.1463503799999999
23	1.0903060260000002	5	1.236656406
24	1.4117282029999998	5	2.648384609
25	1.586890034	5	4.235274643
26	1.9075070520000001	5	6.142781695
27	1.0181862360000002	5	7.160967931
28	0.900392211	5	8.061360142
29	1.470930831	5	9.532290973
30	1.432624033	5	10.964915006
31	1.414599041	5	12.379514047
32	0.3857245100000002	5	12.765238557
33	1.040217471	6	1.040217471
34	1.2831098529999998	6	2.323327324
35	0.93953672	6	3.262864044
36	0.5007619700000001	6	3.763626014
37	1.3492690449999998	6	5.1128950589999995
38	1.084731678	6	6.197626736999999
39	1.3941372980000002	6	7.591764035
40	0.2651389660000003	6	7.856903001
41	1.669402144	6	9.526305145
42	1.536302304	6	11.062607449
43	1.01223499	6	12.074842439
44	1.6347637230000003	7	1.6347637230000003
45	1.333148569	7	2.9679122920000003
46	1.4577245639999998	7	4.425636856000001
47	1.253121408	7	5.678758264000001
48	1.4364755040000003	7	7.115233768000001
49	1.404675204	7	8.519908972000001
50	1.497969234	7	10.017878206
51	1.782497297	7	11.800375503000001
52	1.31519586	7	13.115571363
53	0.4603900519999993	7	13.575961415
54	1.548301664	7	15.124263079
55	1.752591899	7	16.876854978
56	1.473762948	7	18.350617926
57	0.3046537210000002	7	18.655271647000003
58	1.3885106569999996	7	20.043782304000004
59	1.545522341	7	21.589304645000006
60	1.1283183150000002	7	22.717622960000007
61	1.443013994	7	24.160636954000008
62	1.382371349	7	25.543008303000008
