==RUN-0==
ETask 87: Configuration:15 Energy:14.80 Power:14.80 Reward:14.80 Time:4998
ETask 88: Configuration:16 Energy:14.80 Power:14.80 Reward:14.80 Time:4998
ETask 89: Configuration:17 Energy:14.80 Power:14.80 Reward:14.80 Time:5000
ETask 90: Configuration:24 Energy:14.90 Power:14.90 Reward:14.90 Time:4997
ETask 91: Configuration:24 Energy:14.70 Power:14.70 Reward:14.70 Time:4999
ETask 92: Configuration:24 Energy:14.70 Power:14.70 Reward:14.70 Time:4999
ETask 93: Configuration:38 Energy:14.70 Power:14.70 Reward:14.70 Time:4996
ETask 94: Configuration:37 Energy:14.60 Power:14.60 Reward:14.60 Time:4999
ETask 95: Configuration:44 Energy:14.70 Power:14.70 Reward:14.70 Time:4998
ETask 96: Configuration:20 Energy:14.70 Power:14.70 Reward:14.70 Time:4997
ETask 97: Configuration:24 Energy:14.50 Power:14.50 Reward:14.50 Time:4999
ETask 98: Configuration:24 Energy:14.20 Power:14.20 Reward:14.20 Time:4997
ETask 99: Configuration:24 Energy:14.30 Power:14.30 Reward:14.30 Time:4998
ETask 100: Configuration:24 Energy:14.50 Power:14.50 Reward:14.50 Time:4998
ETask 101: Configuration:41 Energy:14.60 Power:14.60 Reward:14.60 Time:4997
ETask 102: Configuration:46 Energy:14.60 Power:14.60 Reward:14.60 Time:4998
ETask 103: Configuration:21 Energy:15.20 Power:15.20 Reward:15.20 Time:4998
ETask 104: Configuration:23 Energy:15.60 Power:15.60 Reward:15.60 Time:4998
ETask 105: Configuration:24 Energy:15.30 Power:15.30 Reward:15.30 Time:4999
ETask 106: Configuration:24 Energy:14.80 Power:14.80 Reward:14.80 Time:4998
ETask 107: Configuration:40 Energy:14.90 Power:14.90 Reward:14.90 Time:4998
ETask 108: Configuration:43 Energy:14.70 Power:14.70 Reward:14.70 Time:4998
ETask 109: Configuration:45 Energy:14.80 Power:14.80 Reward:14.80 Time:4999
ETask 110: Configuration:50 Energy:14.70 Power:14.70 Reward:14.70 Time:4998
ETask 111: Configuration:26 Energy:14.80 Power:14.80 Reward:14.80 Time:4999
ETask 112: Configuration:39 Energy:14.80 Power:14.80 Reward:14.80 Time:4998
ETask 113: Configuration:42 Energy:14.70 Power:14.70 Reward:14.70 Time:5000
ETask 114: Configuration:25 Energy:14.70 Power:14.70 Reward:14.70 Time:4995
ETask 115: Configuration:28 Energy:14.70 Power:14.70 Reward:14.70 Time:4998
ETask 116: Configuration:24 Energy:14.80 Power:14.80 Reward:14.80 Time:4999
ETask 117: Configuration:24 Energy:14.70 Power:14.70 Reward:14.70 Time:4998
ETask 118: Configuration:22 Energy:14.70 Power:14.70 Reward:14.70 Time:4998
ETask 119: Configuration:27 Energy:14.70 Power:14.70 Reward:14.70 Time:4999
ETask 120: Configuration:34 Energy:14.70 Power:14.70 Reward:14.70 Time:4997
ETask 121: Configuration:24 Energy:14.80 Power:14.80 Reward:14.80 Time:4998
ETask 122: Configuration:24 Energy:14.90 Power:14.90 Reward:14.90 Time:4999
ETask 123: Configuration:37 Energy:14.80 Power:14.80 Reward:14.80 Time:4999
ETask 124: Configuration:24 Energy:14.70 Power:14.70 Reward:14.70 Time:4998
ETask 125: Configuration:2 Energy:14.80 Power:14.80 Reward:14.80 Time:4996
ETask 126: Configuration:10 Energy:14.70 Power:14.70 Reward:14.70 Time:4995
ETask 127: Configuration:14 Energy:14.80 Power:14.80 Reward:14.80 Time:4997
ETask 128: Configuration:47 Energy:14.90 Power:14.90 Reward:14.90 Time:4999
ETask 129: Configuration:49 Energy:15.00 Power:15.00 Reward:15.00 Time:4998
ETask 130: Configuration:33 Energy:15.00 Power:15.00 Reward:15.00 Time:4997
ETask 131: Configuration:24 Energy:15.00 Power:15.00 Reward:15.00 Time:4999
ETask 132: Configuration:38 Energy:14.90 Power:14.90 Reward:14.90 Time:4998
ERun: Reward:1782.50 PostConfigReward:1741.20 Time:613306
