energy	drain	deviation	rel	gps_interval	sensor_configuration
821.87	0.02	0.0	0.0%	10000	Everything On
768.92	0.03	0.0	0.0%	5000	Everything On
796.84	0.02	0.0	0.0%	500	Everything On
