energy	drain	gps_interval	sensor_configuration
79.54	0.02	10000	Sensor Off
113.6	0.01	5000	Sensor Off
136.35	0.03	500	Sensor Off
88.62	0.0	10000	Callback Off
114.61	0.03	5000	Callback Off
150.18	0.02	500	Callback Off
172.66	0.03	10000	Everything On
199.88	0.02	5000	Everything On
179.73	0.03	500	Everything On
