energy	drain	gps_interval	sensor_configuration
79.82	0.03	10000	Sensor Off
118.41	0.01	5000	Sensor Off
143.82	0.03	500	Sensor Off
87.47	0.0	10000	Callback Off
115.63	0.03	5000	Callback Off
141.54	0.02	500	Callback Off
169.01	0.03	10000	Everything On
173.87	0.03	5000	Everything On
173.3	0.03	500	Everything On
