energy	drain	gps_interval	sensor_configuration
96.43	0.01	10000	Sensor Off
99.46	0.02	5000	Sensor Off
151.6	0.01	500	Sensor Off
92.23	0.02	10000	Callback Off
117.47	0.02	5000	Callback Off
161.46	0.03	500	Callback Off
143.77	0.01	10000	Everything On
172.04	0.03	5000	Everything On
182.21	0.02	500	Everything On
