energy	drain	gps_interval	sensor_configuration
205.09	0.01	10000	Sensor Off
230.93	0.03	5000	Sensor Off
313.99	0.04	500	Sensor Off
173.22	0.02	10000	Callback Off
218.84	0.03	5000	Callback Off
321.02	0.03	500	Callback Off
321.74	0.03	10000	Everything On
344.39	0.04	5000	Everything On
354.23	0.05	500	Everything On
