task	r0_energy	r0_config	r0_reward	r0_rate	r0_avgrate	r0_rollrate	r1_energy	r1_config	r1_reward	r1_rate	r1_avgrate	r1_rollrate	r2_energy	r2_config	r2_reward	r2_rate	r2_avgrate	r2_rollrate	r3_energy	r3_config	r3_reward	r3_rate	r3_avgrate	r3_rollrate	c0	c1	c2	c3	c4	c5	c6	c7	c8	c9	c10	c11	c12	c13	c14	c15	c16	c17	c18	c19	c20	c21	c22	c23	c24	c25	c26	c27	c28	c29
53	14.2796112635616	8	2439.1834766246243	15.7203887364384	16.678177617946144	15.328573986711728	2.0226170767089187	18	3035.354361272396	32.02261707670892	20.754559735195873	18.72750262174626	0.8114132806799965	19	3275.848833998886	30.811413280679997	22.39896638631717	33.30534199574721	1.239769267530825	17	3082.8456104476068	31.239769267530825	21.07928622528279	19.74224773845925	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0
54	15.933487366233601	8	2477.2802816744083	14.066512633766399	16.630692800051964	15.336934538792269	6.56217992247138	18	3134.376931895756	36.56217992247138	21.041971011328155	20.939159340414275	0.3926280844670771	19	3356.035466270121	29.607371915532923	22.530028305030182	32.228982953281545	14.736327687091201	17	3124.1847229617347	15.263672312908799	20.973547790512352	19.658425611520023	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0
55	13.214894439244802	8	2522.73994256812	16.7851055607552	16.633450170778808	15.588591211914977	7.9094971044480005	18	3194.2053772378763	22.090502895552	21.060694794975007	21.72024318171367	5.0299103521403055	19	3450.908140140501	35.029910352140305	22.753240484442866	32.406855283192314	16.33419753753637	17	3161.1962712975737	13.66580246246363	20.843052338225768	19.576822338300627	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0
56	11.160304979491201	8	2573.764116581998	18.8396950205088	16.67215622077407	15.62239929848396	4.608446134511997	18	3262.9741689569064	25.391553865488003	21.13667477866822	22.81841643026311	5.652859255812913	19	3547.467967291661	35.65285925581291	22.979549585694972	32.81862442317238	16.23775516583631	17	3198.469017723434	13.762244834163688	20.71882764517205	19.432377082059396	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0
57	5.869972830768003	8	2639.1162734986683	24.130027169231997	16.800740202644032	16.069694282491565	11.883492786092312	18	3376.4086285859066	41.88349278609231	21.49437853741691	25.556224664825574	4.472065347500298	19	3640.8298109411407	34.4720653475003	23.177696409174374	33.21701595707593	14.921928251966031	17	3239.3054620410257	15.078071748033969	20.62157323315243	18.90973871648928	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0
58	8.388966674966404	8	2697.6461554206344	21.611033325033596	16.88227059454894	16.771299131028698	15.023154973661539	18	3416.9709171989066	14.976845026338461	21.383911867737613	23.95525856321435	0.30330588882351606	19	3722.901264390038	30.303305888823516	23.29846945120233	33.29550975467361	14.554073469504003	17	3281.138179727786	15.445926530495997	20.533850407683676	16.797983135640145	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0
59	6.235151856287999	8	2795.7830250314146	36.235151856288	17.204818615577928	18.987367970607135	1.8302571563833858	18	3503.1778636641116	31.830257156383386	21.558017622548377	25.44843060542795	5.791579219537475	19	3819.836791442952	35.791579219537475	23.506687947341245	33.775962939885815	16.12476047324344	17	3318.716953446085	13.875239526756557	20.422873559668226	16.093759932091125	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0
60	9.102373313279998	8	2852.3807639746146	20.897626686720002	17.265356452809765	19.65572347098336	13.467932027390031	18	3547.9522144232637	16.53206797260997	21.47562500533627	25.095446742153417	6.067373679256612	19	3917.519261824272	36.06737367925661	23.71260082819232	33.19404921378687	16.01380819230055	17	3356.596222925271	13.986191807699447	20.31735418668513	16.090445034558645	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0
61	1.1752040219136006	8	2936.813608200631	31.1752040219136	17.489708832956598	21.375719186424	15.677828191594344	18	3586.741429737696	14.322171808405656	21.360246727966423	25.0874261869351	5.673032952642458	19	4014.1337260710116	35.67303295264246	23.905511023747966	33.516870788123114	14.364982147495386	17	3398.941062942471	15.635017852504614	20.241832632908025	16.289915579296537	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0
62	10.45379314369477	8	2989.751251769791	19.54620685630523	17.522351658724038	21.900695186696122	2.6618046346456623	18	3675.200483956528	32.66180463464566	21.53963653600895	26.827349314469576	4.565731350114461	19	4107.749248477571	34.56573135011446	24.074720870198227	33.79746432420409	5.593470098381907	17	3495.340044458922	35.59347009838191	20.48550941807428	18.354540644093944	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0
