interaction	name	drain	joules
40	drain-2	92.0	32521.0
40	drain-3	91.0	92.34671076756001
40	drain-4	90.0	84.495951047728
41	drain-1	92.0	32517.0
41	drain-2	91.0	32517.0
41	drain-3	91.0	92.79815720044799
41	drain-4	90.0	86.21667838086
42	drain-1	92.0	32517.0
42	drain-2	91.0	32517.0
42	drain-3	91.0	93.81407625609302
42	drain-4	90.0	89.37828643425601
43	drain-1	92.0	32518.0
43	drain-2	91.0	32513.0
43	drain-3	91.0	100.89492309234002
43	drain-4	90.0	104.91997636881601
44	drain-1	90.0	32516.0
44	drain-2	91.0	32515.0
44	drain-3	89.0	91.54268252431898
44	drain-4	90.0	89.07425245390802
45	drain-1	90.0	32520.0
45	drain-2	91.0	32518.0
45	drain-3	89.0	88.67843606855999
45	drain-4	89.0	95.84871402607801
46	drain-1	90.0	32517.0
46	drain-2	91.0	32516.0
46	drain-3	89.0	89.65584623728199
46	drain-4	89.0	101.76209202744
47	drain-1	90.0	32521.0
47	drain-2	91.0	32516.0
47	drain-3	89.0	86.624274318764
47	drain-4	89.0	98.37508727046
48	drain-1	90.0	32517.0
48	drain-2	90.0	32521.0
48	drain-3	89.0	86.69008088858
48	drain-4	89.0	96.76898559595799
49	drain-1	90.0	32517.0
49	drain-2	90.0	32515.0
49	drain-3	89.0	86.707662891096
49	drain-4	89.0	92.38467780126
50	drain-1	89.0	32517.0
50	drain-2	90.0	32514.0
50	drain-3	88.0	96.36236955898
50	drain-4	89.0	96.93054311694
51	drain-1	89.0	32516.0
51	drain-2	90.0	32517.0
51	drain-3	88.0	103.12016815170001
51	drain-4	87.0	95.13060302592001
52	drain-1	89.0	32517.0
52	drain-2	90.0	32517.0
52	drain-3	88.0	93.45841695120002
52	drain-4	87.0	98.79234790163198
53	drain-1	89.0	32512.0
53	drain-2	90.0	32518.0
53	drain-3	88.0	87.30435338296
53	drain-4	87.0	89.664219334976
54	drain-1	89.0	32513.0
54	drain-2	90.0	32514.0
54	drain-3	88.0	84.41788680948
54	drain-4	87.0	91.44308636390402
55	drain-1	88.0	32517.0
55	drain-2	88.0	32517.0
