task	total
0	4.7
1	4.7
2	4.6
3	4.7
4	4.7
5	4.7
6	4.7
7	4.6
8	4.6
9	4.7
10	4.6
11	4.6
12	4.6
13	4.6
14	4.6
15	4.6
16	4.5
17	4.5
18	4.6
19	4.6
20	4.5
21	4.5
22	4.5
23	4.6
24	4.6
25	4.6
26	4.6
27	4.6
28	4.6
29	4.6
30	4.6
31	4.6
32	4.6
33	4.6
34	4.5
35	4.6
36	4.6
37	4.6
38	4.6
39	4.5
40	4.5
41	4.5
42	4.5
43	4.5
44	4.5
45	4.4
46	4.4
47	4.4
48	4.4
49	4.4
