task	total
0	10.5
1	11.2
2	11.4
3	10.6
4	9.9
5	10.7
6	11.4
7	10.7
8	9.9
9	11.1
10	12.0
11	11.4
12	10.8
13	12.5
14	12.6
15	11.7
16	10.6
17	11.4
18	12.3
19	11.7
20	10.7
21	11.5
22	11.9
23	11.4
24	10.3
25	11.1
26	11.5
27	10.7
28	10.3
29	11.2
30	12.1
31	11.2
32	10.6
33	11.4
34	12.1
35	11.2
36	10.7
37	11.3
38	12.1
39	11.2
40	10.3
41	11.2
42	12.1
43	11.6
44	10.6
45	11.6
46	12.1
47	11.6
48	10.4
49	11.2
50	12.1
51	11.6
52	6.8
