policy	energy20	avgenergy
oracle	5133.9460133172915	51.215614460930304
r1	6393.092658885319	64.76355774560024
r2	5295.716653553489	52.572188208859515
r3	6568.683813236483	64.78327387007938
r4	6711.782936528695	66.84729234701227
pessimist	7986.647572869663	79.94227301422548
