policy	energy20	avgenergy
oracle	5133.9460133172915	51.215614460930304
r1	6567.005137146338	65.24269643338766
r2	5936.168034582599	58.587917761142
r3	6005.320064515214	60.46901653734734
r4	5824.374463446786	58.311853999308994
pessimist	7986.647572869663	79.94227301422548
