policy	round	interaction	win
r1	0	23	-1.1982
r1	1	46	7.085
r1	2	69	6.8085
r1	3	92	11.2672
r1	4	115	9.3995
r1	5	121	10.1129
r2	0	23	-2.6236
r2	1	58	-2.6604
r2	2	120	1.0742
