task	r0_energy	r0_config	r0_reward	r0_rate	r0_avgrate	r1_energy	r1_config	r1_reward	r1_rate	r1_avgrate	c0	c1	c2	c3	c4	c5	c6	c7	c8	c9	c10	c11
0	9.639698219471995	0	110.660824196026	39.639698219471995	39.639698219471995	12.536491758347463	0	48.75229384128	17.463508241652537	17.463508241652537	2	0	0	0	0	0	0	0	0	0	0	0
1	3.195512959152005	0	203.331631206992	33.195512959152005	35.50129987464024	10.198390754961316	0	104.031786317013	19.801609245038684	16.598329666707222	2	0	0	0	0	0	0	0	0	0	0	0
2	3.6686884452967163	1	297.323386450112	33.668688445296716	33.8476411192812	17.47012848656955	1	139.011010958673	12.529871513430448	19.54809372915976	0	2	0	0	0	0	0	0	0	0	0	0
3	4.67872195339487	1	394.134818570006	34.67872195339487	29.92939411989994	3.6871995709898506	1	212.467578822993	26.31280042901015	21.98841508056788	0	2	0	0	0	0	0	0	0	0	0	0
4	8.559228038991762	2	453.99030696115403	21.440771961008238	23.0931088027083	2.8774267007369545	2	288.18476261676904	27.122573299263045	22.510731726926327	0	0	2	0	0	0	0	0	0	0	0	0
5	16.84016750627821	2	490.728172672794	13.15983249372179	21.295194718848478	15.903178547494207	2	327.53838917168105	14.096821452505793	18.033144365636776	0	0	2	0	0	0	0	0	0	0	0	0
6	0.7150202981845908	3	572.482074340362	29.28497970181541	18.682778057045496	17.119961654858507	3	363.49516288520107	12.880038345141493	13.614123760497671	0	0	0	2	0	0	0	0	0	0	0	0
7	16.396478024400714	3	610.45857318891	13.603521975599286	24.08284696972848	16.13448851615427	3	402.20304911093706	13.86551148384573	19.493379418542805	0	0	0	2	0	0	0	0	0	0	0	0
8	0.6399607682292512	4	692.42201604427	29.36003923177075	24.172933845653493	1.7345884266411957	4	490.79544180197706	31.734588426641196	25.350956085785793	0	0	0	0	2	0	0	0	0	0	0	0
9	0.4447596704095531	4	774.93039529771	29.555240329590447	29.58519585220776	0.45276834687044953	4	575.8094201036571	30.45276834687045	25.060812913838806	0	0	0	0	2	0	0	0	0	0	0	0
10	0.15969200473791645	1	858.23458845115	29.840307995262084	31.764666582963574	17.004918031995228	1	612.0873572643371	12.995081968004772	26.154471022365612	0	2	0	0	0	0	0	0	0	0	0	0
11	5.8984514240382	4	958.4510986765899	35.8984514240382	32.32325079340418	5.015562752221612	4	709.8391366142891	35.01556275222161	20.222831140699224	0	0	0	0	2	0	0	0	0	0	0	0
12	1.2309929609122392	4	1045.63762069247	31.23099296091224	26.657436288948656	17.34215129812872	0	745.1756309070131	12.657848701871282	20.423583389205493	1	0	0	0	1	0	0	0	0	0	0	0
13	17.157135518104475	2	1081.490617371095	12.842864481895525	23.790513223090745	16.402661286476416	0	783.1348681489332	13.597338713523584	17.821653011822807	1	0	1	0	0	0	0	0	0	0	0	0
14	2.7023177735355226	3	1157.696646919975	27.297682226464477	19.199625890907104	2.7902283799264502	4	859.0954805883051	27.20977162007355	17.875709748772774	0	0	0	1	1	0	0	0	0	0	0	0
