count	delay	accuracy
291	3000.0	3.00
292	3000.0	3.00
293	4000.0	3.00
294	4000.0	3.00
295	3000.0	3.00
296	4000.0	3.00
297	4000.0	3.00
298	4000.0	3.00
299	3000.0	3.00
300	4000.0	3.00
301	4000.0	3.00
302	3000.0	3.00
303	3000.0	3.00
304	3000.0	3.00
305	3000.0	3.00
306	4000.0	3.00
307	3000.0	3.00
308	3000.0	3.00
309	3000.0	3.00
310	4000.0	3.00
311	3000.0	3.00
312	4000.0	3.00
313	3000.0	3.00
314	3000.0	3.00
315	4000.0	3.00
316	3000.0	3.00
317	3000.0	3.00
318	4000.0	3.00
319	3000.0	3.00
320	3000.0	3.00
321	4000.0	3.00
322	3000.0	3.00
323	4000.0	3.00
324	3000.0	3.00
325	3000.0	3.00
326	3000.0	3.00
327	3000.0	3.00
328	3000.0	3.00
329	3000.0	3.00
330	4000.0	3.00
331	3000.0	3.00
332	3000.0	3.00
333	4000.0	3.00
334	0.0	3.00
335	0.0	3.00
336	3000.0	3.00
337	3000.0	3.00
338	3000.0	3.00
339	3000.0	3.00
340	3000.0	3.00
341	3000.0	3.00
342	3000.0	3.00
343	3000.0	3.00
344	3000.0	3.00
345	3000.0	3.00
346	3000.0	3.00
347	3000.0	3.00
348	3000.0	3.00
349	3000.0	3.00
350	3000.0	3.00
351	3000.0	3.00
352	3000.0	3.00
353	3000.0	3.00
354	3000.0	3.00
355	3000.0	3.00
356	3000.0	3.00
357	3000.0	3.00
358	3000.0	3.00
359	3000.0	3.00
360	3000.0	3.00
361	3000.0	3.00
362	3000.0	3.00
363	3000.0	3.00
364	3000.0	3.00
365	3000.0	3.00
366	3000.0	3.00
367	3000.0	3.00
368	3000.0	3.00
369	3000.0	3.00
370	3000.0	3.00
371	3000.0	3.00
372	3000.0	3.00
373	3000.0	3.00
374	3000.0	3.00
375	3000.0	3.00
376	3000.0	3.00
377	3000.0	3.00
378	3000.0	3.00
379	3000.0	3.00
380	3000.0	3.00
381	3000.0	3.00
382	3000.0	3.00
383	3000.0	3.00
384	3000.0	3.00
385	3000.0	3.00
386	3000.0	3.00
387	3000.0	3.00
388	3000.0	3.00
389	3000.0	3.00
390	3000.0	3.00
391	3000.0	3.00
392	3000.0	3.00
393	3000.0	3.00
394	3000.0	3.00
395	3000.0	3.00
396	3000.0	3.00
397	3000.0	3.00
398	3000.0	3.00
399	3000.0	3.00
400	3000.0	3.00
401	3000.0	3.00
402	3000.0	3.00
403	3000.0	3.00
404	3000.0	3.00
405	3000.0	3.00
406	3000.0	3.00
407	3000.0	3.00
408	3000.0	3.00
409	3000.0	3.00
410	3000.0	3.00
411	3000.0	3.00
412	3000.0	3.00
413	3000.0	3.00
414	3000.0	3.00
415	3000.0	3.00
416	3000.0	3.00
417	3000.0	3.00
418	3000.0	3.00
419	3000.0	3.00
420	3000.0	3.00
421	3000.0	3.00
422	3000.0	3.00
423	3000.0	3.00
424	3000.0	3.00
425	3000.0	3.00
426	3000.0	3.00
427	3000.0	3.00
428	3000.0	3.00
429	3000.0	3.00
430	3000.0	3.00
431	3000.0	3.00
432	3000.0	3.00
433	3000.0	3.00
434	3000.0	3.00
435	3000.0	3.00
436	3000.0	3.00
437	3000.0	3.00
438	3000.0	3.00
439	3000.0	3.00
440	3000.0	3.00
441	1000.0	3.00
442	0.0	3.00
443	3000.0	3.00
444	3000.0	3.00
445	3000.0	3.00
446	3000.0	3.00
447	3000.0	3.00
448	2000.0	3.00
449	3000.0	3.00
450	3000.0	3.00
451	3000.0	3.00
452	3000.0	3.00
453	3000.0	3.00
454	3000.0	3.00
455	3000.0	3.00
456	2000.0	3.00
457	3000.0	3.00
458	2000.0	3.00
459	2000.0	3.00
460	3000.0	3.00
461	2000.0	3.00
462	3000.0	3.00
463	2000.0	3.00
464	2000.0	3.00
465	2000.0	3.00
466	3000.0	3.00
467	2000.0	3.00
468	3000.0	3.00
469	2000.0	3.00
470	2000.0	3.00
471	3000.0	3.00
472	3000.0	3.00
473	3000.0	3.00
474	3000.0	3.00
475	3000.0	3.00
476	2000.0	3.00
477	3000.0	3.00
478	3000.0	3.00
479	3000.0	3.00
480	3000.0	3.00
481	3000.0	3.00
482	2000.0	3.00
483	3000.0	3.00
484	3000.0	3.00
485	3000.0	3.00
486	2000.0	3.00
487	3000.0	3.00
488	2000.0	3.00
489	2000.0	3.00
490	3000.0	3.00
491	2000.0	3.00
492	3000.0	3.00
493	2000.0	3.00
494	2000.0	4.00
495	3000.0	4.00
496	3000.0	3.00
497	2000.0	3.00
498	3000.0	3.00
499	3000.0	3.00
500	3000.0	3.00
501	3000.0	3.00
502	3000.0	3.00
503	3000.0	3.00
504	3000.0	3.00
505	3000.0	3.00
506	3000.0	3.00
507	3000.0	3.00
508	3000.0	3.00
509	3000.0	3.00
510	3000.0	3.00
511	2000.0	3.00
512	2000.0	3.00
513	2000.0	3.00
514	3000.0	3.00
515	2000.0	3.00
516	3000.0	3.00
517	3000.0	3.00
518	2000.0	3.00
519	3000.0	3.00
520	3000.0	3.00
521	2000.0	3.00
522	3000.0	3.00
523	3000.0	3.00
524	3000.0	3.00
525	3000.0	3.00
526	2000.0	3.00
527	3000.0	3.00
528	3000.0	3.00
529	2000.0	3.00
530	2000.0	3.00
531	2000.0	3.00
532	3000.0	3.00
533	3000.0	3.00
534	3000.0	3.00
535	2000.0	3.00
536	3000.0	3.00
537	3000.0	3.00
538	2000.0	3.00
539	2000.0	3.00
540	2000.0	3.00
541	3000.0	3.00
542	3000.0	3.00
543	3000.0	3.00
544	3000.0	3.00
545	2000.0	3.00
546	3000.0	3.00
547	3000.0	3.00
548	3000.0	3.00
549	3000.0	3.00
550	3000.0	3.00
551	2000.0	3.00
552	2000.0	3.00
553	3000.0	3.00
554	3000.0	3.00
555	3000.0	3.00
556	3000.0	3.00
557	3000.0	3.00
558	3000.0	3.00
559	3000.0	3.00
560	2000.0	3.00
561	0.0	3.00
562	1000.0	3.00
563	2000.0	3.00
564	1000.0	3.00
565	1000.0	3.00
566	1000.0	3.00
567	2000.0	3.00
568	1000.0	3.00
569	1000.0	3.00
570	1000.0	3.00
571	1000.0	3.00
572	2000.0	3.00
573	1000.0	3.00
574	1000.0	3.00
575	2000.0	3.00
576	1000.0	3.00
577	2000.0	3.00
578	2000.0	3.00
579	1000.0	3.00
580	2000.0	3.00
581	1000.0	3.00
582	2000.0	3.00
583	2000.0	3.00
584	2000.0	3.00
585	1000.0	3.00
586	2000.0	3.00
587	1000.0	3.00
588	1000.0	3.00
589	1000.0	3.00
590	2000.0	3.00
591	1000.0	3.00
592	1000.0	3.00
593	2000.0	3.00
594	2000.0	3.00
595	1000.0	3.00
596	2000.0	3.00
597	1000.0	3.00
598	1000.0	3.00
599	1000.0	3.00
