count	delay	accuracy
1102	33000.0	7.00
1103	30000.0	7.00
1104	60000.0	13.00
1105	30000.0	7.00
1106	30000.0	9.00
1107	60000.0	14.00
1108	60000.0	10.00
1109	0.0	10.00
1110	16000.0	9.00
1111	19000.0	10.00
1112	20000.0	10.00
1113	10000.0	6.00
1114	10000.0	6.00
1115	20000.0	5.00
1116	20000.0	3.00
1117	10000.0	6.00
1118	20000.0	7.00
1119	10000.0	5.00
1120	10000.0	4.00
1121	20000.0	5.00
1122	10000.0	8.00
1123	10000.0	8.00
1124	10000.0	9.00
1125	20000.0	10.00
1126	10000.0	10.00
1127	10000.0	16.00
1128	20000.0	12.00
1129	10000.0	6.00
1130	20000.0	8.00
1131	10000.0	7.00
1132	10000.0	5.00
1133	0.0	5.00
1134	6000.0	5.00
1135	8000.0	6.00
1136	16000.0	5.00
1137	8000.0	4.00
1138	16000.0	3.00
1139	8000.0	7.00
1140	16000.0	4.00
1141	16000.0	4.00
1142	16000.0	4.00
1143	16000.0	10.00
1144	8000.0	7.00
1145	16000.0	4.00
1146	16000.0	6.00
1147	8000.0	10.00
1148	16000.0	9.00
1149	16000.0	7.00
1150	16000.0	6.00
1151	8000.0	5.00
1152	8000.0	7.00
1153	8000.0	7.00
1154	8000.0	7.00
1155	16000.0	8.00
1156	8000.0	6.00
1157	16000.0	10.00
1158	8000.0	4.00
1159	16000.0	6.00
1160	0.0	6.00
1161	0.0	6.00
1162	11000.0	11.00
1163	15000.0	4.00
1164	15000.0	5.00
1165	15000.0	5.00
1166	15000.0	4.00
1167	15000.0	4.00
1168	15000.0	4.00
1169	15000.0	4.00
1170	15000.0	6.00
1171	15000.0	6.00
1172	15000.0	4.00
1173	15000.0	10.00
1174	15000.0	9.00
1175	15000.0	5.00
1176	15000.0	4.00
1177	15000.0	6.00
1178	15000.0	6.00
1179	15000.0	6.00
1180	15000.0	5.00
1181	15000.0	5.00
1182	15000.0	4.00
1183	0.0	4.00
1184	7000.0	6.00
1185	5000.0	3.00
1186	5000.0	3.00
1187	5000.0	3.00
1188	5000.0	3.00
1189	6000.0	3.00
1190	5000.0	3.00
1191	6000.0	3.00
1192	5000.0	3.00
1193	5000.0	3.00
1194	5000.0	3.00
1195	5000.0	3.00
1196	6000.0	3.00
1197	6000.0	3.00
1198	6000.0	3.00
1199	5000.0	3.00
1200	6000.0	3.00
1201	6000.0	3.00
1202	6000.0	3.00
1203	6000.0	3.00
1204	5000.0	3.00
1205	6000.0	3.00
1206	6000.0	3.00
1207	5000.0	3.00
1208	5000.0	3.00
1209	5000.0	3.00
1210	5000.0	3.00
1211	5000.0	3.00
1212	5000.0	3.00
1213	6000.0	3.00
1214	5000.0	3.00
1215	6000.0	3.00
1216	6000.0	3.00
1217	5000.0	3.00
1218	5000.0	3.00
1219	6000.0	3.00
1220	6000.0	3.00
1221	6000.0	3.00
1222	5000.0	3.00
1223	5000.0	3.00
1224	6000.0	3.00
1225	6000.0	3.00
1226	5000.0	3.00
1227	6000.0	3.00
1228	5000.0	3.00
1229	6000.0	3.00
1230	6000.0	3.00
1231	5000.0	3.00
1232	6000.0	3.00
1233	5000.0	3.00
1234	6000.0	3.00
1235	5000.0	3.00
1236	5000.0	3.00
1237	5000.0	3.00
1238	6000.0	3.00
1239	6000.0	3.00
1240	5000.0	3.00
1241	6000.0	3.00
1242	3000.0	3.00
1243	0.0	3.00
1244	4000.0	3.00
1245	4000.0	3.00
1246	4000.0	3.00
1247	4000.0	3.00
1248	4000.0	3.00
1249	4000.0	3.00
1250	4000.0	4.00
1251	4000.0	4.00
