energy	drain	deviation	rel	gps_interval	sensor_configuration
413.52	0.02	0.0	0.0%	30000	Sensor Off
557.01	0.02	0.0	0.0%	10000	Sensor Off
589.86	0.01	0.0	0.0%	8000	Sensor Off
535.62	0.0	0.0	0.0%	7500	Sensor Off
683.28	0.02	0.0	0.0%	5000	Sensor Off
663.84	0.01	0.0	0.0%	3500	Sensor Off
666.06	0.02	0.0	0.0%	3000	Sensor Off
726.52	0.02	0.0	0.0%	2500	Sensor Off
692.14	0.01	0.0	0.0%	2000	Sensor Off
867.37	0.03	0.0	0.0%	1000	Sensor Off
888.51	0.02	0.0	0.0%	500	Sensor Off
