==RUN 0==
STOKE: Start Bat: 0.980000
ELocation 106: Diff:1000 ms Accuracy:3.00
ELocation 107: Diff:1000 ms Accuracy:3.00
ELocation 108: Diff:1000 ms Accuracy:3.00
ELocation 109: Diff:1000 ms Accuracy:3.00
ELocation 110: Diff:1000 ms Accuracy:3.00
ELocation 111: Diff:1000 ms Accuracy:3.00
ELocation 112: Diff:1000 ms Accuracy:3.00
ELocation 113: Diff:1000 ms Accuracy:3.00
ELocation 114: Diff:1000 ms Accuracy:3.00
ELocation 115: Diff:1000 ms Accuracy:3.00
ELocation 116: Diff:1000 ms Accuracy:3.00
ELocation 117: Diff:1000 ms Accuracy:3.00
ELocation 118: Diff:1000 ms Accuracy:3.00
ELocation 119: Diff:1000 ms Accuracy:3.00
ELocation 120: Diff:1000 ms Accuracy:3.00
ELocation 121: Diff:1000 ms Accuracy:3.00
ELocation 122: Diff:1000 ms Accuracy:3.00
ELocation 123: Diff:1000 ms Accuracy:3.00
ELocation 124: Diff:1000 ms Accuracy:3.00
ELocation 125: Diff:1000 ms Accuracy:3.00
ELocation 126: Diff:1000 ms Accuracy:3.00
ELocation 127: Diff:1000 ms Accuracy:3.00
ELocation 128: Diff:1000 ms Accuracy:3.00
ELocation 129: Diff:1000 ms Accuracy:3.00
ELocation 130: Diff:1000 ms Accuracy:3.00
ELocation 131: Diff:1000 ms Accuracy:3.00
ELocation 132: Diff:1000 ms Accuracy:3.00
ELocation 133: Diff:1000 ms Accuracy:3.00
ELocation 134: Diff:1000 ms Accuracy:3.00
ELocation 135: Diff:1000 ms Accuracy:3.00
ETask 19: Configuration:0 Energy:0.00 Power:0.00 Reward:96.63 Time:30010
ELocation 136: Diff:0 ms Accuracy:3.00
ELocation 137: Diff:0 ms Accuracy:3.00
ELocation 138: Diff:13000 ms Accuracy:4.00
ETask 20: Configuration:2 Energy:0.00 Power:0.00 Reward:34.77 Time:30005
ELocation 139: Diff:10000 ms Accuracy:4.00
ELocation 140: Diff:8177 ms Accuracy:9.00
ELocation 141: Diff:2823 ms Accuracy:5.00
ELocation 142: Diff:3000 ms Accuracy:4.00
ELocation 143: Diff:3000 ms Accuracy:3.00
ELocation 144: Diff:3000 ms Accuracy:3.00
ELocation 145: Diff:2000 ms Accuracy:3.00
ELocation 146: Diff:2000 ms Accuracy:3.00
ELocation 147: Diff:3000 ms Accuracy:3.00
ELocation 148: Diff:2000 ms Accuracy:3.00
ELocation 149: Diff:2000 ms Accuracy:3.00
ELocation 150: Diff:3000 ms Accuracy:3.00
ELocation 151: Diff:3000 ms Accuracy:3.00
ETask 21: Configuration:2 Energy:0.00 Power:0.00 Reward:84.88 Time:30003
ELocation 152: Diff:3000 ms Accuracy:3.00
ELocation 153: Diff:3000 ms Accuracy:3.00
ELocation 154: Diff:3000 ms Accuracy:3.00
ELocation 155: Diff:3000 ms Accuracy:3.00
ELocation 156: Diff:2000 ms Accuracy:3.00
ELocation 157: Diff:3000 ms Accuracy:3.00
ELocation 158: Diff:2000 ms Accuracy:3.00
ELocation 159: Diff:3000 ms Accuracy:3.00
ELocation 160: Diff:2000 ms Accuracy:3.00
ELocation 161: Diff:3000 ms Accuracy:3.00
ELocation 162: Diff:3000 ms Accuracy:3.00
ETask 22: Configuration:1 Energy:0.00 Power:0.00 Reward:76.17 Time:30009
ELocation 163: Diff:0 ms Accuracy:3.00
ELocation 164: Diff:0 ms Accuracy:3.00
ELocation 165: Diff:5000 ms Accuracy:3.00
ELocation 166: Diff:5000 ms Accuracy:3.00
ELocation 167: Diff:6000 ms Accuracy:3.00
ELocation 168: Diff:6000 ms Accuracy:3.00
ELocation 169: Diff:5000 ms Accuracy:3.00
ETask 23: Configuration:0 Energy:0.00 Power:0.00 Reward:68.42 Time:30012
ELocation 170: Diff:3000 ms Accuracy:3.00
ELocation 171: Diff:0 ms Accuracy:3.00
ELocation 172: Diff:13000 ms Accuracy:4.00
ELocation 173: Diff:10000 ms Accuracy:4.00
ETask 24: Configuration:1 Energy:0.00 Power:0.00 Reward:45.39 Time:30006
ELocation 174: Diff:0 ms Accuracy:4.00
ELocation 175: Diff:8317 ms Accuracy:14.00
ELocation 176: Diff:5683 ms Accuracy:3.00
ELocation 177: Diff:5000 ms Accuracy:3.00
ELocation 178: Diff:6000 ms Accuracy:3.00
ELocation 179: Diff:6000 ms Accuracy:3.00
ELocation 180: Diff:5000 ms Accuracy:3.00
