task	r0_energy	r0_config	r0_reward	c0	c1	c2	c3	c4	c5	c6	c7	c8	c9	c10	c11
63	76.61424054284	0	3260.3439596536937	1	0	0	0	0	0	0	0	0	0	0	0
64	68.49898568169999	0	3328.842945335394	1	0	0	0	0	0	0	0	0	0	0	0
65	50.08859864382499	0	3378.931543979219	1	0	0	0	0	0	0	0	0	0	0	0
66	36.2280074688	0	3415.159551448019	1	0	0	0	0	0	0	0	0	0	0	0
67	35.394144158268	0	3450.553695606287	1	0	0	0	0	0	0	0	0	0	0	0
68	35.585420915967994	0	3486.139116522255	1	0	0	0	0	0	0	0	0	0	0	0
69	40.48765911936	0	3526.626775641615	1	0	0	0	0	0	0	0	0	0	0	0
70	50.606420532982	0	3577.233196174597	1	0	0	0	0	0	0	0	0	0	0	0
71	51.221118095070004	0	3628.454314269667	1	0	0	0	0	0	0	0	0	0	0	0
72	50.486807179809	0	3678.941121449476	1	0	0	0	0	0	0	0	0	0	0	0
73	65.54231525319399	0	3744.48343670267	1	0	0	0	0	0	0	0	0	0	0	0
74	95.92615312314601	0	3840.409589825816	1	0	0	0	0	0	0	0	0	0	0	0
75	38.191248328674995	0	3878.600838154491	1	0	0	0	0	0	0	0	0	0	0	0
76	77.8407984828	0	3956.441636637291	1	0	0	0	0	0	0	0	0	0	0	0
77	36.186016810062	0	3992.627653447353	1	0	0	0	0	0	0	0	0	0	0	0
78	35.98308348465601	0	4028.6107369320093	1	0	0	0	0	0	0	0	0	0	0	0
79	35.414503237476005	0	4064.025240169485	1	0	0	0	0	0	0	0	0	0	0	0
80	48.468889793124006	0	4112.494129962609	1	0	0	0	0	0	0	0	0	0	0	0
81	35.957530183128	0	4148.451660145737	1	0	0	0	0	0	0	0	0	0	0	0
82	46.212442221744006	0	4194.664102367481	1	0	0	0	0	0	0	0	0	0	0	0
83	35.81990777016001	0	4230.484010137641	1	0	0	0	0	0	0	0	0	0	0	0
84	46.938580143311995	0	4277.422590280953	1	0	0	0	0	0	0	0	0	0	0	0
85	35.6679704836	0	4313.090560764553	1	0	0	0	0	0	0	0	0	0	0	0
86	39.096655737000006	0	4352.187216501553	1	0	0	0	0	0	0	0	0	0	0	0
87	38.948207053599994	0	4391.135423555153	1	0	0	0	0	0	0	0	0	0	0	0
88	44.7200689866	0	4435.855492541753	1	0	0	0	0	0	0	0	0	0	0	0
89	65.46718048728	0	4501.322673029033	1	0	0	0	0	0	0	0	0	0	0	0
90	73.42192081119998	0	4574.7445938402325	1	0	0	0	0	0	0	0	0	0	0	0
91	85.06730534575	0	4659.811899185983	1	0	0	0	0	0	0	0	0	0	0	0
92	50.956798872979995	0	4710.768698058962	1	0	0	0	0	0	0	0	0	0	0	0
93	57.22357080868999	0	4767.9922688676525	1	0	0	0	0	0	0	0	0	0	0	0
94	51.34024666250999	0	4819.332515530163	1	0	0	0	0	0	0	0	0	0	0	0
95	36.802696456499994	0	4856.135211986662	1	0	0	0	0	0	0	0	0	0	0	0
96	35.96283768479999	0	4892.098049671463	1	0	0	0	0	0	0	0	0	0	0	0
97	36.149868364999996	0	4928.247918036463	1	0	0	0	0	0	0	0	0	0	0	0
98	40.326510574349996	0	4968.574428610813	1	0	0	0	0	0	0	0	0	0	0	0
99	37.06398937332	0	5005.6384179841325	1	0	0	0	0	0	0	0	0	0	0	0
100	38.9258468352	0	5044.5642648193325	1	0	0	0	0	0	0	0	0	0	0	0
