task	r0_energy	r0_config	r0_reward	r1_energy	r1_config	r1_reward	r2_energy	r2_config	r2_reward	r3_energy	r3_config	r3_reward	r4_energy	r4_config	r4_reward	r5_energy	r5_config	r5_reward	r6_energy	r6_config	r6_reward	r7_energy	r7_config	r7_reward	c0	c1	c2	c3	c4	c5	c6	c7	c8	c9	c10	c11
10	64.964160805392	10	493.262698087269	83.492817898464	10	652.6135697303669	63.708252655047	10	669.7385719283441	94.2281534315	10	539.471252582139	77.41611943884001	10	682.629308968446	73.42162704294	10	644.749173339236	86.52828922795199	10	659.7651021078159	69.087452084552	10	659.2622190372749	0	0	0	0	0	0	0	0	0	0	8	0
11	94.120061336064	11	587.382759423333	67.472072799804	11	720.0856425301708	82.695504209175	11	752.434076137519	90.17541981558	11	629.6466723977189	74.65779321308001	11	757.287102181526	69.30053934595	11	714.049712685186	101.86504345835998	11	761.6301455661759	71.78984717568399	11	731.052066212959	0	0	0	0	0	0	0	0	0	0	0	8
12	76.78777061030401	2	664.1705300336371	33.881174688924	3	753.9668172190949	81.66427017992099	9	834.09834631744	53.02147529349	6	682.6681476912089	88.24475837772002	8	845.5318605592461	31.65160935222	0	745.701322037406	49.951063201728005	6	811.581208767904	38.40643850445599	0	769.4585047174149	2	0	1	1	0	0	2	0	1	1	0	0
13	63.583891783776004	6	727.7544218174131	40.450461830783986	3	794.4172790498789	38.699556229191	6	872.797902546631	33.428539179089995	7	716.0966868702989	59.24212966127999	4	904.773990220526	70.00730529594999	0	815.708627333356	49.990534961426	0	861.5717437293299	51.20134749734399	6	820.659852214759	2	0	0	1	1	0	3	1	0	0	0	0
14	31.542221881152	0	759.2966436985652	39.161313587879995	5	833.5785926377589	78.689969522593	5	951.4878720692241	30.21606962136	7	746.3127564916589	52.813276315576005	0	957.587266536102	70.356429185075	4	886.065056518431	41.270542947420005	4	902.84228667675	96.17507161248	8	916.834923827239	2	0	0	0	2	2	0	1	1	0	0	0
15	31.780155987359997	0	791.0767996859252	30.669162252102	1	864.2477548898609	92.480905545028	4	1043.968777614252	66.09607256052	7	812.4088290521789	105.39385494015998	7	1062.981121476262	32.13544042984	2	918.2004969482709	66.49373682258398	7	969.3360234993339	55.488007040934	0	972.322930868173	2	1	1	0	1	0	0	3	0	0	0	0
16	30.67115575392	0	821.7479554398451	38.345961189678	1	902.5937160795388	55.1136930344	0	1099.0824706486521	33.956107207829994	3	846.3649362600089	76.756813942944	8	1139.737935419206	31.5845940696	2	949.785091017871	126.7154395774	4	1096.0514630767339	45.18303006804	6	1017.505960936213	2	1	1	1	1	0	1	0	1	0	0	0
17	79.582922628048	0	901.3308780678931	50.46630044604	1	953.0600165255788	60.906900457403005	6	1159.9893711060552	35.596371951045	3	881.9613082110538	45.951758747552006	3	1185.689694166758	56.29377030471999	2	1006.0788613225909	30.685153594092004	6	1126.736616670826	94.97216369995199	0	1112.478124636165	2	1	1	2	0	0	2	0	0	0	0	0
18	39.353226221445	9	940.684104289338	49.60942252728	3	1002.6694390528588	55.517558972018	2	1215.506930078073	68.32976402105997	4	950.2910722321138	39.487415910904	3	1225.177110077662	51.59465952790999	2	1057.6735208505008	30.411131651072	6	1157.147748321898	126.32410083384	6	1238.802225470005	0	0	2	2	1	0	2	0	0	1	0	0
19	30.274046823924	1	970.958151113262	85.382988133248	5	1088.0524271861068	37.29996349747199	1	1252.806893575545	32.555711098079996	3	982.8467833301938	80.152414867936	3	1305.329524945598	67.69921073174999	2	1125.3727315822507	30.214758073368003	6	1187.362506395266	89.29018796115	1	1328.092413431155	0	3	1	2	0	1	1	0	0	0	0	0
20	30.404796612768003	1	1001.36294772603	30.890621535276	1	1118.9430487213829	35.359802970881994	1	1288.166696546427	30.66915175497	6	1013.5159350851638	37.908519155648	0	1343.238044101246	31.486586193439997	0	1156.8593177756907	32.377756532190006	6	1219.7402629274561	54.89668804464001	5	1382.989101475795	2	3	0	0	0	1	2	0	0	0	0	0
