policy	joules
vbde10	4128.594886744813
vbde10	4402.827722738244
vbde10	4826.124858355195
vbde10	4558.457797365406
vbde10	4861.574083492126
vbde10	4317.975557732241
vbde10	4604.474809076251
vbde10	5402.055566334683
