tick	gps500_level	gps500_watts	gps5000_level	gps5000_watts
200	61	2.6328	74	2.4096
201	61	2.4587	74	2.525
202	61	2.753	74	2.4272
203	61	2.2922	74	1.3657
204	61	2.3573	74	2.8756
205	61	2.2816	74	1.21
206	61	2.3057	74	1.2058
207	60	2.2938	74	2.5057
208	60	2.5629	74	2.5431
209	60	2.6799	74	1.1665
210	60	2.3319	74	2.385
211	60	2.2751	74	1.5697
212	60	2.3664	72	1.5728
213	60	2.3477	72	1.4567
214	58	2.3618	72	2.3898
215	58	2.289	72	2.7109
216	58	2.5169	72	1.2028
217	58	2.6859	72	1.4984
218	57	2.3154	72	1.187
219	57	2.3392	71	1.2457
220	57	2.3392	71	2.4877
221	57	2.3324	71	1.1931
222	57	2.3178	71	1.6642
223	57	2.3765	71	1.1651
224	57	2.8217	71	2.4421
225	57	2.498	71	1.1777
226	57	2.8578	71	2.0905
227	57	2.9066	71	1.1928
228	55	2.7218	71	2.7239
229	55	2.2906	71	1.1693
230	55	2.3744	71	2.6107
231	55	2.2779	71	1.3144
232	55	2.2779	71	1.2548
233	55	2.3646	69	2.643
234	55	2.7756	69	1.1816
235	55	2.3686	69	1.4319
236	53	2.3311	69	2.3946
237	53	2.2923	69	1.2268
238	53	2.3211	69	1.1804
239	53	2.2668	68	2.9507
240	53	2.3275	68	1.1975
241	53	2.54	68	2.4359
242	53	2.6567	68	1.1613
243	52	2.2809	68	1.2071
244	52	2.3143	68	2.1269
245	52	2.2964	68	1.1693
246	52	2.335	68	1.3625
247	52	2.3833	68	2.3963
248	52	2.35	68	2.6711
249	52	2.6083	68	1.2299
250	50	2.794	68	1.2197
251	50	2.3266	68	2.4143
252	50	2.5247	68	2.9063
253	50	2.5787	66	1.4369
254	50	2.3398	66	2.4004
255	50	2.4317	66	2.4004
256	50	2.446	66	1.274
257	50	2.446	66	1.1801
258	49	3.1607	66	1.3761
259	49	2.5688	65	1.422
260	49	2.4799	65	1.303
261	49	2.2615	65	1.1893
262	49	2.7006	65	1.2101
263	49	2.2592	65	1.5827
264	49	2.3961	64	2.4325
265	47	2.309	64	1.2109
266	47	2.9114	64	2.6386
267	47	2.6228	64	1.4425
268	47	2.3788	64	1.3487
269	47	2.3347	64	2.4818
270	47	2.3135	64	1.2257
271	47	2.3462	64	1.1865
272	47	2.3439	64	3.0899
273	46	2.308	63	1.2274
274	46	2.36	63	1.1883
275	46	2.6075	63	2.4027
276	46	2.4223	63	1.298
277	46	2.2983	63	2.3196
278	45	2.349	63	1.6166
279	45	2.3638	62	1.2125
