task	reward	total_reward	total_reward_dev	joules
0	3.952888740336797	43.4609263282545	2.750290316734503	43.4609263282545
1	4.623256796798462	85.10627250359201	0.003216803624006559	41.645346175337494
2	2.469876202182645	135.257109755214	6.686031243954005	50.150837251621994
3	0.5823576498948899	189.46707144570598	5.1088126088220065	54.209961690491994
4	4.600723384509049	248.87535773741797	17.569105108534018	59.408286291711995
5	12.005911977393232	319.329715770378	50.08511671397403	70.45435803296
6	3.434161925284431	366.542342932466	59.38597192828604	47.212627162088
7	3.3960754766454198	411.511305183218	66.57228457968404	44.96896225075199
8	3.4963961167512583	456.20856570034994	73.80012310997503	44.69726051713201
9	10.423125170624868	523.784196768583	45.570825772866016	67.57563106823301
10	6.367449296552368	560.705688257087	45.626374989190026	36.921491488504
11	4.483102196387693	602.730619808537	40.548507391791986	42.024931551449995
12	5.511947299378403	641.9690958727205	43.60719190782845	39.238476064183494
13	4.479867539675323	684.0027879527664	48.42208763496444	42.03369208004601
14	6.369783802270028	720.9179568216184	48.65989161962648	36.91516886885201
15	6.231750247517047	758.2069665679264	49.181707057268454	37.289009746308
16	3.9333649240935404	801.7207698985064	54.977595645448446	43.51380333058
17	11.09207968045292	871.1376251317864	85.01864478000846	69.41685523327999
18	4.180578730377846	913.9818910703464	90.61464223244849	42.84426593856
19	1.6832333628000011	971.8881678657964	86.05588520819845	57.90627679545
20	5.802692263748923	1010.3392096514763	91.90556256341841	38.451041785680005
21	4.823266173886768	1051.4428637638662	86.53594288678835	41.103654112390004
22	5.46081224610462	1102.9321241746663	71.74624305358839	51.4892604108
23	1.9488114574221527	1162.3768218718515	66.72312477096341	59.444697697185
24	15.559264096480003	1258.6831621331514	70.3174856879034	96.3063402613
25	2.516172936667381	1315.007707578722	77.13212072471083	56.3245454455705
26	0.8417939671446177	1366.894515584372	79.15440211288478	51.886808005649996
27	11.214755698140554	1433.1637963620678	109.52769879534878	66.269280777696
28	9.693920587003756	1497.2314340342164	135.7820670518173	64.06763767214849
29	11.257692142748493	1560.339088836603	166.2716499384278	63.107654802386506
30	4.9203873119359995	1601.179706533443	167.65362081158776	40.84061769684
31	6.384832452837663	1638.054118640341	168.18656582158974	36.87441210689799
32	5.805054384298216	1676.4987630162	166.85859766240867	38.444644375859
33	3.358147396207567	1734.2222796106994	175.9535801938041	57.72351659449949
34	5.426355975334401	1773.6925655108353	174.27112416602006	39.470285900136005
35	5.384784572954094	1813.2754406257513	177.16891806701608	39.582875114916
36	5.970297278643202	1851.2725521627594	177.54535764242405	37.997111537007996
37	9.559384359517045	1931.3292181364513	180.1529871433321	80.056665973692
38	12.434219821135137	2019.1718968186924	188.77126586814302	87.842678682241
39	15.101873613062523	2114.2394711874035	190.79853395738394	95.067574368711
40	14.231178914933908	2195.4105376445973	152.25575772943785	81.171066457194
41	3.922689662623445	2238.953253141659	153.83540958120443	43.5427154970615
42	4.903563357021046	2289.7575361259505	167.1158936731365	50.804282984292
43	6.712890402919683	2362.1049476338585	162.0466190901791	72.34741150790748
44	10.051723900071444	2443.495033196552	148.70057057620056	81.39008556269349
45	8.572005690833354	2519.199169795791	171.9164193222075	75.70413659923899
46	5.03606066363397	2559.7265054984487	169.62592471654943	40.527335702658
47	10.737525003575069	2630.498298345591	140.54512783186692	70.7717928471425
48	6.537688157649967	2699.511314426627	122.83888907156484	69.013016081036
49	2.3650851253248035	2758.7388821243544	129.24432795265284	59.227567697727
50	2.422058358257784	2806.3458074040727	122.95090096853642	47.6069252797185
51	8.036441331340434	2869.404371775394	101.18553902948952	63.058564371321
52	3.5858025748285556	2913.8594898019	107.28139317619139	44.455118026506
53	3.1619332517356282	2959.462587245116	115.05590115926339	45.60309744321601
54	5.635519669982768	3026.684214643186	99.79303538639351	67.22162739807001
55	5.484310208056864	3065.997541163032	101.3932694272196	39.313326519845994
56	6.930924252597169	3138.9354610138157	90.87034526475554	72.937919850784
57	10.820990412058336	3205.6946033563736	120.17719429741351	66.75914234255801
58	3.3738006607103985	3252.2333777696376	129.31457108683753	46.53877441326401
59	7.942897158202339	3312.0327246067877	107.8025579500395	59.799346837150004
60	5.464629960007632	3351.3993517984336	109.75089905474557	39.366627191646
61	3.1522533071926144	3397.096997839214	118.28825176172563	45.69764604078
62	4.736349970618706	3463.7597817828528	105.46063725796648	66.662783943639
63	11.598042523786345	3532.6681365681648	136.87200242655445	68.908354785312
64	3.687224413188183	3583.833700848587	146.85823521227235	51.165564280422
65	3.1185424986842483	3629.55431491465	155.0154489993438	45.7206140660635
66	6.664195287177602	3692.904996823624	136.96658676323773	63.350681908974
67	5.308058033560862	3732.6956729827307	138.53829779709372	39.790676159106
68	5.923308931827936	3770.8200446256965	138.85482231935976	38.12437164296601
69	6.3581021625793825	3826.700074343759	121.63496229570728	55.880029718062495
70	5.480795102745722	3895.710561080362	136.21908277056036	69.010486736603
71	10.656256165934774	3962.989113660992	107.35838898782026	67.27855258062999
72	3.0482937812304627	4008.8999846701595	100.15424731052781	45.9108710091675
73	2.9544041712295375	4055.5426639501293	92.1527360134478	46.64267927997
74	8.225091442348063	4116.847405730303	69.87644669042174	61.304741780174005
75	5.872294464173046	4155.109941556501	70.20894689031957	38.262535826198004
76	9.280640757515076	4218.257697200272	95.34401560858942	63.14775564377
77	3.609413086937602	4262.648870089815	101.1558925237332	44.391172889543995
78	4.713415606271507	4304.050036156163	102.0757956822813	41.401166066348
79	8.27505435309194	4365.360172993039	79.66419014265739	61.310136836876
80	5.334526080247632	4405.079164859035	81.2204552563635	39.718991865995996
81	5.420534868273538	4473.926446793942	68.08751865867907	68.8472819349075
82	3.116027706383999	4520.32624598578	76.52676036346884	46.399799191838
83	5.409415630601291	4589.1434133186585	62.48422674943504	68.8171673328785
84	5.248494616073598	4629.095407066792	61.69129203185685	39.951993748134
85	4.391950661234649	4671.3672073592825	65.7702892262264	42.2718002924895
86	7.798224773660676	4731.769880305526	44.650097130895574	60.402672946245
87	5.606952261451445	4770.751051264096	44.491464628944414	38.981170958568995
88	9.593499570544619	4834.676753503201	70.47385929916936	63.92570223910499
89	3.7681099621702785	4878.638122355656	65.40742160776881	43.96136885245549
90	3.6402395125453557	4922.945807009179	70.92637899393185	44.307684653523
91	7.972392474562153	4984.926795051147	49.33448270865938	61.98098804196749
92	2.8975915412077518	5031.245817960376	42.12869885196824	46.319022909229005
93	4.87850637361791	5086.142823607667	28.916077423419665	54.89700564729149
94	16.541049332315936	5185.108165549356	16.72452010459665	98.96534194168899
95	2.8613911834969867	5231.627750093241	8.974918982625695	46.519584543885
96	8.148807482066951	5292.959513611519	13.094767947972286	61.33176351827798
97	5.3068553457641245	5332.753447050074	10.930605461542655	39.7939334385555
98	8.21130539899347	5394.786470897624	33.16955758381664	62.033023847549984
99	5.4062016968542785	5434.311341301976	31.629972057223767	39.524870404352995
100	3.1902901135055988	5481.073412394266	22.989602999812632	46.76207109228899
101	10.084654394654407	5561.474072020157	4.323002652376545	80.400659625891
102	3.0137509843310797	5607.578139483647	12.48524490160662	46.10406746349
103	7.803763656835013	5672.134991037837	8.649948335654699	64.5568515541905
104	4.411227225595078	5714.354583968517	11.963879463854937	42.219592930679994
105	5.331629251131017	5754.08142141337	10.174203353821667	39.7268374448535
106	7.428797466572496	5816.105628893286	30.29386315912234	62.0242074799155
107	3.17554307493514	5861.67186639867	33.5114253680581	45.566237505383995
108	13.376331755035142	5952.066098235224	38.78622200840573	90.3942318365535
109	3.7964325073032636	5995.95076019461	32.857874919712685	43.884661959386996
110	3.5566315909748303	6043.803930183762	23.22533102748912	47.853169989151496
111	7.110074828536431	6104.854421839026	42.48178368810841	61.050491655264494
112	5.0833843608395055	6160.070314873359	28.714284377501826	55.21589303433299
113	10.495550559021229	6230.900912855672	57.139733808184246	70.8305979823125
114	2.3724531116141563	6278.806222581166	63.565127652138926	47.905309725495
115	11.896818587928005	6352.541935772642	95.78567799444363	73.735713191475
116	6.203075082701538	6407.136495049592	78.98568297879365	54.594559276949994
117	5.0580222323611075	6447.604351503614	78.11196270361552	40.467856454022
118	2.98051763979655	6493.9154852221545	70.03972742916676	46.311133718541
119	11.534661381184613	6563.36457222218	38.80001952179191	69.449087000025
120	5.750562561586827	6633.105679159811	51.999930567973024	69.74110693763099
