task	r0_energy	r0_config	r0_reward	r0_rate	r0_avgrate	r0_rollrate	r1_energy	r1_config	r1_reward	r1_rate	r1_avgrate	r1_rollrate	r2_energy	r2_config	r2_reward	r2_rate	r2_avgrate	r2_rollrate	r3_energy	r3_config	r3_reward	r3_rate	r3_avgrate	r3_rollrate	c0	c1	c2	c3	c4	c5	c6	c7	c8	c9	c10	c11
10	11.231053025202147	1	726.467618320756	31.231053025202147	23.657018778423527	24.323900934533622	2.2375774066059684	2	701.48845706693	17.76242259339403	22.843586118868824	23.965719093356096	5.655522437512236	2	725.8867431174361	14.344477562487764	23.63810289663292	24.070991550300395	12.107335995290029	1	733.1175981861269	32.10733599529003	23.873571718408474	25.795503894421035	0	2	2	0	0	0	0	0	0	0	0	0
11	6.642051403846686	0	763.7585581516839	13.357948596153314	22.798762929901013	25.674653998247823	0.8848549446954053	2	754.851570346322	19.115145055304595	22.532882696905137	24.52960221951134	11.689589059359996	3	814.3535125748161	31.689589059359996	24.309060076860177	26.21908157119508	10.470837001158678	4	818.1820181476949	30.470837001158678	24.423343825304325	26.679246557415222	1	0	1	1	1	0	0	0	0	0	0	0
12	10.802690461766925	4	849.74940235745	30.802690461766925	23.414449663121466	25.346255461021972	3.8870717470400002	3	799.833495052502	16.11292825296	22.039040047370897	23.69944276030775	11.36046640045851	3	901.9014812760961	31.36046640045851	24.851475947906202	23.712384097833386	10.429039870350326	4	903.1297544524228	30.429039870350326	24.885320444154015	24.979045825529013	0	0	0	2	2	0	0	0	0	0	0	0
13	11.924483918500528	4	938.871919963264	31.924483918500528	24.0223092527914	26.73704646113029	10.527055163002267	4	885.05485738255	30.527055163002267	22.645326841344566	26.579018377901512	7.46128825624597	1	936.9053848940761	12.53871174375403	23.971992790466764	26.497094692661584	7.6610242371314605	0	937.5760617904308	12.33897576286854	23.989152966919338	25.81947776341798	1	1	0	0	2	0	0	0	0	0	0	0
14	11.42751135843821	4	1026.607055838904	31.42751135843821	24.515989393167853	25.7932699933258	5.939914588905072	2	924.30592915519	14.060085411094928	22.072977412661256	24.152194834319424	1.1998909991327729	1	989.389022521497	18.800109000867227	23.627200537826795	22.951936688229452	7.346775654388059	1	972.8996464219308	12.65322434561194	23.23342439216551	22.605966297494646	0	2	1	0	1	0	0	0	0	0	0	0
15	9.368075574114858	3	1108.592933483308	29.368075574114858	24.819244779477042	22.406727214860286	5.008193888475699	3	966.1580545498621	14.991806111524301	21.630404206340195	20.863003838977683	1.6280175186607764	3	1049.767238094425	21.628017518660776	23.50225159912892	19.83335719899371	2.9181773378411897	1	1020.5864013537908	17.08182266215881	22.848949284040092	18.488833948909363	0	1	0	3	0	0	0	0	0	0	0	0
16	6.406673021380065	2	1146.5409712986218	13.593326978619935	24.15889667354427	18.594295472395952	0.09338138636035609	1	1021.7306981796061	19.906618613639644	21.5290050538284	19.35105975747306	0.5062554400000003	0	1107.013867864425	20.50625544	23.326016530944866	18.25893416562924	1.5131230972561198	3	1072.195599373951	18.48687690274388	22.592356791022667	18.701613314794137	1	1	1	1	0	0	0	0	0	0	0	0
17	11.12042036910006	3	1233.4188114956928	31.12042036910006	24.54564798996404	19.93364445161742	0.39570587645134125	1	1076.459352607846	19.60429412354866	21.422076668812856	20.628751429411093	6.875139625692658	1	1143.6541030760332	13.124860374307342	22.75928563335389	19.00442990943034	8.666637687297914	3	1152.2232962509909	28.666637687297914	22.929816840815736	20.371913067007704	0	2	0	2	0	0	0	0	0	0	0	0
18	7.05556519698173	0	1269.555358654119	12.94443480301827	23.93505782223005	19.503554795443453	0.4427860322512238	1	1131.056574934478	19.557213967748776	21.3239260003358	19.751093926002447	5.599009719393436	0	1183.8568676093932	14.400990280606564	22.319375351630345	19.83186025620111	9.576376954543761	4	1234.7906819157588	29.57637695454376	23.27963579416984	20.798836090291523	2	1	0	0	1	0	0	0	0	0	0	0
19	3.72316620295463	1	1314.9948530042038	16.27683379704537	23.552146620970817	20.37589392599606	0.26180180101731665	1	1186.159044906638	19.738198198982683	21.244639610268145	20.50102605561994	0.11177093547175687	0	1240.0022281375852	20.111770935471757	22.20899513082242	19.400161112257106	7.477096478773015	0	1269.7504542458507	12.522903521226985	22.741799180522698	18.692022052024942	2	2	0	0	0	0	0	0	0	0	0	0
20	4.67017126491773	1	1357.7906248896418	15.32982873508227	23.160607674023744	18.912518888102433	5.707487309188776	1	1226.058976168486	14.292512690811224	20.91358594743686	17.475106388453767	6.430815644465673	3	1277.8828677967851	13.569184355534327	21.797575570094416	17.537581343705373	7.271048184180302	3	1305.2854447316806	12.728951815819698	22.26499692506065	16.854755128512465	0	2	0	2	0	0	0	0	0	0	0	0
21	0.5164015390786858	1	1412.1823372597137	19.483598460921314	22.99347089161	17.36301594654394	2.9347352142710434	1	1273.699507028646	17.065264785728957	20.73866225826832	16.111904729662463	21.68980670665743	4	1394.2669115195372	41.68980670665743	22.70176789448364	18.653202020623663	10.62249465351211	3	1390.7732423060686	30.62249465351211	22.644883185444808	19.741631666076607	0	2	0	1	1	0	0	0	0	0	0	0
22	2.739825361568002	1	1460.3669914586696	17.260174638431998	22.744197141471822	19.45647203637263	5.248739671624602	1	1314.880108778694	14.751260328375398	20.478340435229498	19.679307717087475	0.2886422627572536	1	1450.906037836401	20.288642262757254	22.596849388756407	20.175189069854973	9.643510254408604	3	1473.5280417662925	29.643510254408604	22.949171318878015	21.71028882621471	0	3	0	1	0	0	0	0	0	0	0	0
23	4.738444003634628	1	1502.9721686151897	15.261555996365372	22.432420427092385	21.87952599029781	5.587553261965375	1	1355.1148559223739	14.412446738034625	20.225594864513045	22.047875482519302	24.631352815829963	4	1575.501897780593	44.63135281582996	23.514953698217806	24.56265091801017	9.673997243376242	4	1556.3679507373845	29.673997243376242	23.22937239906544	25.8235241637749	0	2	0	0	2	0	0	0	0	0	0	0
24	5.140750721936719	1	1544.4542395164497	14.859249278063281	22.129493581131225	23.140468420915486	10.443453921658264	4	1440.1028314536698	30.443453921658264	20.634309226798855	23.1225643477301	2.7784483908470463	0	1623.578729356145	17.221551609152954	23.263217614655208	23.1187020448022	7.303901532221136	1	1591.8112256266004	12.696098467778864	22.808041441813977	22.913185858742544	1	2	0	0	1	0	0	0	0	0	0	0
25	1.5290867011222673	1	1596.0188724758166	18.470913298877733	21.9887789548907	22.73141296235459	6.2136763114564815	1	1478.5896517508538	13.786323688543519	20.37092516763519	21.14569430576808	0.42091417420991206	1	1678.237010619809	19.579085825790088	23.121520238160397	21.57744728871055	7.409969728359167	1	1626.9583934682644	12.590030271640833	22.415041012191928	21.395205642071172	0	4	0	0	0	0	0	0	0	0	0	0
