policy	energy20	avgenergy
oracle	2648.5192198538816	51.215614460930304
r1	2848.293804496582	57.569026766696446
r2	3041.2753513882653	59.66641378478718
r3	2936.99237975911	59.13809848406061
r4	2817.889421684154	57.64294911629795
pessimist	4094.547916404986	79.94227301422548
