STOKE: Start Bat: 1.000000
ELocation 0: Diff:1 ms Accuracy:10.00
STOKE: Battery:1.000000 Level:100 Voltage:4.2340 Amps:0.2853 Watts:1.2081
STOKE: Battery:1.000000 Level:100 Voltage:4.2340 Amps:0.2853 Watts:1.2081
STOKE: Battery:1.000000 Level:100 Voltage:4.2340 Amps:0.5592 Watts:2.3678
STOKE: Battery:1.000000 Level:100 Voltage:4.2340 Amps:0.5592 Watts:2.3678
STOKE: Battery:1.000000 Level:100 Voltage:4.2340 Amps:0.5592 Watts:2.3678
STOKE: Battery:1.000000 Level:100 Voltage:4.2340 Amps:0.5592 Watts:2.3678
STOKE: Battery:1.000000 Level:100 Voltage:4.2340 Amps:0.5592 Watts:2.3678
STOKE: Battery:1.000000 Level:100 Voltage:4.2340 Amps:0.5592 Watts:2.3678
STOKE: Battery:1.000000 Level:100 Voltage:4.2340 Amps:0.3445 Watts:1.4588
STOKE: Battery:1.000000 Level:100 Voltage:4.2340 Amps:0.3445 Watts:1.4588
STOKE: Battery:1.000000 Level:100 Voltage:4.2340 Amps:0.3445 Watts:1.4588
STOKE: Battery:1.000000 Level:100 Voltage:4.2340 Amps:0.3445 Watts:1.4588
STOKE: Battery:1.000000 Level:100 Voltage:4.2340 Amps:0.3445 Watts:1.4588
STOKE: Battery:1.000000 Level:100 Voltage:4.2340 Amps:0.3445 Watts:1.4588
STOKE: Battery:1.000000 Level:100 Voltage:4.2340 Amps:0.2681 Watts:1.1351
STOKE: Battery:1.000000 Level:100 Voltage:4.2340 Amps:0.2681 Watts:1.1351
STOKE: Battery:1.000000 Level:100 Voltage:4.2340 Amps:0.2681 Watts:1.1351
STOKE: Battery:1.000000 Level:100 Voltage:4.2340 Amps:0.2681 Watts:1.1351
STOKE: Battery:1.000000 Level:100 Voltage:4.2340 Amps:0.2681 Watts:1.1351
STOKE: Battery:1.000000 Level:100 Voltage:4.2340 Amps:0.2681 Watts:1.1351
STOKE: Battery:1.000000 Level:100 Voltage:4.2340 Amps:0.5495 Watts:2.3264
STOKE: Battery:1.000000 Level:100 Voltage:4.2340 Amps:0.5495 Watts:2.3264
STOKE: Battery:1.000000 Level:100 Voltage:4.2340 Amps:0.5495 Watts:2.3264
STOKE: Battery:1.000000 Level:100 Voltage:4.2340 Amps:0.5495 Watts:2.3264
STOKE: Battery:1.000000 Level:100 Voltage:4.2340 Amps:0.5495 Watts:2.3264
STOKE: Battery:1.000000 Level:100 Voltage:4.2340 Amps:0.5495 Watts:2.3264
STOKE: Battery:1.000000 Level:100 Voltage:4.2340 Amps:0.3424 Watts:1.4497
STOKE: Battery:1.000000 Level:100 Voltage:4.2340 Amps:0.3424 Watts:1.4497
STOKE: Battery:1.000000 Level:100 Voltage:4.2340 Amps:0.3424 Watts:1.4497
STOKE: Battery:1.000000 Level:100 Voltage:4.2340 Amps:0.3424 Watts:1.4497
STOKE: Battery:1.000000 Level:100 Voltage:4.2340 Amps:0.3424 Watts:1.4497
STOKE: Battery:1.000000 Level:100 Voltage:4.2340 Amps:0.3424 Watts:1.4497
STOKE: Battery:1.000000 Level:100 Voltage:4.2340 Amps:0.5563 Watts:2.3555
STOKE: Battery:1.000000 Level:100 Voltage:4.2340 Amps:0.5563 Watts:2.3555
STOKE: Battery:1.000000 Level:100 Voltage:4.2340 Amps:0.5563 Watts:2.3555
STOKE: Battery:1.000000 Level:100 Voltage:4.2340 Amps:0.5563 Watts:2.3555
STOKE: Battery:1.000000 Level:100 Voltage:4.2340 Amps:0.5563 Watts:2.3555
STOKE: Battery:1.000000 Level:100 Voltage:4.2340 Amps:0.5563 Watts:2.3555
STOKE: Battery:1.000000 Level:100 Voltage:4.2340 Amps:0.5608 Watts:2.3742
STOKE: Battery:1.000000 Level:100 Voltage:4.2340 Amps:0.5608 Watts:2.3742
STOKE: Battery:1.000000 Level:100 Voltage:4.2340 Amps:0.5608 Watts:2.3742
STOKE: Battery:1.000000 Level:100 Voltage:4.2340 Amps:0.5608 Watts:2.3742
STOKE: Battery:1.000000 Level:100 Voltage:4.2340 Amps:0.5608 Watts:2.3742
ELocation 2: Diff:5000 ms Accuracy:10.00
