task	r0_energy	r0_config	r0_reward	r0_rate	r0_avgrate	r0_rollrate	c0	c1	c2	c3	c4	c5	c6	c7	c8	c9	c10	c11
0	10.188821272599512	0	53.655275720042994	19.81117872740049	19.81117872740049	19.81117872740049	1	0	0	0	0	0	0	0	0	0	0	0
1	9.941579057907695	0	107.98016577154299	20.058420942092305	19.934799834746396	19.934799834746396	1	0	0	0	0	0	0	0	0	0	0	0
2	7.039786924550391	1	208.29625535886697	37.03978692455039	25.636462198014396	25.636462198014396	0	1	0	0	0	0	0	0	0	0	0	0
3	8.324933696069909	1	266.999559932011	21.67506630393009	24.64611322449332	24.64611322449332	0	1	0	0	0	0	0	0	0	0	0	0
4	12.571549871924677	2	314.201612362215	17.428450128075323	23.20258060520972	23.20258060520972	0	0	1	0	0	0	0	0	0	0	0	0
5	15.34633569189415	2	353.88861986333495	14.65366430810585	21.777761222359075	21.777761222359075	0	0	1	0	0	0	0	0	0	0	0	0
6	14.640905212176	3	395.4861682470249	15.359094787824	20.860808874568352	20.860808874568352	0	0	0	1	0	0	0	0	0	0	0	0
7	14.90884716084923	3	436.3580405197249	15.09115283915077	20.139601870141153	20.139601870141153	0	0	0	1	0	0	0	0	0	0	0	0
8	13.918508260860548	4	555.304000392889	43.91850826086055	22.781702580221083	22.781702580221083	0	0	0	0	1	0	0	0	0	0	0	0
9	3.28936717354339	4	645.462703154569	33.28936717354339	23.832469039553313	23.832469039553313	0	0	0	0	1	0	0	0	0	0	0	0
10	9.940574957265234	2	699.790312645309	20.059425042734766	23.489465039842536	23.857293671086744	0	0	1	0	0	0	0	0	0	0	0	0
11	5.3806394122944	2	795.612877720273	35.3806394122944	24.480396237546856	25.389515518106954	0	0	1	0	0	0	0	0	0	0	0	0
12	0.9827466091458383	0	874.201272320503	29.01725339085416	24.829385249339722	24.587262164737332	1	0	0	0	0	0	0	0	0	0	0	0
13	15.22702526477465	3	914.211412228405	14.77297473522535	24.11107021261727	23.897053007866855	0	0	0	1	0	0	0	0	0	0	0	0
14	3.062653162279755	1	987.166726580564	26.937346837720245	24.299488654290805	24.847942678831348	0	1	0	0	0	0	0	0	0	0	0	0
15	13.985856123364432	1	1030.5383662464521	16.01414387663557	23.78165460568735	24.98399063568432	0	1	0	0	0	0	0	0	0	0	0	0
16	15.239673744172059	2	1070.5142498559862	14.760326255827941	23.250988232166208	24.924113782484717	0	0	1	0	0	0	0	0	0	0	0	0
17	0.5468310796061537	4	1153.2452506965863	30.546831079606154	23.65631283480176	26.46968160653025	0	0	0	0	1	0	0	0	0	0	0	0
18	3.878225294796195	4	1244.9987775366592	33.878225294796195	24.194308227433044	25.465653309923816	0	0	0	0	1	0	0	0	0	0	0	0
19	15.703984254105595	1	1283.7171535151233	14.296015745894405	23.699393603356114	23.56631816715892	0	1	0	0	0	0	0	0	0	0	0	0
20	13.353990854148922	2	1328.8000949518032	16.646009145851078	23.36351815299873	23.224976577470553	0	0	1	0	0	0	0	0	0	0	0	0
21	7.00220453838719	4	1429.0143989099352	37.00220453838719	23.98345844324366	23.38713309007983	0	0	0	0	1	0	0	0	0	0	0	0
22	0.3859802004287971	2	1509.219035867107	29.614019799571203	24.22826545873616	23.446809730951532	0	0	1	0	0	0	0	0	0	0	0	0
23	11.450427475439998	0	1559.4574614544572	18.549572524560002	23.991653253145486	23.824469509885	1	0	0	0	0	0	0	0	0	0	0	0
24	2.509117944979188	4	1647.5029892221091	32.50911794497919	24.332351840818834	24.38164662061089	0	0	0	0	1	0	0	0	0	0	0	0
25	6.521735618155198	3	1746.4160231879462	36.5217356181552	24.801174293793306	26.432405794762854	0	0	0	1	0	0	0	0	0	0	0	0
26	9.063280789411195	4	1852.2124086592682	39.063280789411195	25.329400460297673	28.86270124812118	0	0	0	0	1	0	0	0	0	0	0	0
27	5.925608408772931	4	1949.5109314330282	35.92560840877293	25.707836458457507	29.40057898103786	0	0	0	0	1	0	0	0	0	0	0	0
