policy	time	converge	projected	permin	avg
oracle	49	4695.311247846819	6071.654812335597	85.5162649624732	47.7465812707142
r1	46	5110.382108884731	6764.813925045542	91.41640439250733	51.040825785816594
r2	40	4613.794957463384	9668.693546001927	120.8586693250241	67.47942370647179
r3	44	4594.616249391607	7713.115259008396	101.4883586711631	56.6643335913994
r4	63	6702.127806936771	5053.604818290176	88.65973365421361	49.5016846236026
pessimist	49	7314.095817503254	9665.415535930733	136.132613182123	76.00737569335202
