task	reward	total_reward	total_reward_dev	joules
0	40.74396045175566	40.74396045175566	6.112321915952911	40.74396045175566
1	68.28550159146467	109.02946204322033	30.465687479746432	68.28550159146467
2	67.40662918778968	176.43609123101	48.21886147334028	67.40662918778968
3	42.12911720592333	218.56520843693332	44.74823312578723	42.12911720592333
4	71.87984184023283	290.44505027716616	57.971386185072795	71.87984184023283
5	55.69031461239532	346.1353648895615	72.34028889196291	55.69031461239532
6	52.003684871957	398.1390497615185	60.79754975458617	52.003684871957
7	45.48471419014433	443.6237639516628	61.8524518040768	45.48471419014433
8	47.87217472182733	491.4959386734902	73.40497793244619	47.87217472182733
9	78.13652239689999	569.6324610703901	99.92212728224925	78.13652239689999
10	97.74728814669834	667.3797492170885	100.58290943877294	97.74728814669834
11	104.5255874776335	771.9053366947219	98.34678506467233	104.5255874776335
12	59.9569017866205	831.8622384813424	84.95218132210162	59.9569017866205
13	86.16059074757982	918.0228292289224	105.29477600520488	86.16059074757982
14	47.60375205232	965.6265812812422	97.58204648599136	47.60375205232
15	42.065292439275666	1007.6918737205178	94.42288105555538	42.065292439275666
16	58.800027082832834	1066.4919008033505	116.54374567809788	58.800027082832834
17	37.69516541538233	1104.1870662187332	118.37367341655703	37.69516541538233
18	60.99336073527283	1165.180426954006	119.48324428544711	60.99336073527283
19	46.32084971184983	1211.5012766658558	110.5813747844557	46.32084971184983
20	64.3149731861585	1275.8162498520144	131.72512593433612	64.3149731861585
21	59.26751574520367	1335.083765597218	137.75270880215257	59.26751574520367
22	47.674349234163664	1382.7581148313814	127.88608908584226	47.674349234163664
23	42.02442236159367	1424.7825371929755	118.99769909696921	42.02442236159367
24	46.51066953431633	1471.2932067272916	111.78806082755517	46.51066953431633
25	95.18951611755551	1566.4827228448469	92.83119864445533	95.18951611755551
26	62.25655205960183	1628.739274904449	108.18731224334687	62.25655205960183
27	82.436289954845	1711.1755648592941	118.60258365540055	82.436289954845
28	53.99534094315583	1765.1709058024499	105.54103542748894	53.99534094315583
29	46.892591844041995	1812.063497646492	96.9212697873599	46.892591844041995
30	59.73090177893917	1871.794399425431	81.2867349053842	59.73090177893917
31	44.70978335521951	1916.5041827806501	77.33978259534824	44.70978335521951
32	54.051486425431506	1970.5556692060818	91.08459104785476	54.051486425431506
33	45.48379191081049	2016.0394611168924	99.92221099078644	45.48379191081049
34	31.278614915053996	2047.3180760319467	100.78665530956715	31.278614915053996
35	45.08535414327116	2092.4034301752176	102.39227400911848	45.08535414327116
36	43.847981447705166	2136.2514116229227	91.422921045665	43.847981447705166
37	49.859607909741335	2186.111019532664	98.04507737604308	49.859607909741335
38	58.31529090544634	2244.4263104381102	118.25237129686937	58.31529090544634
39	43.9711362363585	2288.397446674469	130.0919309994627	43.9711362363585
40	64.81527634282615	2353.212723017295	146.65261010194854	64.81527634282615
41	46.757678058397495	2399.9704010756927	145.93629065588578	46.757678058397495
42	52.87239280269217	2452.842793878385	150.54847264161052	52.87239280269217
43	44.184182079398504	2497.0269759577836	155.52428430436754	44.184182079398504
44	54.71713965216201	2551.7441156099453	171.6874768314893	54.71713965216201
45	47.87887962049367	2599.622995230439	175.7347020609052	47.87887962049367
46	53.73877619496267	2653.3617714254015	177.79245923893308	53.73877619496267
47	57.594176450981	2710.9559478763827	168.22290560108377	57.594176450981
48	53.13411456772317	2764.0900624441056	155.8181203729763	53.13411456772317
49	48.05193000465433	2812.14199244876	165.17857865048381	48.05193000465433
50	58.7778476605745	2870.9198401093345	147.29937849315917	58.7778476605745
51	38.53087030760833	2909.450710416943	150.98467617105166	38.53087030760833
52	36.48856186389983	2945.939272280843	150.64406615035315	36.48856186389983
53	39.868126897375326	2985.8073991782185	158.03453884202256	39.868126897375326
54	44.060015910170335	3029.8674150883885	160.81220287871446	44.060015910170335
55	57.91206772862233	3087.7794828170113	154.0657828631551	57.91206772862233
56	59.621599573918836	3147.4010823909302	139.48272439396558	59.621599573918836
57	49.91483084304567	3197.315913233975	146.49979292123965	49.91483084304567
58	45.72009652870283	3243.0360097626785	155.1946951027803	45.72009652870283
59	53.660766926428494	3296.696776689107	167.9872735270468	53.660766926428494
60	46.67754948591317	3343.37432617502	176.08469632195806	46.67754948591317
61	42.65464839893033	3386.02897457395	180.1832073328093	42.65464839893033
62	42.11913095178166	3428.148105525732	183.39608185553854	42.11913095178166
63	52.57192014223699	3480.7200256679694	194.0051678463311	52.57192014223699
64	51.42586884767851	3532.145894515648	200.1942587665765	51.42586884767851
65	38.988593828152666	3571.1344883438	199.77712940099892	38.988593828152666
66	38.306136962711	3609.4406253065117	195.48690800508032	38.306136962711
67	41.484200906262494	3650.9248262127744	195.7593292090469	41.484200906262494
68	53.999083456922996	3704.923909669697	188.1731890838562	53.999083456922996
69	59.58598024180699	3764.5098899115037	193.99480442102904	59.58598024180699
70	49.25723995786483	3813.767129869369	191.80195806877938	49.25723995786483
71	44.14175334460566	3857.9088832139746	187.317547693865	44.14175334460566
