==RUN-0==
ETask 4: Configuration:0 Energy:13.90 Power:13.90 Reward:13.90 Time:4993
ETask 5: Configuration:18 Energy:13.80 Power:13.80 Reward:13.80 Time:4997
ETask 6: Configuration:36 Energy:13.60 Power:13.60 Reward:13.60 Time:4997
ETask 7: Configuration:36 Energy:13.50 Power:13.50 Reward:13.50 Time:4998
ETask 8: Configuration:36 Energy:13.30 Power:13.30 Reward:13.30 Time:4996
ETask 9: Configuration:36 Energy:12.90 Power:12.90 Reward:12.90 Time:4996
ETask 10: Configuration:36 Energy:12.70 Power:12.70 Reward:12.70 Time:4997
ETask 11: Configuration:36 Energy:12.50 Power:12.50 Reward:12.50 Time:4997
ETask 12: Configuration:36 Energy:12.50 Power:12.50 Reward:12.50 Time:4996
ETask 13: Configuration:36 Energy:12.60 Power:12.60 Reward:12.60 Time:4995
ETask 14: Configuration:36 Energy:12.50 Power:12.50 Reward:12.50 Time:4997
ETask 15: Configuration:36 Energy:12.50 Power:12.50 Reward:12.50 Time:4997
ETask 16: Configuration:36 Energy:12.50 Power:12.50 Reward:12.50 Time:4997
ETask 17: Configuration:36 Energy:12.60 Power:12.60 Reward:12.60 Time:4996
ETask 18: Configuration:36 Energy:12.70 Power:12.70 Reward:12.70 Time:4996
ETask 19: Configuration:36 Energy:12.70 Power:12.70 Reward:12.70 Time:4997
ETask 20: Configuration:36 Energy:12.50 Power:12.50 Reward:12.50 Time:4997
ETask 21: Configuration:36 Energy:12.70 Power:12.70 Reward:12.70 Time:4997
ETask 22: Configuration:36 Energy:12.90 Power:12.90 Reward:12.90 Time:4998
ETask 23: Configuration:36 Energy:12.80 Power:12.80 Reward:12.80 Time:4996
ETask 24: Configuration:36 Energy:12.20 Power:12.20 Reward:12.20 Time:4998
ETask 25: Configuration:36 Energy:12.00 Power:12.00 Reward:12.00 Time:4997
ETask 26: Configuration:36 Energy:11.90 Power:11.90 Reward:11.90 Time:4998
ERun: Reward:293.80 PostConfigReward:252.50 Time:117009
