policy	energy20	avgenergy
oracle	5133.9460133172915	51.215614460930304
r1	6666.061173224413	67.18420012808672
r2	7690.171506223307	75.3372508648286
r3	5301.745442886421	55.442401612139065
r4	7414.8512125633	74.55114854894617
pessimist	7986.647572869663	79.94227301422548
