policy	energy20	avgenergy
oracle	2944.4345865374844	51.215614460930304
r1	4154.040837469459	71.62139374947343
r2	3943.827008066563	67.99701738045798
r3	3914.2298172525025	67.48672098711211
r4	3799.4017724271416	65.50692711081278
pessimist	4828.003401101306	79.94227301422548
