policy	energy20	avgenergy
oracle	2944.4345865374844	51.215614460930304
r1	3339.003552468394	57.569026766696446
r2	3460.6519995176563	59.66641378478718
r3	3430.0097120755154	59.13809848406061
r4	3343.291048745281	57.64294911629795
pessimist	4828.003401101306	79.94227301422548
