task	r0_energy	r0_config	r0_reward	r0_rate	r0_avgrate	r0_rollrate	r1_energy	r1_config	r1_reward	r1_rate	r1_avgrate	r1_rollrate	r2_energy	r2_config	r2_reward	r2_rate	r2_avgrate	r2_rollrate	r3_energy	r3_config	r3_reward	r3_rate	r3_avgrate	r3_rollrate	c0	c1	c2	c3	c4	c5	c6	c7	c8	c9	c10	c11	c12	c13	c14	c15	c16	c17	c18	c19	c20	c21	c22	c23	c24	c25	c26	c27	c28	c29
10	10.315332216802705	3	494.933857287609	19.684667783197295	16.61316444042324	14.953684567053562	18.002920167618463	3	501.27350501488394	11.997079832381537	16.825963804695405	16.989460066266236	8.271776127175386	3	707.727069945361	38.271776127175386	23.755873676487646	24.324363653374007	15.312475449068309	3	516.411951541178	14.687524550931691	17.334107464319263	17.116030067364854	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11	2.057161349241589	3	581.755335941805	32.05716134924159	17.90016418282477	16.726899461771147	12.552223267476926	3	548.527900332134	17.447776732523074	16.877781548681046	17.185250306539636	13.024245738276925	3	753.703071070861	16.975754261723075	23.190863725257262	24.528198514928715	7.20629570719311	3	578.14490066753	22.79370429280689	17.789073866693233	17.45393858913726	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12	0.35575200132332085	4	663.9688309453891	30.35575200132332	18.858286322709272	18.435429769333144	13.888557809623755	4	592.1630562644029	16.111442190376245	16.818832367272982	16.847943703972835	1.7737902758045543	4	839.757086401165	31.773790275804554	23.851088844530132	26.320643978573173	14.426651621650704	4	620.322719192226	15.573348378349296	17.61863344451293	17.62887260089027	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13	4.1704741238783996	4	756.513865030893	34.1704741238784	19.95201402279278	20.538243818519994	0.24718517632984316	4	674.0825161169629	30.247185176329843	17.77800042506276	17.870850015223347	2.8557847325302106	4	928.7415033851009	32.85578473253021	24.49428140795871	26.73864296159819	0.8193150031310807	4	699.353741058746	29.18068499686892	18.44449426968121	19.22109673221563	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14	0.4858491619170415	4	839.0797065110851	30.48584916191704	20.6542696987344	21.85325298531422	0.9412213244082466	4	752.7833750300239	29.058778675591753	18.53005230843136	18.019992125481895	0.5693759630414803	4	1008.449443485197	29.43062403695852	24.823370916558698	26.736058146406045	15.778815747822277	4	737.869448408394	14.221184252177723	18.162940268514316	19.235957207987262	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15	17.072842247624862	5	874.0907587571011	12.927157752375138	20.171325202086944	21.75457591454429	0.8400500020475086	5	836.3085104522359	30.84005000204751	19.29942716428237	19.18300639256891	16.492049064062034	5	1045.033477270029	13.507950935937966	24.116157167769902	24.98675871535584	7.872952033401599	5	797.796869984598	22.1270479665984	18.41069699964457	18.255314318775028	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16	16.78633515001698	5	909.877767725805	13.213664849983017	19.76205106372789	21.538135402381734	15.892104647051816	5	874.5173936998038	14.107895352948184	18.994042940086242	19.31721011447365	16.525803777083077	5	1081.526092040429	13.474196222916925	23.49015946513149	23.014754484233134	5.657759480152617	5	863.723771392518	24.342240519847383	18.759611324362385	19.068132089138693	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17	16.554663814656003	5	946.292219894445	13.445336185343997	19.411122459373228	21.49106238417607	16.404516188136373	5	911.3384956902678	13.595483811863627	18.694122988518316	19.398355408244086	16.664400303820802	5	1117.6433412175809	13.335599696179198	22.926017255745254	22.61908997901105	7.974588553471758	5	923.3759273935319	22.025411446528242	18.94104466448271	19.871539733461553	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18	12.023058643542647	6	994.979769401517	17.976941356457353	19.335639243430286	21.903450066533317	15.730572284895137	6	949.9848624186768	14.269427715104863	18.461244289917612	19.02980757370534	10.00505598853514	6	1171.796314581965	19.99494401146486	22.77175024288839	22.81499646434954	6.859689097034586	6	986.0476027557299	23.140310902965414	19.162058677034434	20.629894159928714	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19	11.059780557335635	6	1046.276197058733	18.940219442664365	19.31586825339199	22.32572240063815	1.9476518506301517	6	1036.5097528474669	31.94765185063015	19.13556466795324	20.962277133979676	5.910664106141546	6	1237.0382659611648	24.089335893858454	22.837629525436892	23.370975619454917	14.543607813136981	6	1027.9086649284839	15.456392186863019	18.976775352525863	20.354784949393697	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20	11.818575205265727	6	1095.517555877805	18.181424794734273	19.26184713631305	22.17539810179185	10.517604386392613	6	1089.2745743009868	19.482395613607387	19.1520804272701	21.710808712102263	7.108556876933903	6	1299.0359244194688	22.891443123066097	22.84019207770495	21.832942319043987	16.430070964866463	6	1064.6605560653038	13.569929035133537	18.719306480269086	20.24302539781388	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21	11.661056114924307	7	1145.1855288998852	18.338943885075693	19.219896988529538	20.80357635537526	9.594414643690335	7	1144.5397013076588	20.405585356309665	19.209057924044625	22.00658957448092	10.919111664974771	7	1350.7133303268288	19.08088833502523	22.669314634855873	22.0434557263742	14.667403272073848	7	1106.1863388701038	15.332596727926152	18.565365127889862	19.49691464132581	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22	10.520884058348308	7	1197.9414679085253	19.479115941651692	19.231167377795717	19.715912749408098	8.726756935250584	7	1202.1547346080217	21.273243064749416	19.298805104075267	22.52276966191824	16.2017685009408	7	1388.0835406367808	13.7982314990592	22.283615368082106	20.24589984869967	16.454435146486155	7	1142.8722436817038	13.545564853513843	18.347112942047428	19.29413628884226	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23	13.256142158863756	7	1243.2894162282694	16.743857841136244	19.127529480434905	17.97325112113388	16.267325523088246	7	1239.3473946496576	13.732674476911754	19.066882994610122	20.871318591976433	15.75895313542302	7	1426.6530425616768	14.24104686457698	21.948508347102727	18.384426061904342	12.072705818630773	7	1191.425332089579	17.927294181369227	18.329620493685834	18.168797207292293	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24	16.705879796263382	8	1279.2943251133893	13.294120203736616	18.894193109366974	16.254078225315837	2.605946180706468	8	1327.6551655557378	32.60594618070647	19.608445522053977	21.2260353424879	12.743654889216003	8	1473.3889772367168	17.256345110783997	21.760821817649976	17.16699816928689	15.86734073396234	8	1229.701284268431	14.13265926603766	18.161742044579906	18.15994470867829	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
25	11.870840673947079	8	1328.3941316214493	18.12915932605292	18.86476873308566	16.77427838268362	15.156496240187074	8	1367.8563215718978	14.843503759812926	19.42517853119855	19.626380718264443	11.739815883033604	8	1522.8436425535008	18.260184116966396	21.626181906085222	17.642221487389737	15.939421139082832	8	1267.782018683415	14.060578860917168	18.00400499905442	17.353297798110162	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26	16.395048413243078	8	1365.2408755022493	13.604951586756922	18.66996069062904	16.813407056361008	15.977720560246157	8	1405.8333283878978	14.022279439753843	19.225071157441338	19.61781912694501	16.0985745808896	8	1560.4933363969249	13.9014254191104	21.34007981397504	17.684944407009084	2.6882618291387104	8	1356.312727803999	32.68826182913871	18.547866363131615	18.187899929039297	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
27	16.477349835027688	9	1401.8647196990494	13.522650164972312	18.486128171855587	16.821138454323837	15.379256681350153	9	1445.4311748759078	14.620743318649847	19.0606308774845	19.72034507762363	16.224079439313233	9	1597.803121248785	13.775920560686767	21.06993126921475	17.72897649345984	1.400859479810947	9	1441.356722228487	31.400859479810947	19.00690183158445	19.125444732367566	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28	16.19420194317785	9	1439.2554227696094	13.805798056822152	18.324737478233743	16.40402412436032	16.012890682009846	9	1483.3129292787978	13.987109317990152	18.885681858191592	19.692113237912164	15.608401679058465	9	1636.780366701335	14.391598320941535	20.839643926170844	17.168641924407506	16.07934401158302	9	1479.058498863783	13.920655988416978	18.831514043889023	18.203479240912724	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
29	16.453231716837415	9	1475.9445868698413	13.546768283162587	18.165471838398037	15.864679008410139	14.58995406531988	9	1525.0484703518898	15.41004593468012	18.769827327407878	18.038352646317158	16.03199539951016	9	1674.6103791609949	13.968004600489843	20.61058928198148	16.156508795070643	1.529370178821413	9	1564.450543098091	31.529370178821413	19.254775915053433	19.810777040108565	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
30	17.300158543399384	10	1510.3399908148012	12.699841456600614	17.989161180920703	15.316520674596774	17.99978538654277	10	1557.5490515966699	12.000214613457231	18.55145272373205	17.29013454630214	18.215863588128002	10	1706.5257486098149	11.784136411872	20.325864995848914	15.045778123951234	16.472126246778096	10	1601.0885345130669	13.527873753221906	19.070037135639513	19.8065715119174	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
31	15.970222118854887	10	1548.3373059095693	14.029777881145113	17.865430452802716	14.885604074203718	16.15533669552739	10	1595.04501471295	13.844663304472613	18.404365554380195	16.634042341118437	18.094446038224618	10	1738.76995725629	11.905553961775382	20.062730276034117	14.328244686626253	16.099651690495016	10	1638.7353111846428	13.900348309504983	18.90848435982281	19.66334667007528	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
32	18.765340077542398	10	1578.7645098662254	11.234659922457602	17.664498012489226	14.06115847228431	1.1986228422912042	10	1673.048744515078	28.801377157708796	18.71942651205682	17.386855750414373	18.157713295091078	10	1770.8428170820848	11.842286704908922	19.81362592539396	14.132650207211224	7.7042380017038745	10	1699.1196665966947	22.295761998296125	19.011129136746245	20.538366384553512	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
33	17.000980801550767	11	1613.9701868620255	12.999019198449233	17.5272780473704	13.686674608015608	18.300135473811693	11	1704.735877606838	11.699864526188305	18.5129688065901	17.18357475534203	17.49156721392	11	1804.719822544385	12.50843278608	19.59876730364943	13.959388799361525	10.793670913039755	11	1751.1368078738788	19.206329086960245	19.01687031175254	20.66626987511261	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
34	18.531486390625474	11	1645.0307445540814	11.468513609374526	17.354170491999092	13.504113948579397	18.377001119029664	11	1736.214832909466	11.622998880970338	18.316112523000964	15.085280025368416	18.50064752064	11	1835.863902175985	11.499352479359999	19.367355451526876	13.383689536219123	10.64375114498954	11	1803.5599818561986	19.35624885501046	19.02656684155991	21.18862883400989	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
35	14.67171048185206	11	1686.5448619990655	15.32828951814794	17.297896020503227	13.224026967788898	18.28772997799385	11	1767.935564219066	11.712270022006154	18.132672453528883	14.772156651587741	18.198904733538463	11	1867.825201855985	11.801095266461537	19.15718155749728	12.737780651168638	16.474746342118898	11	1840.1908771796266	13.525253657881104	18.87375258645772	21.135096313706285	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
36	14.641253278995693	12	1728.1414677017854	15.358746721004307	17.24548657997623	13.39940648121364	18.253807477692554	12	1799.7481689669821	11.746192522307446	17.960064887820195	14.5445479598431	9.613856565849233	12	1975.11273005516	39.61385656584923	19.71006466583112	15.309023765842522	9.929918931786837	12	1894.5473467393706	20.070081068213163	18.906085788667326	19.873278237613732	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
37	15.085395631174888	12	1768.5351878673534	14.914604368825112	17.184147574419622	13.53860190159892	9.927958601082832	12	1854.1099477557161	20.072041398917168	18.01564321705959	15.089677767869834	16.570253639525905	12	2011.484959781444	13.429746360474095	19.54479313147962	15.274406345821257	16.3337882548224	12	1931.5600035492266	13.6662117451776	18.76819436647023	18.099813464150397	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
38	1.1399919295679943	12	1846.6977097247734	28.860008070432006	17.483528612778915	15.044022902959904	11.887047238345843	12	1903.165861485196	18.112952761654157	18.018138333587654	15.502262112236235	1.2745969447550856	12	2089.282926389399	28.725403055244914	19.78019338593514	16.707786819251595	9.903379613045168	12	2039.6316566678906	39.90337961304517	19.310122193305485	20.698085826613216	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
39	1.0214504491584009	13	1930.7141380245773	31.0214504491584	17.821976658688403	16.79149111955949	11.768582658482956	13	1952.542616785138	18.231417341517044	18.02347030878589	15.784399252919922	13.29433247998228	13	2134.527442589447	16.70566752001772	19.703330239287205	16.981553111204384	16.206936335323572	13	2076.9878707597227	13.793063664676428	19.17219573008976	18.92445517519872	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
40	9.278343671827201	13	1986.8352905800452	20.7216563281728	17.89270055306607	17.5936726067167	12.134798426868183	13	2000.9275377123702	17.865201573131817	18.019610095721156	16.370897948887382	2.7051142433523623	13	2223.1037936651933	32.70511424335236	20.020446922313184	19.07365089435242	4.919534475132565	13	2144.9141315562388	25.080465524867435	19.3162998714258	20.079714352363272	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
41	0.10480785964799466	13	2067.8014359601652	29.895192140352005	18.178474162287166	19.18021403263739	17.76209194037169	13	2034.0718720405303	12.237908059628309	17.881950523433233	16.210222424402954	2.4908302040872528	13	2311.099792134596	32.49083020408725	20.31736080997447	21.132178518583608	5.080314985763437	13	2239.923317976015	35.08031498576344	19.69163356462432	22.197711019989118	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
42	5.39428389530881	14	2163.6609548432934	35.39428389530881	18.57884183049697	21.596176429922515	18.24315849643717	14	2065.9133177793465	11.756841503562828	17.739506127622292	14.505768858988356	5.4097253688801175	14	2407.001131675313	35.40972536888012	20.668346032274602	23.48892238498072	4.744484110989049	14	2334.022962443277	34.74448411098905	20.041699856400243	23.442583231258407	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
43	6.511728688512001	14	2262.5468867080135	36.511728688512	18.986407440906405	23.94744737892879	9.815841123655389	14	2120.5787480694466	20.18415887634461	17.79506641736598	15.354198294003988	9.82979105446153	14	2514.873482447813	39.82979105446153	21.103833419142486	26.221058211818878	0.9501357825090437	14	2417.846246854239	30.950135782509044	20.2896188547209	24.61696390081329	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
44	6.332210427744002	14	2360.9466232831537	36.332210427744	19.371869729502794	26.43381706076574	0.9715709548061362	14	2199.1974100668467	29.028429045193864	18.044696697984378	17.09474131042634	9.010975572047258	14	2620.528207955441	39.01097557204726	21.50176991142926	28.972220521087603	4.7513070030646105	14	2511.9643699875387	34.75130700306461	20.610989702461872	26.156469715618705	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
45	11.117490283776	15	2412.0867537645936	18.882509716224	19.36123146834456	26.789239080573346	12.0160960177152	15	2247.903816685535	17.9839039822848	18.043375117208303	17.721904706454204	12.067243026266585	15	2669.096091425969	17.932756973733415	21.424182673653263	29.58538669181479	16.47592317114683	15	2548.592078065683	13.52407682885317	20.45692637912255	26.156352032715915	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
46	16.204662452914707	15	2449.4491262879496	13.795337547085293	19.24280819342415	26.632898163181444	16.45029559585477	15	2284.600932780095	13.549704404145231	17.947765102036747	17.90225589463798	10.898498721858466	15	2720.829324054269	19.101501278141534	21.374763920557267	27.534151163044022	4.958385821204679	15	2643.271039664779	34.95838582120468	20.76546806937962	27.64518250801506	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
47	14.768168280873601	15	2490.7020038605838	15.231831719126399	19.159246183542948	26.66462089821157	14.16738538848886	15	2327.4809306862708	15.83261461151114	17.903699466817464	17.47831321589738	6.660770849538466	15	2784.039736336769	23.339229150461534	21.41569027951361	28.525099442042755	8.857539573996917	15	2748.510209344354	38.85753957399692	21.14238622572581	30.164315290896997	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
48	1.3710375338562528	16	2575.6652305147777	31.371037533856253	19.408466415181994	26.915723844553998	3.1589391387707124	16	2417.2863908537747	33.15893913877071	18.215030888694063	18.982911853609032	1.5220003192246132	16	2869.4118205346685	31.522000319224613	21.621941504813833	28.804759168440732	10.771878296826095	16	2800.5863722904496	19.228121703173905	21.103319602816587	28.096789499909868	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0
49	16.43816245473969	16	2612.395207199858	13.56183754526031	19.29153383778356	25.169762554164187	15.4991217183744	16	2456.559602866511	14.5008782816256	18.14074783655269	18.60985794761989	14.40692424329354	16	2911.6430673757486	15.59307575670646	21.501364189851685	28.69349999210961	6.46687990223262	16	2864.3219058885697	23.53312009776738	21.1519156127156	29.070795143218966	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0
50	16.67744115393748	16	2648.4771374079437	13.32255884606252	19.1744951124557	24.42985280595316	10.874306948163692	16	2508.358354881901	19.125693051836308	18.160060487832762	18.73590709549034	0.635819649083075	16	2994.615078925349	30.635819649083075	21.680471159640533	28.48657053268268	15.292773397384988	16	2904.153977937319	14.707226602615012	21.02554916153716	28.03347125099372	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0
51	9.960241995769113	17	2702.751482002736	20.039758004230887	19.191134783451375	23.444309392341047	13.68724237259815	17	2552.538740122781	16.31275762740185	18.124535432824477	19.143392052267696	6.715396676732311	17	3094.052611591499	36.71539667673231	21.96960434266153	28.90902717994719	0.2374017602880052	17	2984.761014836539	29.762598239711995	21.19356933611744	27.50169957638858	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0
52	11.34767496716308	17	2753.268195633336	18.65232503283692	19.180968561741665	21.77011350609386	0.5915327452918149	17	2635.390807974613	30.591532745291815	18.359761797210652	21.026861176440594	14.696428124340922	17	3135.499785421409	15.303571875659078	21.84383014517092	26.898411830625083	15.11368810079742	17	3025.0781095635457	14.88631189920258	21.074564478817162	25.51588235520993	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0
53	5.5306577673599975	17	2849.4970604199357	35.53065776736	19.48374058406793	21.672006413978657	16.305809940505107	17	2672.479239385745	13.694190059494895	18.273362320586287	20.37786429475562	15.484248324391386	17	3174.8132795428487	14.515751675608614	21.708124988327175	24.367007892739792	16.405953694740923	17	3061.8953183069557	13.594046305259075	20.936036364492015	23.780273407484934	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0
54	0.6207610646267057	18	2932.4282883032997	30.620761064626706	19.686231865532637	21.10086147766693	6.542702376307943	18	2771.4490583215793	36.54270237630794	18.605532139781225	21.129291627867033	11.49465042506585	18	3224.9319346416287	18.50534957493415	21.649892708083666	22.316445293028476	15.570844965508432	18	3100.9742798587035	14.429155034491568	20.817729431219277	21.748058210627626	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0
55	16.10920899057083	18	2970.0491806205036	13.890791009429169	19.582741850245075	20.601689606987446	3.593657040875808	18	2842.9662371692075	26.406342959124192	18.744832332983776	21.97153552555097	15.848159667349663	18	3263.2598355425566	14.151840332650337	21.515998915665214	21.93835362892017	5.354661603271751	18	3196.7264883675643	35.35466160327175	21.077317505720213	23.931116688069487	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0
56	12.565614305870032	18	3017.2673085421056	17.43438569412997	19.545051391365863	20.96559442169191	9.410094941215753	18	2949.7019109683333	39.41009494121575	19.10738079979486	24.557574579258024	16.049118860331323	18	3301.0434719624927	13.950881139668677	21.383277551174043	21.423291615072888	15.733000840763081	18	3235.3662777571644	14.266999159236919	20.957838236483667	21.86197802187271	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0
57	13.504780056335996	19	3135.0927545280156	43.504780056335996	19.958150161451552	23.792889255412867	3.8608682756174773	19	3041.4084292147973	33.86086827561748	19.361751273515942	26.360399945668654	1.9780730743177735	19	3387.6507532054366	31.978073074317773	21.56594643950411	22.287176007458505	6.368567711357528	19	3333.8644819754245	36.36856771135753	21.22354046880908	21.61308083560877	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0
