task	r0_energy	r0_config	r0_reward	r0_rate	r0_avgrate	r0_rollrate	r1_energy	r1_config	r1_reward	r1_rate	r1_avgrate	r1_rollrate	r2_energy	r2_config	r2_reward	r2_rate	r2_avgrate	r2_rollrate	r3_energy	r3_config	r3_reward	r3_rate	r3_avgrate	r3_rollrate	c0	c1	c2	c3	c4	c5	c6	c7	c8	c9	c10	c11	c12	c13	c14	c15	c16	c17	c18	c19	c20	c21	c22	c23	c24	c25	c26	c27	c28	c29
0	3.207963174120003	0	89.938233596575	33.20796317412	33.20796317412	33.20796317412	14.808998811012925	0	41.14229488683999	15.191001188987075	15.191001188987075	15.191001188987075	11.929026092375995	0	48.942220999815014	18.070973907624005	18.070973907624005	18.070973907624005	10.48511856613662	0	52.85280388337999	19.51488143386338	19.51488143386338	19.51488143386338	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	15.674987597934276	0	128.735142185503	14.325012402065724	23.766487788092864	23.766487788092864	14.510125670210957	0	83.09403786335199	15.489874329789043	15.34043775938806	15.34043775938806	15.062594353823998	0	89.39769462487502	14.937405646176002	16.504189776900002	16.504189776900002	10.585380924917168	0	105.43406387839599	19.414619075082832	19.464750254473106	19.464750254473106	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	16.729551074296616	0	164.675941359283	13.270448925703384	20.26780816729637	20.26780816729637	10.515491783955696	0	135.86458094847197	19.484508216044304	16.721794578273474	16.721794578273474	16.150664360639997	0	126.90631198147503	13.849335639360003	15.619238397720002	15.619238397720002	16.1759917391808	0	142.87408625144798	13.8240082608192	17.584502923255137	17.584502923255137	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	16.857666367990152	1	200.269761612643	13.142333632009848	18.48643953347474	18.48643953347474	9.981877936175263	1	190.08032820466397	20.018122063824737	17.54587644966129	17.54587644966129	1.3242050977199966	1	204.56992317515005	28.675794902280003	18.883377523860002	18.883377523860002	16.741556316384738	1	178.78237122790597	13.25844368361526	16.502988113345168	16.502988113345168	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	12.664242506025232	1	247.220771492158	17.335757493974768	18.256303125574746	18.256303125574746	2.4326424269937235	1	264.74192163155595	27.567357573006277	19.550172674330287	19.550172674330287	0.5435278111200041	1	284.34786868670005	29.456472188879996	20.997996456864	20.997996456864	15.927420505538587	1	216.89560735873897	14.072579494461413	16.016906389568415	16.016906389568415	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	16.08607153992554	1	284.904327738193	13.91392846007446	17.53257401465803	17.53257401465803	10.790092668822645	1	316.76875398682796	19.209907331177355	19.4934617838048	19.4934617838048	1.0009452464400113	1	368.30876206247507	31.00094524644001	22.665154588460002	22.665154588460002	1.933476858720745	1	303.382107184441	31.933476858720745	18.669668134427138	18.669668134427138	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	14.621930028391384	2	326.553267244633	15.378069971608616	17.224787722793828	17.224787722793828	17.234141866099204	2	351.34295309947595	12.765858133900796	18.532375548104227	18.532375548104227	3.194238534144006	2	458.20982475911507	33.194238534144006	24.16930943784343	24.16930943784343	13.785937183789287	2	347.295193978345	16.214062816210713	18.318867374681933	18.318867374681933	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	16.083933632599383	2	364.242613656343	13.916066367400617	16.811197553369677	16.811197553369677	17.21596912584074	2	385.9663700503239	12.78403087415926	17.813832463861107	17.813832463861107	12.707755251600002	2	505.0429876193651	17.292244748399998	23.309676351663004	23.309676351663004	16.00866499670031	2	385.188392945615	13.99133500329969	17.777925828259153	17.777925828259153	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	16.146935467115078	2	401.761330099573	13.853064532884924	16.48251610664915	16.48251610664915	12.045093939507698	2	434.5942406308239	17.954906060492302	17.82950730793124	17.82950730793124	11.964120841919996	2	553.890160339165	18.035879158080004	22.72369888570934	22.72369888570934	14.443233361706213	2	427.32130259099404	15.556766638293787	17.531130362707447	17.531130362707447	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9	15.282503898384002	3	441.621215374783	14.717496101615998	16.306014106145835	16.306014106145835	17.37704375211323	3	468.7814138021839	12.622956247886771	17.308852201926793	17.308852201926793	11.47045565719532	3	604.074342934261	18.52954434280468	22.304283431418874	22.304283431418874	11.79251570778683	3	476.63323921573806	18.20748429221317	17.598765755658018	17.598765755658018	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
