==RUN 0==
STOKE: Start Bat: 0.570000
ELocation 106: Diff:1000 ms Accuracy:10.00
ELocation 107: Diff:1000 ms Accuracy:10.00
ELocation 108: Diff:1000 ms Accuracy:10.00
ELocation 109: Diff:1000 ms Accuracy:10.00
ELocation 110: Diff:1000 ms Accuracy:10.00
ELocation 111: Diff:1000 ms Accuracy:10.00
ELocation 112: Diff:1000 ms Accuracy:10.00
ELocation 113: Diff:1000 ms Accuracy:10.00
ELocation 114: Diff:1000 ms Accuracy:10.00
ELocation 115: Diff:1000 ms Accuracy:10.00
ELocation 116: Diff:1000 ms Accuracy:10.00
ELocation 117: Diff:1000 ms Accuracy:10.00
ELocation 118: Diff:1000 ms Accuracy:10.00
ELocation 119: Diff:1000 ms Accuracy:10.00
ELocation 120: Diff:1000 ms Accuracy:10.00
ELocation 121: Diff:1000 ms Accuracy:10.00
ELocation 122: Diff:1000 ms Accuracy:9.00
ELocation 123: Diff:1000 ms Accuracy:9.00
ELocation 124: Diff:1000 ms Accuracy:9.00
ELocation 125: Diff:1000 ms Accuracy:9.00
ELocation 126: Diff:1000 ms Accuracy:9.00
ETask 19: Configuration:0 Energy:0.00 Power:0.00 Reward:89.27 Time:30016
ELocation 127: Diff:2059 ms Accuracy:9.00
ELocation 128: Diff:-10 ms Accuracy:9.00
ELocation 129: Diff:11357 ms Accuracy:9.00
ELocation 130: Diff:9594 ms Accuracy:11.00
ETask 20: Configuration:1 Energy:0.00 Power:0.00 Reward:48.54 Time:30012
ELocation 131: Diff:9107 ms Accuracy:11.00
ELocation 132: Diff:0 ms Accuracy:11.00
ELocation 133: Diff:3893 ms Accuracy:6.00
ELocation 134: Diff:5000 ms Accuracy:5.00
ELocation 135: Diff:5000 ms Accuracy:4.00
ELocation 136: Diff:5000 ms Accuracy:3.00
ELocation 137: Diff:5000 ms Accuracy:3.00
ETask 21: Configuration:1 Energy:0.00 Power:0.00 Reward:73.37 Time:30016
ELocation 138: Diff:5000 ms Accuracy:3.00
ELocation 139: Diff:5000 ms Accuracy:3.00
ELocation 140: Diff:6000 ms Accuracy:3.00
ELocation 141: Diff:5000 ms Accuracy:5.00
ELocation 142: Diff:6000 ms Accuracy:6.00
ELocation 143: Diff:5000 ms Accuracy:6.00
ETask 22: Configuration:0 Energy:0.00 Power:0.00 Reward:73.73 Time:30021
ELocation 144: Diff:4208 ms Accuracy:5.00
ELocation 145: Diff:-11 ms Accuracy:5.00
ELocation 146: Diff:11212 ms Accuracy:5.00
ELocation 147: Diff:9591 ms Accuracy:17.00
ETask 23: Configuration:1 Energy:0.00 Power:0.00 Reward:38.33 Time:30012
ELocation 148: Diff:9257 ms Accuracy:17.00
ELocation 149: Diff:1 ms Accuracy:17.00
ELocation 150: Diff:3742 ms Accuracy:5.00
ELocation 151: Diff:5000 ms Accuracy:5.00
ELocation 152: Diff:6000 ms Accuracy:7.00
