task	r0_energy	r0_config	r1_energy	r1_config	r2_energy	r2_config
0	13.13	0	13.75	0	6.46	0
1	13.13	0	6.22	0	6.46	0
2	13.13	1	6.22	1	6.46	1
3	11.36	1	6.22	1	6.47	1
4	11.36	2	6.22	2	6.46	2
5	11.36	2	6.22	2	6.47	2
6	11.37	3	6.22	3	6.98	3
7	11.35	3	14.44	3	6.98	3
8	11.38	3	14.46	2	6.98	0
9	13.49	2	14.47	1	6.99	1
10	13.48	3	14.47	2	6.99	2
11	13.49	3	14.47	1	6.99	0
12	13.49	2	14.47	0	14.13	1
13	13.48	3	12.45	3	14.14	2
14	13.48	1	12.42	3	14.13	0
15	6.43	2	12.45	2	14.11	3
16	6.4	0	12.45	1	14.12	0
17	6.4	0	12.45	2	14.13	1
18	6.4	0	12.44	1	12.38	2
19	6.41	0	12.65	2	12.39	0
20	6.39	3	12.67	1	12.33	2
21	12.88	0	12.66	2	12.35	3
22	12.76	0	12.65	1	12.35	1
23	12.76	0	12.65	3	12.38	1
24	12.75	0	12.66	2	12.52	0
25	12.76	0	12.66	1	12.51	2
26	12.76	0	12.86	2	12.53	0
27	6.85	2	12.86	0	12.51	3
28	6.87	2	12.87	1	12.51	2
29	6.87	2	12.87	3	12.52	0
30	6.86	2	12.87	2	12.75	0
31	6.87	2	12.87	1	12.77	1
32	6.86	2	14.37	1	12.77	2
33	12.52	2	14.38	2	12.76	3
34	12.5	2	14.38	0	12.77	1
35	12.51	2	14.37	3	12.77	0
36	12.49	2	14.37	2	7.19	2
37	12.51	2	14.35	3	7.19	2
38	12.51	2	12.41	1	7.19	2
39	12.51	2	12.41	1	7.19	2
40	13.04	2	12.4	1	7.19	2
41	13.07	2	12.42	1	7.18	2
42	13.04	2	12.43	1	13.53	2
43	13.04	2	12.41	1	13.5	0
44	13.04	0	8.42	1	13.51	2
45	13.03	2	8.41	1	13.52	2
46	12.88	2	8.39	3	13.54	2
47	12.86	2	8.4	1	13.52	2
48	12.89	0	8.4	1	12.79	2
49	12.87	1	8.41	1	12.79	2
50	12.88	0	14.61	1	12.79	2
51	12.88	2	14.62	1	12.79	2
52	13.73	2	14.62	1	12.79	2
53	13.72	0	14.6	1	12.81	2
54	13.73	2	14.62	1	12.69	2
55	13.73	2	14.62	1	12.69	1
56	13.75	0	12.5	3	12.7	3
57	13.74	2	12.5	1	12.68	2
58	13.41	2	12.5	1	12.7	2
59	13.43	0	12.5	1	12.68	0
60	13.42	2	12.5	1	14.81	2
61	13.42	3	12.5	3	14.78	1
62	13.41	0	12.58	1	14.78	3
63	13.42	2	12.57	1	14.78	0
64	10.06	2	12.58	3	14.77	2
65	10.07	2	12.58	1	14.78	2
66	10.06	2	12.5	1	14.78	0
67	10.06	2	12.49	1	14.95	1
68	10.07	2	16.89	1	14.95	2
