task	r0_energy	r0_config	r1_energy	r1_config	r2_energy	r2_config
0	46.03	0	40.79	0	36.84	0
1	45.37	0	36.04	0	39.52	0
2	71.34	1	35.78	1	43.34	1
3	48.37	1	74.23	1	71.49	1
4	72.13	2	39.44	2	81.39	2
5	72.14	2	38.91	2	72.55	2
6	78.2	3	75.45	3	72.25	3
7	70.86	3	112.27	3	78.7	3
8	89.27	0	73.58	0	81.44	0
9	48.54	1	42.59	2	38.16	0
10	73.37	1	83.08	2	39.97	0
11	73.73	0	76.61	0	35.11	0
12	38.33	1	79.49	2	48.03	2
13	36.23	1	38.72	2	74.86	0
14	78.92	1	74.72	2	35.8	0
15	46.06	1	76.85	1	36.27	0
16	72.65	1	35.9	2	43.16	0
17	47.07	1	80.11	2	40.88	3
18	88.41	1	36.41	0	74.71	0
19	36.39	1	42.06	0	73.8	0
20	38.02	1	49.54	0	71.42	0
21	80.99	1	35.22	0	79.16	0
22	37.03	1	34.96	0	83.29	0
23	36.38	1	36.94	0	35.57	0
24	108.11	2	40.1	0	35.38	0
25	38.03	1	38.69	0	35.49	0
26	38.98	2	41.73	0	36.0	0
27	96.51	1	63.03	0	36.22	0
28	71.95	1	75.23	1	38.43	0
