task	reward	total_reward	total_reward_dev	joules
0	0.0	85.25211113250002	0.0	85.25211113250002
1	0.0	175.55386696250002	0.0	90.30175582999999
2	0.0	257.765287715	0.0	82.2114207525
3	0.0	340.05456972499996	0.0	82.28928201
4	0.0	452.36618414	0.0	112.31161441500001
5	0.0	561.0027726874999	0.0	108.6365885475
6	0.0	666.4116234425	0.0	105.408850755
7	0.0	747.670358825	0.0	81.25873538249999
8	0.0	828.2514231225	0.0	80.5810642975
9	0.0	911.138144865	0.0	82.88672174249999
10	0.0	1000.9224113849999	0.0	89.78426651999999
11	0.0	1082.20096309	0.0	81.27855170499998
12	0.0	1164.08011837	0.0	81.87915527999999
13	0.0	1253.9805693025	0.0	89.9004509325
14	0.0	1333.5766786225	0.0	79.59610931999998
15	0.0	1432.2804938324998	0.0	98.70381520999999
16	0.0	1531.2931976224997	0.0	99.01270379
17	0.0	1615.9075447124997	0.0	84.61434709
18	0.0	1696.8161142724996	0.0	80.90856955999999
19	0.0	1831.6509125524997	0.0	134.83479828
20	0.0	1912.6899244374997	0.0	81.03901188500001
21	0.0	1997.6702945224997	0.0	84.980370085
22	0.0	2085.8037511674997	0.0	88.133456645
23	0.0	2169.2267303524995	0.0	83.42297918499999
24	0.0	2264.1663380374994	0.0	94.939607685
25	0.0	2379.3897021699995	0.0	115.22336413250001
26	0.0	2479.8359109549997	0.0	100.446208785
27	0.0	2590.7202805899997	0.0	110.884369635
28	0.0	2673.484292245	0.0	82.764011655
29	0.0	2762.7506912199997	0.0	89.266398975
30	0.0	2843.9175159849997	0.0	81.166824765
31	0.0	2926.0921459899996	0.0	82.17463000500001
32	0.0	3027.0551658424997	0.0	100.9630198525
33	0.0	3112.2738355475	0.0	85.21866970500001
34	0.0	3194.3779712325	0.0	82.104135685
35	0.0	3276.78777504	0.0	82.40980380750001
36	0.0	3359.5224060124997	0.0	82.7346309725
37	0.0	3449.8346147525	0.0	90.31220874
38	0.0	3531.6236675524997	0.0	81.7890528
39	0.0	3617.5258787524995	0.0	85.9022112
40	0.0	3701.0097155524995	0.0	83.48383679999999
41	0.0	3792.0535619524994	0.0	91.04384639999999
42	0.0	3883.4592035524993	0.0	91.40564159999998
43	0.0	3968.1941857024995	0.0	84.73498215
44	0.0	4054.1416167524994	0.0	85.94743105
45	0.0	4158.540096652499	0.0	104.3984799
46	0.0	4268.7922490525	0.0	110.25215240000001
47	0.0	4366.806811802499	0.0	98.01456275000001
48	0.0	4481.832780002499	0.0	115.02596820000001
49	0.0	4569.708821112499	0.0	87.87604111000002
50	0.0	4653.564951392499	0.0	83.85613028
51	0.0	4739.618964502499	0.0	86.05401311
52	0.0	4827.363524132499	0.0	87.74455963
53	0.0	4925.2519784324995	0.0	97.8884543
54	0.0	5012.6903489325	0.0	87.43837049999999
55	0.0	5105.0094394325	0.0	92.3190905
56	0.0	5198.572298432499	0.0	93.562859
57	0.0	5307.883336307499	0.0	109.311037875
58	0.0	5421.385649907499	0.0	113.5023136
59	0.0	5525.585752212499	0.0	104.20010230499999
