policy	round	interaction	win
r1	0	30	4.1002
r1	1	60	4.7994
r1	2	90	4.9264
r1	3	120	5.2062
r1	4	121	5.2062
r2	0	30	1.2289
r2	1	60	3.2867
r2	2	90	2.5812
r2	3	121	-0.096
r3	0	30	-3.6807
r3	1	60	1.0861
r3	2	90	-1.5133
r3	3	120	-1.3944
r3	4	121	0.0
r4	0	30	-2.7686
r4	1	60	-3.3832
r4	2	102	1.0208
r4	3	121	-1.845
