task	r0_energy	r0_config	r0_reward	r0_rate	r1_energy	r1_config	r1_reward	r1_rate	c0	c1	c2	c3	c4	c5	c6	c7	c8	c9	c10	c11
0	38.05978915439999	0	38.05978915439999	13.633357309038804	35.9677895868	0	35.9677895868	12.883984329600002	2	0	0	0	0	0	0	0	0	0	0	0
1	57.79214882532	0	95.85193797971999	20.701665250860895	49.97718220071601	0	85.94497178751601	17.902274221152002	2	0	0	0	0	0	0	0	0	0	0	0
2	58.03083918715199	1	153.882777166872	20.787166275994743	39.372007996799994	1	125.316979784316	14.1034058496	0	2	0	0	0	0	0	0	0	0	0	0
3	91.44237902451599	1	245.32515619138798	32.75547905355796	35.681315237682	1	160.998295021998	12.781366652304	0	2	0	0	0	0	0	0	0	0	0	0
4	89.06692971081601	2	334.392085902204	31.904571836710215	84.294230057037	2	245.292525079035	30.194948080132654	0	0	2	0	0	0	0	0	0	0	0	0
5	94.27213781575199	2	428.66422371795596	33.7691239937022	87.13749931029	2	332.430024389325	31.2134325887606	0	0	2	0	0	0	0	0	0	0	0	0
6	88.736250159792	0	517.4004738777479	31.786119460223997	32.292094518683996	0	364.722118908009	11.567317439528594	2	0	0	0	0	0	0	0	0	0	0	0
7	85.535382181752	0	602.9358560594999	30.639539886000723	79.73883470124001	0	444.46095360924903	28.563164669100896	2	0	0	0	0	0	0	0	0	0	0	0
8	69.502821975576	0	672.4386780350759	24.896533244982447	52.59566583285301	0	497.05661944210203	18.84023850729063	2	0	0	0	0	0	0	0	0	0	0	0
9	38.27997579331199	0	710.7186538283879	13.71223013491773	51.41079704475	0	548.467416486852	18.415807896626866	2	0	0	0	0	0	0	0	0	0	0	0
10	38.86108101597599	1	749.5797348443639	13.92038722960334	69.094998503388	2	617.56241499024	24.750447225094202	0	1	1	0	0	0	0	0	0	0	0	0
11	70.04678676163199	1	819.6265216059959	25.091386302674145	34.736021615295	0	652.298436605535	12.442754011448955	1	1	0	0	0	0	0	0	0	0	0	0
12	37.262679870528004	0	856.8892014765239	13.347825625263761	37.286300439108	0	689.584737044643	13.356286724456595	2	0	0	0	0	0	0	0	0	0	0	0
13	72.11263349472	0	929.0018349712439	25.83139110258627	49.58151096505199	0	739.166248009695	17.760541241212653	2	0	0	0	0	0	0	0	0	0	0	0
14	76.830213422592	0	1005.8320483938359	27.521270479734447	36.65319991036999	0	775.8194479200649	13.129504445505669	2	0	0	0	0	0	0	0	0	0	0	0
15	52.965747184896	0	1058.797795578732	18.97280496175379	82.112939458264	2	857.9323873783289	29.413590253706506	1	0	1	0	0	0	0	0	0	0	0	0
16	41.669995885056	0	1100.467791463788	14.926565690169312	81.32566575031	2	939.258053128639	29.131581761305075	1	0	1	0	0	0	0	0	0	0	0	0
17	52.75914303744	0	1153.226934501228	18.898797505948657	68.009792821201	0	1007.26784594984	24.361716831474983	2	0	0	0	0	0	0	0	0	0	0	0
18	34.894790550143995	0	1188.121725051372	12.499626465723223	34.788905387964	0	1042.056751337804	12.461697452405016	2	0	0	0	0	0	0	0	0	0	0	0
19	33.417298656	0	1221.539023707372	11.970375637970148	35.524144335872	0	1077.580895673676	12.725066627775044	2	0	0	0	0	0	0	0	0	0	0	0
20	39.192983113536	0	1260.732006820908	14.039277533206926	37.453159356174	0	1115.03405502985	13.416057082808596	2	0	0	0	0	0	0	0	0	0	0	0
21	51.033087092736	1	1311.765093913644	18.28050880933827	36.12951149901	0	1151.16356652886	12.941914566809551	1	1	0	0	0	0	0	0	0	0	0	0
22	53.174478841344005	1	1364.939572754988	19.04757451033218	34.453085622479996	0	1185.61665215134	12.34140380506746	1	1	0	0	0	0	0	0	0	0	0	0
