task	r0_energy	r0_config	r0_reward	r0_rate	r0_avgrate	r1_energy	r1_config	r1_reward	r1_rate	r1_avgrate	r2_energy	r2_config	r2_reward	r2_rate	r2_avgrate	r3_energy	r3_config	r3_reward	r3_rate	r3_avgrate	c0	c1	c2	c3	c4	c5	c6	c7	c8	c9	c10	c11
28	3.6705013733993965	2	1661.6498747661237	28.670501373399397	20.524753985788454	6.223423428820897	3	1894.402773070676	18.776576571179103	23.399725452236865	13.823296160376827	0	2453.1488646373173	38.82329616037683	30.301375579668356	5.757857863641785	4	2356.5772253404707	30.757857863641785	29.10851951012419	1	0	1	1	1	0	0	0	0	0	0	0
29	10.72876515214806	2	1701.4904053830437	14.27123484785194	20.316303347857236	8.48426995485731	3	1940.509186113366	16.51573004514269	23.17025893866706	12.74047964236346	0	2558.5077036389152	37.74047964236346	30.549345715091526	3.845942770871403	0	2437.1054822424867	28.845942770871403	29.099766952149096	2	0	1	1	0	0	0	0	0	0	0	0
30	10.656566575228181	0	40.042084977487995	14.343433424771819	20.1236301245319	10.319229022052303	0	40.983818980104	14.680770977947697	22.896404488321274	11.514983889679641	0	101.93766335868901	36.51498388967964	30.741785656207274	8.36818122392836	0	46.430494083199996	16.63181877607164	28.697575075501437	4	0	0	0	0	0	0	0	0	0	0	0
31	4.819047531703408	0	96.38057728481598	20.180952468296592	20.125421447774546	12.547406384959046	0	75.74730948876	12.452593615040954	22.570035398531264	2.8273653101088954	0	163.836268534635	22.172634689891105	30.473999688509892	4.289248740011939	0	128.1963134824	29.28924874001194	28.71606487751739	4	0	0	0	0	0	0	0	0	0	0	0
32	6.769822797557609	1	147.273155308301	18.23017720244239	20.0679898039766	8.295769149229855	1	122.37995394715999	16.704230850770145	22.392283745568808	10.826543366726922	1	203.403834969189	14.173456633273078	29.9800438383512	10.718575917774327	1	168.06528904528	14.281424082225673	28.27865152008431	0	4	0	0	0	0	0	0	0	0	0	0
33	5.553137126674869	1	232.56732978693498	30.55313712667487	20.376376489938316	10.674829655576122	1	162.37105449201	14.325170344423878	22.15501570435866	6.2699052709989225	1	290.698987184061	31.269905270998922	30.01798093931143	3.1940013684155275	1	246.77354286544	28.194001368415528	28.27616180974111	0	4	0	0	0	0	0	0	0	0	0	0
34	11.805784168806692	2	269.40118231568295	13.194215831193308	20.17117189968846	10.366774473936243	2	203.22214241893798	14.633225526063757	21.940107413550233	6.518387530530386	2	378.687819040125	31.518387530530386	30.06084969906054	10.791919321240716	2	286.437768093643	14.208080678759284	27.874216634570203	0	0	4	0	0	0	0	0	0	0	0	0
35	10.355695543890151	2	310.2831989223229	14.644304456109849	20.017647804033498	11.708542379145555	2	240.32746161049	13.291457620854445	21.699867141530905	6.402038770745314	2	466.351843941789	31.402038770745314	30.098104951051784	4.4395315140832246	2	368.623126903792	29.439531514083225	27.917697603445564	0	0	4	0	0	0	0	0	0	0	0	0
36	3.624816556016718	3	390.1941451412029	28.624816556016718	20.25027398651953	3.034920855361918	3	318.591615665042	28.034920855361918	21.871084809472283	9.949916595465552	3	508.366660112781	15.050083404534448	29.691401666010776	10.79017391038985	3	408.29222473728703	14.20982608961015	27.54721458955812	0	0	0	4	0	0	0	0	0	0	0	0
37	10.60014051313672	3	430.3937528753629	14.39985948686328	20.09631571021279	12.079625225894208	3	354.660995242754	12.920374774105792	21.635539808541587	6.051549305211701	3	595.0522352564969	31.0515493052117	29.727195024937117	6.113674388634035	3	495.15123240555704	31.113674388634035	27.64106879479696	0	0	0	4	0	0	0	0	0	0	0	0
38	10.57844464219224	4	470.6539282492429	14.42155535780776	19.950809034510094	7.366262886294926	4	445.016812466994	32.366262886294926	21.910686554125007	15.407079860818143	4	707.8553332012809	40.40707986081814	30.001038225857144	10.445673513682628	4	535.7820605131931	14.554326486317372	27.305511299707742	0	0	0	0	4	0	0	0	0	0	0	0
39	11.88475224570149	4	507.26732822999287	13.11524775429851	19.779920002504802	3.818238684771355	4	525.467728795314	28.818238684771355	22.083375357391166	5.917628124857313	4	794.1670450498409	30.917628124857313	30.02395297333215	4.687179173410151	4	618.6587690389631	29.68717917341015	27.365052996550304	0	0	0	0	4	0	0	0	0	0	0	0
40	11.50281423482388	1	544.9469718244429	13.49718576517612	19.626682582082154	12.044963062989373	2	561.633873577802	12.955036937010627	21.86073295689408	7.047121547510443	4	883.631926036641	32.04712154751044	30.073298548312106	13.752982611389136	2	726.8441788290911	38.752982611389136	27.642807377400032	0	1	2	0	1	0	0	0	0	0	0	0
41	11.431299191006564	1	582.8262615828829	13.568700808993436	19.482444920818136	11.924239993760478	2	598.1370369285539	13.075760006239522	21.651566934259446	6.245395948274631	3	970.858656392241	31.24539594827463	30.101205629263593	9.970120453863878	0	824.4690984294612	34.97012045386388	27.817267212553936	1	1	1	1	0	0	0	0	0	0	0	0
42	28.725160261960596	4	732.8090006475229	53.725160261960596	20.278787138054007	12.153892674682268	3	633.9990865450659	12.846107325317732	21.44678880381894	10.823277103130748	2	1010.435341146001	14.176722896869252	29.73086882153349	13.585524943412537	1	932.1870222298212	38.58552494341254	28.067691810945995	0	1	1	1	1	0	0	0	0	0	0	0
43	4.888354608751044	3	788.9540106980929	20.111645391248956	20.274988461990258	7.426227001505673	3	724.522303590936	32.42622700150567	21.696321490130003	7.6112814338447805	3	1101.475168482151	32.61128143384478	29.796332744540567	5.156266433277608	4	1016.3732660227212	30.156266433277608	28.115159415998985	0	0	0	3	1	0	0	0	0	0	0	0
44	6.196932033494928	4	841.4459087712529	18.803067966505072	20.24227911764614	12.370812350083579	0	759.778785780286	12.629187649916421	21.494829627014145	4.53785082537194	2	1158.598668261321	20.46214917462806	29.58890644298696	6.8177657325182075	3	1105.197862026001	31.817765732518207	28.197439556366078	1	0	1	1	1	0	0	0	0	0	0	0
45	8.04633782696716	3	933.7002685382029	33.04633782696716	20.520628220022683	9.877557781622922	2	801.9956036399219	15.122442218377078	21.356299465956816	12.671830790980763	2	1263.765862552809	37.67183079098076	29.764622189682477	3.3944120559522446	3	1184.4655956822012	28.394412055952245	28.20172156722665	0	0	2	2	0	0	0	0	0	0	0	0
46	6.335192079176117	1	985.8061906505029	18.664807920823883	20.48114268174186	11.548326363847636	2	904.0263480723299	36.548326363847636	21.67953408080556	13.093839230353908	4	1370.111163737547	38.09383923035391	29.94183957352655	16.774620601767154	0	1301.0864115288011	41.774620601767154	28.490506653067932	1	1	1	0	1	0	0	0	0	0	0	0
47	11.674441980955224	2	1023.0067067870029	13.325558019044776	20.332068001269004	2.699280846051348	2	981.3535071008899	27.699280846051348	21.80494547174818	14.262931500278441	0	1479.7201808424911	39.26293150027844	30.136028988667217	4.117919031361186	0	1382.3739354913512	29.117919031361186	28.503577744282378	2	0	2	0	0	0	0	0	0	0	0	0
48	6.373408539018509	3	1075.005941282243	18.62659146098149	20.297262357589666	9.295952484052059	2	1077.0963744522019	34.29595248405206	22.05986398220336	7.220476194919641	1	1569.669010219975	32.22047619491964	30.178568727570326	4.49392331212848	3	1464.7111380710433	29.49392331212848	28.523788878320055	0	1	1	2	0	0	0	0	0	0	0	0
49	6.740948485466745	2	1125.979126760315	18.259051514533255	20.25649814072854	4.760248786636417	3	1160.177068981562	29.760248786636417	22.213871678292023	10.635839110161196	1	1609.768959370775	14.364160889838804	29.862280570815695	3.5063573992150445	3	1524.7142236649013	21.493642600784955	28.383185952769352	0	1	1	2	0	0	0	0	0	0	0	0
50	9.576011602376116	3	1169.0377610370151	15.423988397623884	20.161743047726485	9.515300354426273	3	1256.532282471002	34.51530035442627	22.45507616213779	7.706665141002034	2	1701.075066222739	32.706665141002034	29.91805281728994	5.513172506119638	3	1609.8968302444853	30.513172506119638	28.42495039499191	0	0	1	3	0	0	0	0	0	0	0	0
51	7.675460516770627	2	1217.4021004276972	17.324539483229373	20.107181440716925	22.247103554758688	3	1388.43044656137	47.24710355475869	22.931845919688193	10.98700328158663	1	1740.194682061643	14.01299671841337	29.612186353850007	5.399051959011338	0	1694.7608502967253	30.399051959011338	28.462913886607666	1	1	1	1	0	0	0	0	0	0	0	0
52	5.6672391007703915	3	1271.372724604713	19.33276089922961	20.092569732386977	5.708791528677256	2	1474.159156245594	30.708791528677256	23.078580742499305	8.436253121700297	0	1833.537555359723	33.4362531217003	29.684338557016993	6.489399656939938	3	1782.6687576723493	31.489399656939938	28.520017391708276	1	0	1	2	0	0	0	0	0	0	0	0
53	10.0898482245674	3	1312.9968983111291	14.9101517754326	19.996599029480414	12.278909319538627	2	1509.6722010618819	12.721090680461373	22.886775370980086	10.150210065343044	3	1874.993218927307	14.849789934656956	29.40962469363995	10.210657048127757	1	1880.9651752650393	35.21065704812776	28.643918126086415	0	1	1	2	0	0	0	0	0	0	0	0
54	6.521644834064478	4	1364.582306482699	18.478355165935522	19.968994595597778	6.987259525100889	3	1598.9699672361219	31.98725952510089	23.05223871923683	18.359717633992588	3	1996.039097322203	43.35971763399259	29.663262747100912	7.457197294704486	3	1971.5748510460894	32.457197294704486	28.713250474606742	0	0	0	3	1	0	0	0	0	0	0	0
55	11.684716284579103	4	1401.754140188249	13.315283715420897	19.850178329880332	10.540507179405374	0	1639.3360513602818	14.459492820594626	22.89879682818965	6.468730169480722	2	2083.88930237867	31.46873016948072	29.695503236786266	11.177423890086203	2	2072.5701594059133	36.1774238900862	28.846539285597448	1	0	2	0	1	0	0	0	0	0	0	0
56	11.320334547490269	3	1439.943206243172	13.679665452509731	19.741923717996638	5.708649367655163	0	1693.1910718755778	19.291350632344837	22.835508298437983	7.537937980589859	2	2174.72437924115	32.53793798058986	29.745370512993347	13.609095872517251	2	2180.3538853833575	38.60909587251725	29.017812208174984	1	0	2	1	0	0	0	0	0	0	0	0
57	8.204753303104951	4	1532.63980921434	33.20475330310495	19.974041469464023	5.954938665601908	4	1779.6069423170497	30.954938665601908	22.97549847718219	4.668803589603339	1	2257.549789262126	29.66880358960334	29.744050393624555	5.913846555990332	2	2233.6360637478847	19.086153444009668	28.8465767122411	0	1	1	0	2	0	0	0	0	0	0	0
58	11.75090608395463	4	1569.6268630632999	13.24909391604537	19.860059307541675	11.05051924906412	2	1818.5492427467457	13.94948075093588	22.82251512588988	6.687464982169548	1	2346.010629004016	31.687464982169548	29.776989623938878	11.645318023770727	4	2335.937576564245	36.64531802377073	28.978758768368717	0	1	1	0	2	0	0	0	0	0	0	0
59	10.34909570985266	4	1610.5273042066278	14.65090429014734	19.77324005725177	12.076151725850744	2	1854.6283191787456	12.923848274149256	22.65753734502754	10.518895691773135	2	2386.437045197816	14.481104308226865	29.522058202010342	7.848928859909847	3	2427.6408362981597	32.84892885990985	29.043261603227737	0	0	2	1	1	0	0	0	0	0	0	0
60	11.251396714068061	0	38.38151750656	13.748603285931939	19.67447552001702	11.295736962533255	0	38.257734312928	13.704263037466745	22.510762356379	11.755295388278803	0	102.60853295894499	36.7552953882788	29.64063586080163	11.34156233309612	0	38.12980515344	13.65843766690388	28.791051374763413	4	0	0	0	0	0	0	0	0	0	0	0
61	11.88622654771582	0	74.99080172752	13.11377345228418	19.568657744731006	3.7459610985880545	0	118.506875713153	28.745961098588054	22.611330078027535	11.500883615059095	0	204.506833050985	36.500883615059095	29.751285018128364	4.016107512033443	0	119.13310529120002	29.016107512033443	28.794681312461314	4	0	0	0	0	0	0	0	0	0	0	0
62	5.309985996933733	1	129.95875748607997	19.690014003066267	19.570584034545853	11.693078601043586	1	155.655364618573	13.306921398956414	22.46364105137561	11.239064184316419	1	305.674220565535	36.23906418431642	29.854265639813892	6.906660668133732	1	169.64367759266003	18.093339331866268	28.624818741340757	0	4	0	0	0	0	0	0	0	0	0	0
63	0.7638427264802381	1	197.61802987465597	24.236157273519762	19.64348361640482	11.75230219507582	1	192.638520990653	13.24769780492418	22.319641938149807	5.268548464885367	1	390.17391836333996	30.268548464885367	29.86073880895563	3.35553633248	1	248.80288318750002	28.35553633248	28.620611203702307	0	4	0	0	0	0	0	0	0	0	0	0
64	5.996235343829973	2	250.67020620646397	19.003764656170027	19.63364178624736	11.58590179613433	2	230.086211809778	13.41409820386567	22.182633573006974	6.777561376647171	2	478.88627720648	31.77756137664717	29.890228386920114	10.902176421696955	2	288.159307343596	14.097823578303045	28.397183701773088	0	0	4	0	0	0	0	0	0	0	0	0
65	4.44232519718209	2	308.06038169766396	20.55767480281791	19.647642286498428	11.847843689131938	2	266.802648177618	13.152156310868062	22.045808159944265	9.215074134680364	2	574.403359165796	34.215074134680364	29.955756352795273	3.7424288889791057	2	368.398587991996	28.742428888979106	28.402414689458023	0	0	4	0	0	0	0	0	0	0	0	0
66	4.164280378864717	3	366.22676563999994	20.835719621135283	19.665374784030323	7.595372554865669	3	357.79806322661796	32.59537255486567	22.203264344943094	9.923781948569314	3	671.898917105552	34.923781948569314	30.029905988553093	6.333720175039041	3	420.508619170012	18.66627982496096	28.257099243719264	0	0	0	4	0	0	0	0	0	0	0	0
67	9.502839821468656	3	409.48967113839996	15.497160178531344	19.604077510420044	3.5880725131104505	3	437.60643232571795	28.58807251311045	22.29715858271026	6.540710958266274	3	759.950068530712	31.540710958266274	30.052123708695934	4.027738131469373	3	501.54438812036403	29.027738131469373	28.268432168539118	0	0	0	4	0	0	0	0	0	0	0	0
68	8.76956513913612	4	503.763040485155	33.76956513913612	19.80937443257535	0.8885972244561202	4	504.91743174077794	24.11140277554388	22.3234519768093	6.275168143113071	4	847.2599129302359	31.27516814311307	30.069848990354153	4.615365242065192	4	584.2206160877961	29.61536524206519	28.287952937720654	0	0	0	0	4	0	0	0	0	0	0	0
69	7.043237404829853	4	593.217078240305	32.04323740482985	19.984143903607556	8.554098082378509	4	598.589288887418	33.55409808237851	22.48388977831743	5.6929778555840045	4	932.944476110408	30.692977855584004	30.07875083128601	6.361614650453255	4	636.2527751886141	18.638385349546745	28.15010197217531	0	0	0	0	4	0	0	0	0	0	0	0
70	9.900620313826629	3	635.369513197539	15.099379686173371	19.915344407587355	6.638724046197016	3	649.847850925118	18.361275953802984	22.425824794873563	2.832298591829968	0	994.829309208216	22.167701408170032	29.967327599974517	3.5943636024259114	0	716.0787069120531	28.59436360242591	28.156359178235178	2	0	0	2	0	0	0	0	0	0	0	0
71	9.173118297558212	2	730.7694684448891	34.17311829755821	20.11336904494806	12.869399745737311	1	755.566591881968	37.86939974573731	22.64031889141334	6.485364563099225	0	1082.725951946868	31.485364563099225	29.988411446684584	13.05553766772799	2	822.3170829011272	38.05553766772799	28.293847768367023	1	1	2	0	0	0	0	0	0	0	0	0
72	10.960860851842988	1	769.9620652334941	14.039139148157012	20.0301604162249	11.87206303663761	1	792.2154159046879	13.12793696336239	22.510012289659215	10.84313455645421	4	1122.2472013101	14.15686544354579	29.771540953490902	8.831133156655994	1	916.7623296301251	33.831133156655994	28.369700992864132	0	3	0	0	1	0	0	0	0	0	0	0
73	6.473791917083705	2	821.681062798302	18.526208082916295	20.009836736045052	11.659754038032236	3	829.4569358818479	13.340245961967764	22.386096528474198	5.990006701155348	4	1208.7609700174921	30.990006701155348	29.78800670683772	9.245361234448595	4	1012.3639630762941	34.245361234448595	28.449101806939595	0	0	1	1	2	0	0	0	0	0	0	0
74	4.032291213919997	4	902.7295424371621	29.032291213919997	20.130136129083386	2.6784604576396482	2	906.7259713260919	27.67846045763965	22.45666138086307	5.614152363913551	4	1294.225478700084	30.61415236391355	29.799021982265398	3.1128565404370043	1	1090.845687585014	28.112856540437004	28.44461853671956	0	1	1	0	2	0	0	0	0	0	0	0
75	10.07654404908991	3	944.390856966786	14.92345595091009	20.06162717937058	11.756056985728002	3	943.6986455742679	13.243943014271998	22.335441402355293	4.001738520297081	3	1375.18866540258	29.00173852029708	29.788531410397397	4.996101066771331	4	1174.584803063084	29.99610106677133	28.465032780536028	0	0	0	3	1	0	0	0	0	0	0	0
76	4.162502650428415	2	1002.5622037343401	20.837497349571585	20.071703415347212	12.075022152735999	2	979.7808753978799	12.924977847264001	22.213227589951508	10.491764680823763	1	1474.269841803213	35.49176468082376	29.862599374948392	3.5978756684562327	3	1254.4205393041912	28.597875668456233	28.466758012846682	0	1	2	1	0	0	0	0	0	0	0	0
77	11.758270754330747	2	1039.5286978785	13.241729245669253	19.984139643941084	3.258091160371116	3	1058.668046553916	28.258091160371116	22.290725840854325	10.206373347427828	4	1572.554300731449	35.20637334742783	29.931109297672485	3.823944515483227	3	1334.887384409915	28.823944515483227	28.471337326983047	0	0	1	2	1	0	0	0	0	0	0	0
78	5.4763749556518135	3	1124.608577963028	30.476374955651814	20.116952749152613	8.935534889031636	1	1103.514678322036	16.064465110968364	22.211912413893742	10.657097653986384	2	1672.097031682161	35.65709765398638	30.003590162942285	3.9669488792447787	0	1415.7534500311401	28.96694887924478	28.477610890935726	1	1	1	1	0	0	0	0	0	0	0	0
79	10.248324723287878	2	1165.790338110516	14.751675276712122	20.04988678074711	11.96267508320012	0	1139.910543714769	13.03732491679988	22.097230070180068	5.236550669796301	4	1756.507402302009	30.2365506697963	30.006502169277958	4.534027640534571	1	1472.887622867981	20.46597235946543	28.37746540929235	1	1	1	0	1	0	0	0	0	0	0	0
80	11.16053405676418	2	1204.4255138687158	13.83946594323582	19.97321491855561	3.489272118549252	3	1219.4430950457188	28.489272118549252	22.176144169542653	5.280404225980419	4	1841.040197432871	30.28040422598042	30.009883676150828	4.232531549143637	3	1554.495106776007	29.232531549143637	28.388021781389273	0	0	1	2	1	0	0	0	0	0	0	0
81	6.368530833358811	2	1256.4383652922559	18.63146916664119	19.956852165483483	3.1887709022590975	3	1298.1367471478588	28.188770902259098	22.24946888579529	6.25441094226149	4	1893.3716335523911	18.74558905773851	29.872514229584823	10.862151817984	1	1593.9632662841352	14.137848182016	28.21423917651887	0	1	1	1	1	0	0	0	0	0	0	0
82	5.304966991067708	2	1311.420332442192	19.695033008932292	19.95369771781419	4.438484494836295	3	1380.319183029277	29.438484494836295	22.336083531687354	5.347923949585194	3	1978.0929212449832	30.347923949585194	29.87824205753663	8.085855813333971	3	1686.3279470963591	33.08585581333397	28.27293335286604	0	0	1	3	0	0	0	0	0	0	0	0
