count	name	metric	meet
0	oracle	0	yes
0	l1	99.74725758574999	no
0	l2	56.7211193612	yes
0	l3	72.47888620596001	no
0	pessimist	0	yes
1	oracle	0	yes
1	l1	91.01787617997002	no
1	l2	107.02519470027	no
1	l3	39.536944497414	yes
1	pessimist	0	yes
2	oracle	0	yes
2	l1	104.25090394898399	no
2	l2	92.69284569785599	no
2	l3	78.821090012988	no
2	pessimist	0	yes
3	oracle	0	yes
3	l1	39.69085414564799	yes
3	l2	88.741517298555	no
3	l3	61.14798573739199	no
3	pessimist	0	yes
4	oracle	0	yes
4	l1	40.171134115728	yes
4	l2	76.29828289677002	no
4	l3	46.20245710857	yes
4	pessimist	0	yes
5	oracle	0	yes
5	l1	114.21677216810798	no
5	l2	39.28823473428	yes
5	l3	37.052796055296	yes
5	pessimist	0	yes
6	oracle	0	yes
6	l1	70.90695553375998	no
6	l2	148.65894788017204	no
6	l3	95.851224373464	no
6	pessimist	0	yes
7	oracle	0	yes
7	l1	95.81227271808	no
7	l2	32.78954552961	yes
7	l3	37.090405007985	yes
7	pessimist	0	yes
8	oracle	0	yes
8	l1	75.135266020684	no
8	l2	37.076844192009005	yes
8	l3	37.019495232027	yes
8	pessimist	0	yes
9	oracle	0	yes
9	l1	69.242846757236	no
9	l2	35.321097717399006	yes
9	l3	36.568184618322	yes
9	pessimist	0	yes
10	oracle	0	yes
10	l1	35.801049465599995	yes
10	l2	42.891751667128	yes
10	l3	71.739759444444	no
10	pessimist	0	yes
11	oracle	0	yes
11	l1	36.355870437906	yes
11	l2	36.765019258967996	yes
11	l3	45.485761511085	yes
11	pessimist	0	yes
12	oracle	0	yes
12	l1	67.150632949645	no
12	l2	34.03406625346	yes
12	l3	73.24662294344999	no
12	pessimist	0	yes
13	oracle	0	yes
13	l1	65.396753131136	no
13	l2	37.14816686963199	yes
13	l3	72.44479370599198	no
13	pessimist	0	yes
14	oracle	0	yes
14	l1	66.52202390123499	no
14	l2	34.443032099111996	yes
14	l3	44.910624766754005	yes
14	pessimist	0	yes
15	oracle	0	yes
15	l1	103.12497585288499	no
15	l2	79.823386485024	no
15	l3	70.653840337368	no
15	pessimist	0	yes
16	oracle	0	yes
16	l1	99.03423972724	no
16	l2	35.03712819006399	yes
16	l3	56.846284018353	yes
16	pessimist	0	yes
17	oracle	0	yes
17	l1	64.49232296782	no
17	l2	88.04389673151799	no
17	l3	92.84288595713299	no
17	pessimist	0	yes
18	oracle	0	yes
18	l1	41.890419874843	yes
18	l2	77.22826304284	no
18	l3	37.587227724068	yes
18	pessimist	0	yes
19	oracle	39.0124952008	yes
19	l1	39.24033912220499	yes
19	l2	36.01983248682	yes
19	l3	73.72814169626099	no
19	pessimist	84.1537039326	no
20	oracle	46.86072313356	yes
20	l1	40.101769593095	yes
20	l2	38.083710166684	yes
20	l3	36.28924656991	yes
20	pessimist	78.137843732424	no
21	oracle	37.121598932219996	yes
21	l1	39.855255832139996	yes
21	l2	38.528965828782006	yes
21	l3	82.810358674656	no
21	pessimist	88.30055905826401	no
22	oracle	39.107888528059995	yes
22	l1	77.02934784612	no
22	l2	37.045085964544	yes
22	l3	40.495384601919994	yes
22	pessimist	77.856277228492	no
23	oracle	47.240624325155	yes
23	l1	71.404617964392	no
23	l2	38.678965029116995	yes
23	l3	46.06591464826	yes
23	pessimist	72.858881315304	no
24	oracle	39.19845921024	yes
24	l1	34.864194030444	yes
24	l2	65.742784031533	no
24	l3	40.615612884499996	yes
24	pessimist	75.444222288236	no
25	oracle	44.542068215700006	yes
25	l1	40.446563890949996	yes
25	l2	75.55838299795799	no
25	l3	39.318095522360004	yes
25	pessimist	79.991572964172	no
26	oracle	38.744352136863995	yes
26	l1	39.550285417356	yes
26	l2	80.166435374004	no
26	l3	85.80722827495998	no
26	pessimist	72.206332107336	no
27	oracle	64.44404254636798	no
27	l1	38.47635494648	yes
27	l2	49.770175752065995	yes
27	l3	36.67099368712	yes
27	pessimist	81.45861405750901	no
28	oracle	82.328023767528	no
28	l1	39.341561549443995	yes
28	l2	81.418368153031	no
28	l3	40.976768488139996	yes
28	pessimist	72.587439543603	no
29	oracle	66.556922823378	no
29	l1	36.2648835741	yes
29	l2	87.63260020922401	no
29	l3	70.64282672814001	no
