task	r0_energy	r0_config	r0_reward	r0_rate	r1_energy	r1_config	r1_reward	r1_rate	c0	c1	c2	c3	c4	c5	c6	c7	c8	c9	c10	c11
40	6.418737257537906	4	2727.6736241231138	36.418737257537906	2.014960429554634	4	761.3749874972591	27.985039570445366	0	0	0	0	2	0	0	0	0	0	0	0
41	0.6355186156298522	4	2813.197780258414	30.635518615629852	2.1091129356322433	1	839.2370472186191	27.890887064367757	0	1	0	0	1	0	0	0	0	0	0	0
42	0.5743424345982113	4	2895.3444076284936	29.42565756540179	15.602252944047768	0	879.430757749819	14.397747055952232	1	0	0	0	1	0	0	0	0	0	0	0
43	0.1278874097767222	4	2979.4514266474534	30.127887409776722	3.8654293699056694	2	973.971748074139	33.86542936990567	0	0	1	0	1	0	0	0	0	0	0	0
44	0.35215234639701976	4	3062.2183346804286	29.64784765360298	8.084562558204183	4	1080.291151882459	38.08456255820418	0	0	0	0	2	0	0	0	0	0	0	0
45	0.5830195480534854	4	3144.3407384421125	29.416980451946515	4.322777136515825	2	1176.1089047218989	34.322777136515825	0	0	1	0	1	0	0	0	0	0	0	0
46	4.4142842007105685	4	3240.4139485024293	34.41428420071057	6.158116633052771	4	1277.0503136558377	36.15811663305277	0	0	0	0	2	0	0	0	0	0	0	0
47	1.833335816132056	4	3319.0458860157273	28.166664183867944	3.036327859443581	3	1369.2767289301178	33.03632785944358	0	0	0	1	1	0	0	0	0	0	0	0
48	3.3696672963682275	4	3412.2028738847553	33.36966729636823	0.6386993253710962	0	1451.2436933134568	29.361300674628904	1	0	0	0	1	0	0	0	0	0	0	0
49	2.0827651087522376	4	3490.138487956155	27.917234891247762	2.5402031352931296	4	1527.9022928940967	27.45979686470687	0	0	0	0	2	0	0	0	0	0	0	0
50	21.20078402318329	4	3633.074010020875	51.20078402318329	2.398364656554982	3	1618.3477275603127	32.39836465655498	0	0	0	1	1	0	0	0	0	0	0	0
51	8.093252159985667	0	106.34366227995999	38.09325215998567	0.691966922811222	3	1704.0294685531608	30.691966922811222	1	0	0	1	0	0	0	0	0	0	0	0
52	0.7213535600410701	0	192.10744096840799	30.72135356004107	0.9118131498985065	2	1790.3249469299608	30.911813149898506	1	0	1	0	0	0	0	0	0	0	0	0
53	13.508408976320954	1	238.146465909512	16.491591023679046	12.895385887500886	3	1910.0745658659007	42.895385887500886	0	1	0	1	0	0	0	0	0	0	0	0
54	5.6816870608878745	1	337.75784228782396	35.681687060887874	0.9914430500346256	3	1991.0567873512207	29.008556949965374	0	1	0	1	0	0	0	0	0	0	0	0
55	0.4944103389707486	2	420.12761342486397	29.50558966102925	1.2871531215582124	2	2078.4000898155705	31.287153121558212	0	0	2	0	0	0	0	0	0	0	0	0
56	2.118893519816595	2	497.962369015376	27.881106480183405	2.291569469579109	2	2168.5473879181454	32.29156946957911	0	0	2	0	0	0	0	0	0	0	0	0
57	1.43445583049553	3	577.707846488576	28.56554416950447	0.8609428497205975	2	2254.7008533736152	30.860942849720598	0	0	1	1	0	0	0	0	0	0	0	0
58	3.943086762400476	3	672.465630366944	33.943086762400476	17.487663044373136	2	2289.63112737474	12.512336955626862	0	0	1	1	0	0	0	0	0	0	0	0
59	1.540296094531346	4	751.915637103044	28.459703905468654	2.10905742517253	2	2367.4933420628	27.89094257482747	0	0	1	0	1	0	0	0	0	0	0	0
60	0.025810591551053363	4	835.593582534964	29.974189408448947	2.5188813858311576	2	2444.211464860688	27.481118614168842	0	0	1	0	1	0	0	0	0	0	0	0
61	0.9547309109301487	3	922.008872994644	30.95473091093015	0.8434418672195818	2	2530.316073406676	30.843441867219582	0	0	1	1	0	0	0	0	0	0	0	0
62	1.0546063765396987	1	1008.702982462484	31.0546063765397	13.963956151450752	2	2653.048784329476	43.96395615145075	0	1	1	0	0	0	0	0	0	0	0	0
63	0.8434306930817854	3	1094.807559814004	30.843430693081785	2.3271290118075285	2	2743.2953528207718	32.32712901180753	0	0	1	1	0	0	0	0	0	0	0	0
64	1.0301862903402998	3	1175.681623086804	28.9698137096597	3.428395981302451	3	2836.616291601908	33.42839598130245	0	0	0	2	0	0	0	0	0	0	0	0
65	1.0146932277599952	3	1256.598937825974	28.985306772240005	2.246792497467222	2	2914.093995879812	27.753207502532778	0	0	1	1	0	0	0	0	0	0	0	0
66	1.530332137336842	3	1336.076760609242	28.469667862663158	12.086780320436056	2	2964.101734151928	17.913219679563944	0	0	1	1	0	0	0	0	0	0	0	0
67	2.0193532211391094	2	1414.189399533562	27.98064677886089	2.0604156912716327	2	3042.0997403471283	27.939584308728367	0	0	2	0	0	0	0	0	0	0	0	0
68	1.3228391125690777	3	1501.6323253894839	31.322839112569078	0.8890544758638761	2	3123.367796602008	29.110945524136124	0	0	1	1	0	0	0	0	0	0	0	0
69	0.981740849761433	3	1582.6416321839	29.018259150238567	1.846562744167155	2	3201.962808941208	28.153437255832845	0	0	1	1	0	0	0	0	0	0	0	0
70	0.1000625154537289	3	1666.6709733728749	30.10006251545373	3.2762097014944445	2	3276.566723524536	26.723790298505556	0	0	1	1	0	0	0	0	0	0	0	0
71	2.0102527558710435	3	1744.8090177627348	27.989747244128957	2.736544998378985	2	3352.677202070728	27.263455001621015	0	0	1	1	0	0	0	0	0	0	0	0
72	1.9075564505828098	3	1823.2337560048577	28.09244354941719	0.43486336706865103	2	3437.641195637128	30.43486336706865	0	0	1	1	0	0	0	0	0	0	0	0
73	3.4767648152632873	3	1916.6897244474676	33.47676481526329	2.6117836815188085	2	3514.099966192888	27.38821631848119	0	0	1	1	0	0	0	0	0	0	0	0
74	0.17857325525874757	3	1999.9412074432037	29.821426744741252	3.0998125585576233	2	3589.1963228002483	26.900187441442377	0	0	1	1	0	0	0	0	0	0	0	0
75	0.13511050242269107	3	2084.068390929134	30.13511050242269	2.7506675228159985	0	76.071053165472	27.249332477184	1	0	0	1	0	0	0	0	0	0	0	0
76	1.1138855440542095	3	2164.7087937853157	28.88611445594579	0.3578022571157007	0	160.81991779991998	30.3578022571157	1	0	0	1	0	0	0	0	0	0	0	0
77	1.4165636120829816	3	2244.5042203682506	28.58343638791702	0.06146674710160838	1	244.74151246891196	30.06146674710161	0	1	0	1	0	0	0	0	0	0	0	0
78	4.83960467675535	3	2341.7647834241925	34.83960467675535	1.220281611602143	1	325.08489296985596	28.779718388397857	0	1	0	1	0	0	0	0	0	0	0	0
79	0.20669162494925075	3	2426.0917975438424	30.20669162494925	2.114252881151991	2	414.73718226307193	32.11425288115199	0	0	1	1	0	0	0	0	0	0	0	0
80	2.0086306930388105	3	2504.2343701924424	27.99136930696119	7.751935447072469	2	520.1280020528159	37.75193544707247	0	0	1	1	0	0	0	0	0	0	0	0
81	1.919775765151524	3	2582.624996181394	28.080224234848476	7.189661500370143	3	623.9491404080159	37.18966150037014	0	0	0	2	0	0	0	0	0	0	0	0
82	1.0426942227410194	3	2669.285850886546	31.04269422274102	7.518804847493733	3	728.6891372739359	37.51880484749373	0	0	0	2	0	0	0	0	0	0	0	0
83	1.7454837037568893	3	2748.163042213558	28.25451629624311	0.8219287628417824	4	814.7336884035359	30.821928762841782	0	0	0	1	1	0	0	0	0	0	0	0
84	0.026109245161794803	3	2831.8401539041483	29.973890754838205	0.08879792360311356	4	898.7315826069279	30.088797923603114	0	0	0	1	1	0	0	0	0	0	0	0
85	17.870839262271044	0	2865.7007276303084	12.129160737728956	2.480763345293372	4	975.5561182679838	27.519236654706628	1	0	0	0	1	0	0	0	0	0	0	0
86	5.851269309306268	3	2965.7855211187884	35.85126930930627	2.5467566722674597	4	1052.1964225579038	27.45324332773254	0	0	0	1	1	0	0	0	0	0	0	0
