task	r0_energy	r0_config	r0_reward	r0_rate	r0_avgrate	r0_rollrate	c0	c1	c2	c3	c4	c5	c6	c7	c8	c9	c10	c11
0	28.822174378662094	11	80.461903473765	28.822174378662094	28.822174378662094	28.822174378662094	0	0	0	0	0	0	0	0	0	0	0	1
1	29.89739999936955	11	163.925478472005	29.89739999936955	29.359787189015822	29.359787189015822	0	0	0	0	0	0	0	0	0	0	0	1
2	36.87587790836561	11	266.87063763285903	36.87587790836561	31.86515076213242	31.86515076213242	0	0	0	0	0	0	0	0	0	0	0	1
3	27.983174466871883	11	344.990333019543	27.983174466871883	30.894656688317287	30.894656688317287	0	0	0	0	0	0	0	0	0	0	0	1
4	32.335843008697076	11	435.26122808548905	32.335843008697076	31.182893952393243	31.182893952393243	0	0	0	0	0	0	0	0	0	0	0	1
5	48.27589547196467	11	570.0314362780571	48.27589547196467	34.031727538988484	34.031727538988484	0	0	0	0	0	0	0	0	0	0	0	1
6	34.137094904588416	11	665.330826220033	34.137094904588416	34.04678001978847	34.04678001978847	0	0	0	0	0	0	0	0	0	0	0	1
7	42.768989658725374	11	784.727589017308	42.768989658725374	35.13705622465559	35.13705622465559	0	0	0	0	0	0	0	0	0	0	0	1
8	31.105082863128356	11	871.562612010208	31.105082863128356	34.6890591844859	34.6890591844859	0	0	0	0	0	0	0	0	0	0	0	1
9	31.68562091708955	11	960.018303737083	31.68562091708955	34.388715357746264	34.388715357746264	0	0	0	0	0	0	0	0	0	0	0	1
10	30.126296613540887	11	1044.120881783218	30.126296613540887	34.001222744636685	34.519127581234144	0	0	0	0	0	0	0	0	0	0	0	1
11	31.748295839082985	11	1132.751541000658	31.748295839082985	33.81347883584054	34.704217165205485	0	0	0	0	0	0	0	0	0	0	0	1
12	28.805093977269493	11	1213.1657616872021	28.805093977269493	33.42821846210431	33.897138772095865	0	0	0	0	0	0	0	0	0	0	0	1
13	28.197038019034743	11	1291.882492823674	28.197038019034743	33.054562716170764	33.91852512731215	0	0	0	0	0	0	0	0	0	0	0	1
14	28.213875887448353	11	1370.646229676134	28.213875887448353	32.731850260922606	33.506328415187284	0	0	0	0	0	0	0	0	0	0	0	1
15	30.529224441368598	11	1455.873647908288	30.529224441368598	32.59418614720048	31.731661312127677	0	0	0	0	0	0	0	0	0	0	0	1
16	28.145294171067217	11	1534.445927469184	28.145294171067217	32.33248661919264	31.132481238775558	0	0	0	0	0	0	0	0	0	0	0	1
17	28.267400675648954	11	1613.359087688704	28.267400675648954	32.10664851121799	29.682322340467913	0	0	0	0	0	0	0	0	0	0	0	1
18	34.7479169084855	11	1710.363689058226	34.7479169084855	32.24566263738997	30.046605745003625	0	0	0	0	0	0	0	0	0	0	0	1
19	30.94821203027105	11	1796.7607809760661	30.94821203027105	32.18079010703402	29.97286485632178	0	0	0	0	0	0	0	0	0	0	0	1
20	28.294068094645972	11	1875.748387740286	28.294068094645972	31.995708106444113	29.789642004432288	0	0	0	0	0	0	0	0	0	0	0	1
21	27.835899466989847	11	1953.456940418966	27.835899466989847	31.80662589555983	29.398402367222975	0	0	0	0	0	0	0	0	0	0	0	1
22	33.55497225270448	11	2047.131237957766	33.55497225270448	31.882640954566117	29.87339019476648	0	0	0	0	0	0	0	0	0	0	0	1
23	28.657141160152836	11	2127.132423696526	28.657141160152836	31.7482451297989	29.919400508878276	0	0	0	0	0	0	0	0	0	0	0	1
24	28.23596986422448	11	2205.957839567486	28.23596986422448	31.60775411917592	29.921609906555897	0	0	0	0	0	0	0	0	0	0	0	1
25	35.17687686431928	11	2304.159954147044	35.17687686431928	31.745028070912205	30.386375148850966	0	0	0	0	0	0	0	0	0	0	0	1
26	39.506704467202745	11	2414.4495041179853	39.506704467202745	32.03249756707111	31.522516178464514	0	0	0	0	0	0	0	0	0	0	0	1
27	33.74073297344955	11	2508.6423836688655	33.74073297344955	32.093505974441776	32.06984940824457	0	0	0	0	0	0	0	0	0	0	0	1
28	30.322018152300892	11	2593.2913510107055	30.322018152300892	32.032420187471395	31.627259532626113	0	0	0	0	0	0	0	0	0	0	0	1
29	32.90089984460597	11	2685.1396964102305	32.90089984460597	32.061369509375886	31.82252831405961	0	0	0	0	0	0	0	0	0	0	0	1
30	28.29931100433242	11	2764.1419396306583	28.29931100433242	31.940012783406736	31.823052605028256	0	0	0	0	0	0	0	0	0	0	0	1
31	28.83411757482555	11	2844.6371845270464	28.83411757482555	31.842953558138575	31.922874415811823	0	0	0	0	0	0	0	0	0	0	0	1
32	30.435993635115224	11	2929.604333425076	30.435993635115224	31.80031840895605	31.610976554052893	0	0	0	0	0	0	0	0	0	0	0	1
33	29.3184445789526	11	3011.451657874652	29.3184445789526	31.7273221198383	31.677106895932873	0	0	0	0	0	0	0	0	0	0	0	1
34	28.920488635674264	11	3092.188021982576	28.920488635674264	31.64712687743361	31.745558773077846	0	0	0	0	0	0	0	0	0	0	0	1
35	29.74589880127307	11	3175.22865613613	29.74589880127307	31.594314986429154	31.20246096677323	0	0	0	0	0	0	0	0	0	0	0	1
36	31.13198126594866	11	3262.1387705035704	31.13198126594866	31.581819480470223	30.364988646647824	0	0	0	0	0	0	0	0	0	0	0	1
37	28.083543664173853	11	3340.5386632327222	28.083543664173853	31.48975959056769	29.799269715720254	0	0	0	0	0	0	0	0	0	0	0	1
38	33.796502205635804	11	3434.887231890122	33.796502205635804	31.548906837107896	30.146718121053745	0	0	0	0	0	0	0	0	0	0	0	1
39	29.456268028454684	11	3517.119313469558	29.456268028454684	31.496590866891562	29.80225493943862	0	0	0	0	0	0	0	0	0	0	0	1
40	28.25664086127761	11	3596.0024358739583	28.25664086127761	31.41756769602293	29.797987925133135	0	0	0	0	0	0	0	0	0	0	0	1
41	28.083543664173853	11	3674.40232860311	28.083543664173853	31.3381861714551	29.722930534067963	0	0	0	0	0	0	0	0	0	0	0	1
42	28.525510574109134	11	3754.036045622498	28.525510574109134	31.272775111051704	29.531882227967355	0	0	0	0	0	0	0	0	0	0	0	1
43	30.032943406764172	11	3837.878012633048	30.032943406764172	31.244597117772443	29.60333211074851	0	0	0	0	0	0	0	0	0	0	0	1
44	28.357401292774924	11	3917.042424575378	28.357401292774924	31.180437210550277	29.547023376458572	0	0	0	0	0	0	0	0	0	0	0	1
45	42.81444064047761	11	4036.566071363378	42.81444064047761	31.433350328592176	30.853877560379033	0	0	0	0	0	0	0	0	0	0	0	1
46	34.64958283961122	11	4133.296156790626	34.64958283961122	31.501780807550027	31.205637717745283	0	0	0	0	0	0	0	0	0	0	0	1
47	35.23355493219726	11	4231.65649764301	35.23355493219726	31.57952610181351	31.920638844547625	0	0	0	0	0	0	0	0	0	0	0	1
48	32.64580118347701	11	4322.79269261355	32.64580118347701	31.601286817765825	31.805568742331747	0	0	0	0	0	0	0	0	0	0	0	1
49	32.361639534015055	11	4413.1356029793415	32.361639534015055	31.61649387209081	32.09610589288779	0	0	0	0	0	0	0	0	0	0	0	1
50	29.53640744397564	11	4495.591407093773	29.53640744397564	31.575707863696394	32.224082551157586	0	0	0	0	0	0	0	0	0	0	0	1
51	41.16355828326018	11	4610.506340634542	41.16355828326018	31.76008960253416	33.53208401306622	0	0	0	0	0	0	0	0	0	0	0	1
52	30.784874271872965	11	4696.447447976853	30.784874271872965	31.7416893132764	33.7580203828426	0	0	0	0	0	0	0	0	0	0	0	1
53	30.85252500223809	11	4782.577413608101	30.85252500223809	31.72522330751643	33.83997854239	0	0	0	0	0	0	0	0	0	0	0	1
54	29.228706415932177	11	4864.174219019244	29.228706415932177	31.67983209130581	33.92710905470572	0	0	0	0	0	0	0	0	0	0	0	1
55	30.91962819292585	11	4950.491514391162	30.91962819292585	31.66625702169188	32.737627809950546	0	0	0	0	0	0	0	0	0	0	0	1
56	30.891480864275827	11	5036.730231803932	30.891480864275827	31.652664457526686	32.361817612417006	0	0	0	0	0	0	0	0	0	0	0	1
57	32.342615019184834	11	5127.020032065823	32.342615019184834	31.66456015686562	32.07272362111577	0	0	0	0	0	0	0	0	0	0	0	1
58	29.610287038584357	11	5209.682083381871	29.610287038584357	31.629741968420177	31.769172206626497	0	0	0	0	0	0	0	0	0	0	0	1
59	30.854827913776482	11	5295.818477974497	30.854827913776482	31.616826734176115	31.618491044602642	0	0	0	0	0	0	0	0	0	0	0	1
60	32.19923671968286	11	5385.708013816945	32.19923671968286	31.62637443885655	31.884773972173356	0	0	0	0	0	0	0	0	0	0	0	1
61	34.5123192925397	11	5482.054905175285	34.5123192925397	31.6729219364966	31.21965007310131	0	0	0	0	0	0	0	0	0	0	0	1
62	29.424738187672833	11	5564.198965949205	29.424738187672833	31.637236480166067	31.0836364646813	0	0	0	0	0	0	0	0	0	0	0	1
63	32.951980816506264	11	5656.189912395284	32.951980816506264	31.65777936042138	31.293582046108117	0	0	0	0	0	0	0	0	0	0	0	1
64	28.429505007857195	11	5735.555613875553	28.429505007857195	31.60811360115116	31.21366190530062	0	0	0	0	0	0	0	0	0	0	0	1
65	28.605665157501853	11	5815.413095773579	28.605665157501853	31.562621958065563	30.98226560175822	0	0	0	0	0	0	0	0	0	0	0	1
66	29.176619078112715	11	5896.864490699977	29.176619078112715	31.527009974782686	30.810779423141906	0	0	0	0	0	0	0	0	0	0	0	1
67	45.955062826710446	11	6025.155707757877	45.955062826710446	31.73918722260515	32.172024203894466	0	0	0	0	0	0	0	0	0	0	0	1
68	30.158038441611943	11	6109.346898407377	30.158038441611943	31.716272022880613	32.22679934419723	0	0	0	0	0	0	0	0	0	0	0	1
69	35.06105804894328	11	6207.225685460677	35.06105804894328	31.764054680395795	32.64742235771391	0	0	0	0	0	0	0	0	0	0	0	1
70	36.687353564292536	11	6309.644547494327	36.687353564292536	31.833396918197156	33.09623404217488	0	0	0	0	0	0	0	0	0	0	0	1
71	40.588639836501486	11	6422.9545003712265	40.588639836501486	31.954997514284717	33.703866096571055	0	0	0	0	0	0	0	0	0	0	0	1
72	29.737291923188057	11	6505.971106990127	29.737291923188057	31.924617985639557	33.735121470122586	0	0	0	0	0	0	0	0	0	0	0	1
