STOKE: Start Bat: 1.000000
ETask 41: Configuration:0 Energy:10.40 Power:10.40 Reward:10.40 Time:3018
ETask 42: Configuration:0 Energy:10.80 Power:10.80 Reward:10.80 Time:3016
ETask 43: Configuration:0 Energy:10.70 Power:10.70 Reward:10.70 Time:3021
ETask 44: Configuration:0 Energy:10.80 Power:10.80 Reward:10.80 Time:3022
ETask 45: Configuration:0 Energy:11.00 Power:11.00 Reward:11.00 Time:3020
ETask 46: Configuration:0 Energy:10.50 Power:10.50 Reward:10.50 Time:3019
ETask 47: Configuration:0 Energy:10.90 Power:10.90 Reward:10.90 Time:3025
ETask 48: Configuration:0 Energy:10.30 Power:10.30 Reward:10.30 Time:3029
ETask 49: Configuration:0 Energy:10.10 Power:10.10 Reward:10.10 Time:3024
ETask 50: Configuration:0 Energy:9.40 Power:9.40 Reward:9.40 Time:3027
ETask 51: Configuration:0 Energy:9.90 Power:9.90 Reward:9.90 Time:3003
ETask 52: Configuration:0 Energy:9.90 Power:9.90 Reward:9.90 Time:3027
ETask 53: Configuration:0 Energy:9.90 Power:9.90 Reward:9.90 Time:3018
ETask 54: Configuration:0 Energy:9.70 Power:9.70 Reward:9.70 Time:3029
ETask 55: Configuration:0 Energy:9.90 Power:9.90 Reward:9.90 Time:3021
ETask 56: Configuration:0 Energy:9.60 Power:9.60 Reward:9.60 Time:3027
ETask 57: Configuration:0 Energy:9.30 Power:9.30 Reward:9.30 Time:3021
ETask 58: Configuration:0 Energy:9.60 Power:9.60 Reward:9.60 Time:3028
ETask 59: Configuration:0 Energy:9.30 Power:9.30 Reward:9.30 Time:3023
ETask 60: Configuration:0 Energy:9.70 Power:9.70 Reward:9.70 Time:3026
ETask 61: Configuration:0 Energy:9.30 Power:9.30 Reward:9.30 Time:3025
ETask 62: Configuration:0 Energy:9.90 Power:9.90 Reward:9.90 Time:3014
ETask 63: Configuration:0 Energy:9.70 Power:9.70 Reward:9.70 Time:3025
ETask 64: Configuration:0 Energy:13.20 Power:13.20 Reward:13.20 Time:3020
ETask 65: Configuration:0 Energy:9.90 Power:9.90 Reward:9.90 Time:3020
ETask 66: Configuration:0 Energy:10.20 Power:10.20 Reward:10.20 Time:3019
ETask 67: Configuration:0 Energy:10.10 Power:10.10 Reward:10.10 Time:3024
ETask 68: Configuration:0 Energy:10.50 Power:10.50 Reward:10.50 Time:3004
ETask 69: Configuration:0 Energy:11.10 Power:11.10 Reward:11.10 Time:3019
ETask 70: Configuration:0 Energy:10.60 Power:10.60 Reward:10.60 Time:3009
ETask 71: Configuration:0 Energy:11.20 Power:11.20 Reward:11.20 Time:3020
ETask 72: Configuration:0 Energy:10.80 Power:10.80 Reward:10.80 Time:3016
ETask 73: Configuration:0 Energy:11.10 Power:11.10 Reward:11.10 Time:3018
ETask 74: Configuration:0 Energy:10.90 Power:10.90 Reward:10.90 Time:3020
ETask 75: Configuration:0 Energy:10.80 Power:10.80 Reward:10.80 Time:3012
ETask 76: Configuration:0 Energy:11.20 Power:11.20 Reward:11.20 Time:3018
ETask 77: Configuration:0 Energy:11.10 Power:11.10 Reward:11.10 Time:3016
ETask 78: Configuration:0 Energy:11.60 Power:11.60 Reward:11.60 Time:3019
ETask 79: Configuration:0 Energy:11.00 Power:11.00 Reward:11.00 Time:3005
ETask 80: Configuration:0 Energy:11.60 Power:11.60 Reward:11.60 Time:3012
ETask 81: Configuration:0 Energy:11.20 Power:11.20 Reward:11.20 Time:3013
ETask 82: Configuration:0 Energy:11.00 Power:11.00 Reward:11.00 Time:3020
ETask 83: Configuration:0 Energy:10.50 Power:10.50 Reward:10.50 Time:3024
ETask 84: Configuration:0 Energy:10.50 Power:10.50 Reward:10.50 Time:3003
ETask 85: Configuration:0 Energy:10.90 Power:10.90 Reward:10.90 Time:3021
ETask 86: Configuration:0 Energy:10.30 Power:10.30 Reward:10.30 Time:3018
ETask 87: Configuration:0 Energy:10.70 Power:10.70 Reward:10.70 Time:3022
ETask 88: Configuration:0 Energy:10.30 Power:10.30 Reward:10.30 Time:3022
ETask 89: Configuration:0 Energy:10.20 Power:10.20 Reward:10.20 Time:3026
ETask 90: Configuration:0 Energy:9.30 Power:9.30 Reward:9.30 Time:3028
ETask 91: Configuration:0 Energy:9.60 Power:9.60 Reward:9.60 Time:3016
ETask 92: Configuration:0 Energy:9.30 Power:9.30 Reward:9.30 Time:3008
ETask 93: Configuration:0 Energy:9.70 Power:9.70 Reward:9.70 Time:3013
ETask 94: Configuration:0 Energy:10.90 Power:10.90 Reward:10.90 Time:3017
STOKE: End Bat: 1.000000
STOKE: Usage Bat: 0.000000
ERun: Reward:561.90 PostConfigReward:0.00 Time:163726
