STOKE: Start Bat: 1.000000
ETask 61: Configuration:0 Energy:7.10 Power:7.10 Reward:7.10 Time:2013
ETask 62: Configuration:0 Energy:6.90 Power:6.90 Reward:6.90 Time:2021
ETask 63: Configuration:0 Energy:7.40 Power:7.40 Reward:7.40 Time:2009
ETask 64: Configuration:0 Energy:7.00 Power:7.00 Reward:7.00 Time:2013
ETask 65: Configuration:0 Energy:6.70 Power:6.70 Reward:6.70 Time:2018
ETask 66: Configuration:0 Energy:7.20 Power:7.20 Reward:7.20 Time:2017
ETask 67: Configuration:0 Energy:6.90 Power:6.90 Reward:6.90 Time:2015
ETask 68: Configuration:0 Energy:6.70 Power:6.70 Reward:6.70 Time:2019
ETask 69: Configuration:0 Energy:7.20 Power:7.20 Reward:7.20 Time:2014
ETask 70: Configuration:0 Energy:6.90 Power:6.90 Reward:6.90 Time:2016
ETask 71: Configuration:0 Energy:7.00 Power:7.00 Reward:7.00 Time:2017
ETask 72: Configuration:0 Energy:7.00 Power:7.00 Reward:7.00 Time:2026
ETask 73: Configuration:0 Energy:6.60 Power:6.60 Reward:6.60 Time:2017
ETask 74: Configuration:0 Energy:6.90 Power:6.90 Reward:6.90 Time:2019
ETask 75: Configuration:0 Energy:6.90 Power:6.90 Reward:6.90 Time:2019
ETask 76: Configuration:0 Energy:6.70 Power:6.70 Reward:6.70 Time:2026
ETask 77: Configuration:0 Energy:7.00 Power:7.00 Reward:7.00 Time:2025
ETask 78: Configuration:0 Energy:6.60 Power:6.60 Reward:6.60 Time:2028
ETask 79: Configuration:0 Energy:6.30 Power:6.30 Reward:6.30 Time:2024
ETask 80: Configuration:0 Energy:9.60 Power:9.60 Reward:9.60 Time:2024
ETask 81: Configuration:0 Energy:6.10 Power:6.10 Reward:6.10 Time:2024
ETask 82: Configuration:0 Energy:6.30 Power:6.30 Reward:6.30 Time:2025
ETask 83: Configuration:0 Energy:6.00 Power:6.00 Reward:6.00 Time:2025
ETask 84: Configuration:0 Energy:5.80 Power:5.80 Reward:5.80 Time:2027
ETask 85: Configuration:0 Energy:6.20 Power:6.20 Reward:6.20 Time:2026
ETask 86: Configuration:0 Energy:5.90 Power:5.90 Reward:5.90 Time:2024
ETask 87: Configuration:0 Energy:5.90 Power:5.90 Reward:5.90 Time:2026
ETask 88: Configuration:0 Energy:6.20 Power:6.20 Reward:6.20 Time:2024
ETask 89: Configuration:0 Energy:5.90 Power:5.90 Reward:5.90 Time:2018
ETask 90: Configuration:0 Energy:6.20 Power:6.20 Reward:6.20 Time:2025
ETask 91: Configuration:0 Energy:6.30 Power:6.30 Reward:6.30 Time:2025
ETask 92: Configuration:0 Energy:5.90 Power:5.90 Reward:5.90 Time:2016
ETask 93: Configuration:0 Energy:6.10 Power:6.10 Reward:6.10 Time:2015
ETask 94: Configuration:0 Energy:6.10 Power:6.10 Reward:6.10 Time:2022
ETask 95: Configuration:0 Energy:5.90 Power:5.90 Reward:5.90 Time:2025
ETask 96: Configuration:0 Energy:6.40 Power:6.40 Reward:6.40 Time:2011
ETask 97: Configuration:0 Energy:6.40 Power:6.40 Reward:6.40 Time:2022
ETask 98: Configuration:0 Energy:6.20 Power:6.20 Reward:6.20 Time:2027
ETask 99: Configuration:0 Energy:6.50 Power:6.50 Reward:6.50 Time:2026
ETask 100: Configuration:0 Energy:6.20 Power:6.20 Reward:6.20 Time:2024
ETask 101: Configuration:0 Energy:6.00 Power:6.00 Reward:6.00 Time:2023
ETask 102: Configuration:0 Energy:6.20 Power:6.20 Reward:6.20 Time:2025
ETask 103: Configuration:0 Energy:5.90 Power:5.90 Reward:5.90 Time:2025
ETask 104: Configuration:0 Energy:6.10 Power:6.10 Reward:6.10 Time:2017
ETask 105: Configuration:0 Energy:6.20 Power:6.20 Reward:6.20 Time:2021
ETask 106: Configuration:0 Energy:6.00 Power:6.00 Reward:6.00 Time:2019
ETask 107: Configuration:0 Energy:6.40 Power:6.40 Reward:6.40 Time:2019
ETask 108: Configuration:0 Energy:6.60 Power:6.60 Reward:6.60 Time:2020
ETask 109: Configuration:0 Energy:6.30 Power:6.30 Reward:6.30 Time:2021
ETask 110: Configuration:0 Energy:6.60 Power:6.60 Reward:6.60 Time:2020
ETask 111: Configuration:0 Energy:6.80 Power:6.80 Reward:6.80 Time:2019
ETask 112: Configuration:0 Energy:6.40 Power:6.40 Reward:6.40 Time:2016
ETask 113: Configuration:0 Energy:10.30 Power:10.30 Reward:10.30 Time:2013
STOKE: End Bat: 1.000000
STOKE: Usage Bat: 0.000000
ERun: Reward:348.90 PostConfigReward:0.00 Time:107942
