task	oracle_reward	oracle_total_reward	vbde50_reward	vbde50_total_reward	static2_reward	static2_total_reward	pessimist_reward	pessimist_total_reward
48	15.628443514234338	2042.688170408786	53.13411456772317	2764.0900624441056	71.42499121001217	2834.291291003575	32.8538470544256	4467.028484319006
49	15.42165779080468	2084.4551602588817	48.05193000465433	2812.14199244876	72.93969960932415	2907.2309906128994	33.139735401676795	4556.781934365214
50	23.573815085436557	2148.300909448606	58.7778476605745	2870.9198401093345	56.10015625245	2963.3311468653496	38.126175134424926	4660.040325354281
51	15.716969111813906	2190.867700793102	38.53087030760833	2909.450710416943	55.37342085649599	3018.7045677218453	35.7410175521605	4756.8389145580495
52	18.489354662052925	2240.9430363361625	36.48856186389983	2945.939272280843	56.11683700704584	3074.821404728891	36.58597931818781	4855.925941878142
53	18.783343239976983	2291.814590944433	39.868126897375326	2985.8073991782185	47.45141567923516	3122.272820408127	34.2109148976936	4948.580503059395
54	20.094244314869908	2346.236502630539	44.060015910170335	3029.8674150883885	56.53581671173333	3178.80863711986	31.589184496711383	5034.134544404655
55	16.600695721603195	2391.1967202098813	57.91206772862233	3087.7794828170113	64.65965909928018	3243.46829621914	32.51510047038831	5122.19627484529
56	14.394736819319998	2430.1824657622064	59.621599573918836	3147.4010823909302	53.56150611306284	3297.029802332203	35.06372855888584	5217.160539692273
57	13.607471914148679	2467.0360355296925	49.91483084304567	3197.315913233975	48.40626088768033	3345.4360632198836	33.67639360027182	5308.367439026342
58	16.282167826117846	2511.133573392095	45.72009652870283	3243.0360097626785	60.91075860765716	3406.3468218275398	33.18939697938812	5398.255389178852
59	12.923348264844371	2546.1343082760486	53.660766926428494	3296.696776689107	51.027017379625995	3457.373839207166	33.46944393232985	5488.901799828911
60	18.080546537663075	2595.1024551488863	46.67754948591317	3343.37432617502	55.74445901919399	3513.11829822636	31.770276203221663	5574.9462978793035
61	13.15995874780948	2630.74401009087	42.65464839893033	3386.02897457395	51.29403760493833	3564.4123358312986	31.20498848848985	5659.459808368963
62	13.4014235654208	2667.0395322472177	42.11913095178166	3428.148105525732	45.83776299633583	3610.2500988276347	31.11476026118105	5743.728950742996
63	12.885953730598523	2701.9389902675894	52.57192014223699	3480.7200256679694	51.99314084565783	3662.2432396732916	31.971526442188804	5830.318501523923
64	12.874924931874277	2736.8085786247484	51.42586884767851	3532.145894515648	51.90262766121149	3714.145867334504	34.922072185713226	5924.899113693564
65	13.628997619333475	2773.72044717711	38.988593828152666	3571.1344883438	63.784361163039506	3777.9302284975433	34.086878067683074	6017.217741793539
66	21.49474762711126	2831.9353886672034	38.306136962711	3609.4406253065117	53.143344216381486	3831.073572713925	30.54753271747938	6099.950642903379
67	23.064015855736436	2894.4004316098226	41.484200906262494	3650.9248262127744	45.5732416214775	3876.6468143354027	30.83252581836	6183.455400328105
68	15.774298022856739	2937.1224887550597	53.999083456922996	3704.923909669697	43.15113009837666	3919.7979444337784	29.712806952261232	6263.9275858238125
69	14.056044504233721	2975.1909426206926	59.58598024180699	3764.5098899115037	52.79766580807266	3972.5956102418513	33.372430112891074	6354.311250712892
70	12.960220779860677	3010.291540566149	49.25723995786483	3813.767129869369	42.783918998318	4015.3795292401696	35.06069627372714	6449.267303120902
71	13.605173314031264	3047.1388849583163	44.14175334460566	3857.9088832139746	51.60256561223682	4066.982094852406	36.77223280075422	6548.8587669562785
72	16.544679574428187	3091.9473921390595	34.621487179739326	3892.5303703937134	61.45385017543983	4128.435945027847	37.225716144892615	6649.678414848696
73	16.979202449809844	3137.932732107294	48.55640784982533	3941.0867782435394	48.93409681972933	4177.3700418475755	38.10635658413206	6752.883130597387
74	13.44933260850683	3174.358007922	36.017498278462	3977.104276522001	58.787800391801	4236.157842239377	36.288697639394215	6851.165020037413
75	14.162381868167628	3212.714458814954	42.1132734442215	4019.2175499662226	48.084128631104335	4284.241970870481	31.626218266157533	6936.819361174923
76	12.944071485301844	3247.7713190876466	45.465533336336335	4064.6830833025583	48.60055455721666	4332.842525427697	33.27941310801636	7026.951105009134
77	13.389544696789844	3284.034669308119	41.57323740786333	4106.256320710422	55.76168640122916	4388.604211828927	31.010804084541967	7110.938699404769
78	15.656384103621596	3326.437376255428	50.38104520891333	4156.637365919334	60.31020090645316	4448.91441273538	31.044170953187077	7195.016662402984
79	15.915690916547813	3369.542372487745	52.550824004539	4209.188189923875	68.74669054007218	4517.661103275453	31.81445766122068	7281.18081856879
80	16.605621046082774	3414.5159294875525	40.772779011204	4249.960968935078	46.261685117284	4563.922788392736	31.581866391444187	7366.715040045618
81	20.70393861032714	3470.589096557189	47.201076531641	4297.16204546672	48.50341278904184	4612.426201181778	31.38147148112252	7451.706525306991
82	13.415114479254278	3506.9216982718353	45.768693671115834	4342.930739137835	53.175345387085166	4665.601546568862	32.90875536275557	7540.834404414454
83	13.605626665604309	3543.770270491181	34.3754300219345	4377.3061691597695	48.61782767251967	4714.219374241383	33.41708362632794	7631.339005902426
84	12.857496095541602	3578.592655749939	40.528018651139	4417.834187810909	51.07481404612917	4765.294188287512	34.21590911758523	7724.0070930958855
85	13.745034289228613	3615.8187902832665	51.29117467422	4469.125362485128	45.02128043920667	4810.315468726719	38.12384133247015	7827.2591633713255
86	13.304047179310523	3651.8505847272327	41.74646545994567	4510.871827945074	64.625090762371	4874.9405594890895	36.19069090007114	7925.275617892352
87	13.370368950398397	3688.0620006345616	46.54278537215933	4557.4146133172335	61.51563716795266	4936.456196657041	34.114530749266706	8017.669138671616
88	13.549004430513785	3724.757220967203	47.129160267533	4604.543773584766	44.8289825754795	4981.285179232521	34.934822504562455	8112.284282954805
89	13.68956037340966	3761.8331136451875	72.04733073667117	4676.591104321437	51.2978695286395	5032.583048761161	37.43407914479335	8213.668247305286
90	17.217058419395997	3808.462646864385	51.568103308558165	4728.159207629996	49.21718266951867	5081.80023143068	38.45936244869908	8317.829020603847
91	23.155626964749228	3871.1758032272473	43.11698050419983	4771.276188134197	69.12414200626283	5150.924373436942	37.05882906728565	8418.196682661077
92	19.166843040041904	3923.0860031273614	48.40274385658867	4819.678931990785	63.522627072257336	5214.4470005092	37.878146538953544	8520.783329537411
93	13.162524511178583	3958.7345070118035	45.27047792318533	4864.94940991397	49.75144762516967	5264.19844813437	30.550913524580125	8603.525386999816
94	13.23216693032935	3994.5716257814456	43.661038847242	4908.610448761212	63.71701352540901	5327.915461659778	31.856718259858155	8689.803998953597
95	12.992311476983813	4029.75913603161	49.015366001587346	4957.6258147628	69.357663719628	5397.273125379405	41.10462783000074	8801.12903265985
96	13.176188242031078	4065.4446458537777	44.81217905465433	5002.437993817454	62.68414782673499	5459.9572732061415	32.96666868673662	8890.413760353094
97	15.411888465272307	4107.18517711389	44.10775791108233	5046.545751728536	61.75421613838733	5521.711489344529	33.69567739190455	8981.672886622837
98	12.973019611816243	4142.3204385625595	47.279043777206674	5093.824795505742	57.01274250568567	5578.724231850214	33.1735520959008	9071.517923549234
99	13.784536653569724	4179.6535586659775	44.68683869143367	5138.511634197176	77.171851921631	5655.896083771845	30.233955255128862	9153.401552365209
