policy	joules	run
oracle	4109.722075644781	r0
oracle	4249.5850416871735	r1
vbde50	5431.868564579525	r2
vbde50	5020.977867066107	r3
vbde50	5237.515553964021	r4
vbde50	5168.806453443739	r5
vbde50	4602.161072038547	r6
vbde50	5369.740294091117	r7
static2	5240.352371767675	r8
static2	5106.79061842278	r9
static2	6154.665235659165	r10
static2	4962.572382832782	r11
static2	7780.342191665214	r12
static2	4690.653702283454	r13
pessimist	9164.229207642193	r14
pessimist	9142.573897088223	r15
