==RUN 0==
Accepted:104 Acc-Reject:0 Worse-Reject:0
Accepted:105 Acc-Reject:0 Worse-Reject:0
Accepted:106 Acc-Reject:0 Worse-Reject:0
Accepted:107 Acc-Reject:0 Worse-Reject:0
Accepted:108 Acc-Reject:0 Worse-Reject:0
Accepted:109 Acc-Reject:0 Worse-Reject:0
Accepted:110 Acc-Reject:0 Worse-Reject:0
Accepted:111 Acc-Reject:0 Worse-Reject:0
Accepted:112 Acc-Reject:0 Worse-Reject:0
Accepted:113 Acc-Reject:0 Worse-Reject:0
Accepted:114 Acc-Reject:0 Worse-Reject:0
Accepted:115 Acc-Reject:0 Worse-Reject:0
Accepted:116 Acc-Reject:0 Worse-Reject:0
ETask 5-5: Configuration:0 Energy:101.59844007954001 Reward:-36.39347107326806 Raw:36.39347107326806 Time:32503 TotalReward:518.569281414678
Accepted:117 Acc-Reject:0 Worse-Reject:0
Accepted:118 Acc-Reject:0 Worse-Reject:0
Accepted:119 Acc-Reject:0 Worse-Reject:0
Accepted:120 Acc-Reject:0 Worse-Reject:0
Accepted:121 Acc-Reject:0 Worse-Reject:0
Accepted:122 Acc-Reject:0 Worse-Reject:0
Accepted:123 Acc-Reject:0 Worse-Reject:0
Accepted:124 Acc-Reject:0 Worse-Reject:0
Accepted:125 Acc-Reject:0 Worse-Reject:0
Accepted:126 Acc-Reject:0 Worse-Reject:0
Accepted:127 Acc-Reject:0 Worse-Reject:0
Accepted:128 Acc-Reject:0 Worse-Reject:0
Accepted:129 Acc-Reject:0 Worse-Reject:0
Accepted:130 Acc-Reject:0 Worse-Reject:0
Accepted:131 Acc-Reject:0 Worse-Reject:0
Accepted:132 Acc-Reject:0 Worse-Reject:0
Accepted:133 Acc-Reject:0 Worse-Reject:0
Accepted:134 Acc-Reject:0 Worse-Reject:0
Accepted:135 Acc-Reject:0 Worse-Reject:0
Accepted:136 Acc-Reject:0 Worse-Reject:0
Accepted:137 Acc-Reject:0 Worse-Reject:0
ETask 6-6: Configuration:0 Energy:84.65503527900002 Reward:-30.324191741731358 Raw:30.324191741731358 Time:32504 TotalReward:603.224316693678
Accepted:138 Acc-Reject:0 Worse-Reject:0
Accepted:139 Acc-Reject:0 Worse-Reject:0
Accepted:140 Acc-Reject:0 Worse-Reject:0
Accepted:141 Acc-Reject:0 Worse-Reject:0
Accepted:142 Acc-Reject:0 Worse-Reject:0
Accepted:143 Acc-Reject:0 Worse-Reject:0
