task	r0_energy	r0_config	r0_reward	r0_rate	r0_avgrate	r0_rollrate	r1_energy	r1_config	r1_reward	r1_rate	r1_avgrate	r1_rollrate	c0	c1	c2	c3	c4	c5	c6	c7	c8	c9	c10	c11	c12	c13	c14	c15	c16	c17	c18	c19
0	2.94388198032431	0	46.193652969955	17.05611801967569	17.05611801967569	17.05611801967569	7.952235474722466	0	32.62936225596	12.047764525277534	12.047764525277534	12.047764525277534	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	6.11340892964923	1	83.803170452155	13.88659107035077	15.47135454501323	15.47135454501323	5.025597510747568	1	73.185035664352	14.974402489252432	13.511083507264983	13.511083507264983	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	8.381967573163076	2	115.268674941505	11.618032426836924	14.186913838954462	14.186913838954462	7.083922146240987	2	108.16607985161599	12.916077853759013	13.312748289429658	13.312748289429658	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	10.909066282498465	3	198.980729456605	30.909066282498465	18.367451949840465	18.367451949840465	8.202765418813907	3	140.116923508995	11.797234581186093	12.933869862368766	12.933869862368766	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	8.503744591323077	4	276.178371058105	28.503744591323077	20.39471047813699	20.39471047813699	5.729217357775507	4	209.80022051963698	25.729217357775507	15.492939361450116	15.492939361450116	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	4.648334092676926	5	317.755799557105	15.351665907323074	19.554203049668004	19.554203049668004	6.553037186606645	5	246.21907813924398	13.446962813393355	15.151943270107322	15.151943270107322	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	4.245403418812309	6	360.42449863115496	15.754596581187691	19.011402125599385	19.011402125599385	0.12668473929328883	6	300.042640303658	19.87331526070671	15.826424983050092	15.826424983050092	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
7	4.098456669190773	7	403.49117848542994	15.901543330809227	18.622669776250618	18.622669776250618	1.904059903123695	7	359.366135874618	21.904059903123695	16.586129348059295	16.586129348059295	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
8	1.960560823076925	8	452.34799292292996	18.039439176923075	18.557866376325336	18.557866376325336	0.40313113619286156	8	412.440989047429	19.59686886380714	16.92065596092017	16.92065596092017	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
9	4.528982551852312	9	494.24866517832993	15.471017448147688	18.24918148350757	18.24918148350757	21.0695086678203	9	523.6709083561091	41.0695086678203	19.335541231610183	19.335541231610183	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
10	7.51996987642794	10	568.781916926989	27.51996987642794	19.091980428318514	19.295566669182794	9.921195526477778	10	604.707479573653	29.921195526477778	20.29787344023451	21.122884331730205	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
11	6.7363227810272	11	604.704376061707	13.2636772189728	18.60628849420637	19.233275284044996	4.511704945737112	11	646.654945345615	15.488295054262888	19.89707524140354	21.17427358823125	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
12	7.167041842154463	12	639.460304405872	12.832958157845537	18.16218616064015	19.354767857145855	8.190427888157046	12	678.639203148523	11.809572111842954	19.274959616052726	21.063623014039642	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
13	8.802416925654152	13	669.787091898892	11.197583074345848	17.66471451161913	17.383619536330592	5.4967123420795065	13	717.918940555391	14.503287657920493	18.93412590475757	21.33422832171308	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
14	7.4833673680539015	14	744.221211854038	27.4833673680539	18.319291368714783	17.28158181400368	8.236731945976127	14	749.777791535039	11.763268054023873	18.456068714708653	19.93763339133792	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
15	4.227460068906341	15	786.9385075007499	15.77253993109366	18.16011940386346	17.323669216380736	12.696112638928732	15	838.329763265471	32.69611263892873	19.34607145997241	21.862548373891457	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
16	8.81872327344012	16	864.9892163663169	28.81872327344012	18.787096102073853	18.630081885605982	2.41322143053981	16	899.032237973183	22.41322143053981	19.526492046476374	22.116538990874766	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
17	5.960002082107078	17	903.0142107272769	14.039997917892922	18.523368425174915	18.44392734431435	0.0501008338628921	17	953.063214881471	19.949899166137108	19.550014664235306	21.921122917176106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
18	5.694508523989171	18	941.7582501414729	14.305491476010829	18.3013749015347	18.070532574223126	11.672420396646402	18	1038.842686789055	31.6724203966464	20.18803601857273	23.128678070460033	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
19	10.63119403968529	19	1024.717733998954	30.63119403968529	18.91786585844223	19.586550233376887	10.094182108487388	19	1120.347763332875	30.094182108487388	20.683343323068463	22.03114541452674	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
20	1.436655060476923	3	1074.9934598768289	18.563344939523077	18.900983909922267	18.690887739686396	8.527159561274093	13	1151.420039521091	11.472840438725907	20.24474794762358	20.186309905751553	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
