policy	round	interaction	rate	joules	win
r1	0	65	23.06891490016546	62.108617038907006	57.88
r1	1	79	16.825070421425345	42.06267605356335	44.8
r1	2	96	20.0673950805738	53.11957521328358	52.41
r1	3	107	22.803148890399882	51.82533838727247	46.3
r2	0	17	19.6333396745668	51.97060502091211	52.8
r2	1	28	21.5898189280012	49.06777029091182	51.01
r2	2	45	24.65675716561324	65.26788661485858	71.6
r2	3	59	22.076702041752746	55.19175510438186	50.59
r2	4	70	25.464251572538043	57.87329902849555	52.81
r2	5	81	24.459028522938237	55.588701188495996	54.2
r2	6	94	19.933939048005666	53.66829743693832	53.84
r2	7	106	23.740365115470166	59.35091278867541	63.22
