task	r0_energy	r0_config	r0_reward	r0_rate	c0	c1	c2	c3	c4	c5	c6	c7	c8	c9	c10	c11
0	47.129453196624006	0	47.129453196624006	16.882192189835465	1	0	0	0	0	0	0	0	0	0	0	0
1	40.11034101962999	0	87.239794216254	14.36788335031522	1	0	0	0	0	0	0	0	0	0	0	0
2	89.11021288632001	1	176.350007102574	31.920076257786274	0	1	0	0	0	0	0	0	0	0	0	0
3	80.34663581227998	1	256.696642914854	28.780884470070447	0	1	0	0	0	0	0	0	0	0	0	0
4	42.563498653311996	2	299.260141568166	15.246626383275938	0	0	1	0	0	0	0	0	0	0	0	0
5	82.04141431116798	2	381.30155587933393	29.387969305493016	0	0	1	0	0	0	0	0	0	0	0	0
6	52.63382469695999	3	433.93538057629394	18.853907354134922	0	0	0	1	0	0	0	0	0	0	0	0
7	114.50753504117401	3	548.442915617468	41.01762449236084	0	0	0	1	0	0	0	0	0	0	0	0
8	92.300778185077	4	640.743693802545	33.06296532002757	0	0	0	0	1	0	0	0	0	0	0	0
9	88.26967677138599	4	729.013370573931	31.618988694227824	0	0	0	0	1	0	0	0	0	0	0	0
10	38.37101852759999	2	767.3843891015309	13.744842457647762	0	0	1	0	0	0	0	0	0	0	0	0
11	34.680097366464004	2	802.0644864679949	12.422721444703523	0	0	1	0	0	0	0	0	0	0	0	0
12	49.722921286115	2	851.78740775411	17.811195684578507	0	0	1	0	0	0	0	0	0	0	0	0
13	78.70219288598702	2	930.489600640097	28.191830287517742	0	0	1	0	0	0	0	0	0	0	0	0
14	72.231010202912	2	1002.720610843009	25.87379469955057	0	0	1	0	0	0	0	0	0	0	0	0
15	40.824538782324	1	1043.5451496253331	14.623715384713075	0	1	0	0	0	0	0	0	0	0	0	0
16	35.370454755384	2	1078.915604380717	12.670013643719642	0	0	1	0	0	0	0	0	0	0	0	0
17	46.3740908526	2	1125.289695233317	16.611614633767164	0	0	1	0	0	0	0	0	0	0	0	0
18	35.011475981496	2	1160.301171214813	12.541424232177672	0	0	1	0	0	0	0	0	0	0	0	0
19	102.11207311998	2	1262.413244334793	36.57745902805253	0	0	1	0	0	0	0	0	0	0	0	0
