policy	energy20	avgenergy
oracle	5133.9460133172915	51.215614460930304
r1	5352.07438426637	53.75733524393364
r2	5478.450603049441	55.03233057439181
r3	6052.938577673837	59.77287622662728
r4	5384.051818089394	53.32074883142468
pessimist	7986.647572869663	79.94227301422548
