task	r0_energy	r0_config	r0_reward	r0_rate	r0_avgrate	r0_rollrate	c0	c1	c2	c3	c4	c5	c6	c7	c8	c9	c10	c11
0	0.0	0	97.39359093750001	0.0	0.0	0.0	1	0	0	0	0	0	0	0	0	0	0	0
1	0.0	0	194.117935245	0.0	0.0	0.0	1	0	0	0	0	0	0	0	0	0	0	0
2	0.0	0	273.4237937925	0.0	0.0	0.0	1	0	0	0	0	0	0	0	0	0	0	0
3	0.0	0	367.1268271125	0.0	0.0	0.0	1	0	0	0	0	0	0	0	0	0	0	0
4	0.0	0	447.2052663975	0.0	0.0	0.0	1	0	0	0	0	0	0	0	0	0	0	0
5	0.0	0	525.6221746425	0.0	0.0	0.0	1	0	0	0	0	0	0	0	0	0	0	0
6	0.0	0	610.1179068075	0.0	0.0	0.0	1	0	0	0	0	0	0	0	0	0	0	0
7	0.0	0	692.6279553375	0.0	0.0	0.0	1	0	0	0	0	0	0	0	0	0	0	0
8	0.0	0	778.0152731324999	0.0	0.0	0.0	1	0	0	0	0	0	0	0	0	0	0	0
9	0.0	0	887.4545541225	0.0	0.0	0.0	1	0	0	0	0	0	0	0	0	0	0	0
10	0.0	0	970.976188715	0.0	0.0	0.0	1	0	0	0	0	0	0	0	0	0	0	0
11	0.0	0	1056.9656998875	0.0	0.0	0.0	1	0	0	0	0	0	0	0	0	0	0	0
12	0.0	0	1137.9588745525	0.0	0.0	0.0	1	0	0	0	0	0	0	0	0	0	0	0
13	0.0	0	1216.4234567225	0.0	0.0	0.0	1	0	0	0	0	0	0	0	0	0	0	0
14	0.0	0	1295.8388130025	0.0	0.0	0.0	1	0	0	0	0	0	0	0	0	0	0	0
15	0.0	0	1380.1292065275	0.0	0.0	0.0	1	0	0	0	0	0	0	0	0	0	0	0
16	0.0	0	1472.1630586649999	0.0	0.0	0.0	1	0	0	0	0	0	0	0	0	0	0	0
17	0.0	0	1566.4890575099998	0.0	0.0	0.0	1	0	0	0	0	0	0	0	0	0	0	0
18	0.0	0	1657.5037200149998	0.0	0.0	0.0	1	0	0	0	0	0	0	0	0	0	0	0
19	0.0	0	1751.8498425674998	0.0	0.0	0.0	1	0	0	0	0	0	0	0	0	0	0	0
20	0.0	0	1838.4291347174997	0.0	0.0	0.0	1	0	0	0	0	0	0	0	0	0	0	0
21	0.0	0	1926.7343307224996	0.0	0.0	0.0	1	0	0	0	0	0	0	0	0	0	0	0
22	0.0	0	2009.0388475949997	0.0	0.0	0.0	1	0	0	0	0	0	0	0	0	0	0	0
23	0.0	0	2090.2194391324997	0.0	0.0	0.0	1	0	0	0	0	0	0	0	0	0	0	0
24	0.0	0	2172.5434914949997	0.0	0.0	0.0	1	0	0	0	0	0	0	0	0	0	0	0
25	0.0	0	2252.2196261824997	0.0	0.0	0.0	1	0	0	0	0	0	0	0	0	0	0	0
26	0.0	0	2344.1922372699996	0.0	0.0	0.0	1	0	0	0	0	0	0	0	0	0	0	0
