task	total
0	33.1
1	39.1
2	35.7
3	28.7
4	32.3
5	42.3
6	37.0
7	29.3
8	31.9
9	39.2
10	36.5
11	29.2
12	32.5
13	39.8
14	36.0
15	28.9
16	32.0
17	38.2
18	35.9
19	29.0
20	32.0
21	39.6
22	35.7
23	28.6
24	32.2
25	39.0
26	36.1
27	28.9
28	31.1
29	39.3
30	36.3
31	28.9
32	32.1
33	40.3
34	36.6
35	29.6
36	32.4
37	40.7
38	37.3
39	29.1
40	33.3
41	39.9
42	39.0
43	30.8
44	32.6
45	41.2
46	37.8
47	29.5
48	33.5
49	41.2
50	36.0
51	28.9
52	33.2
53	40.2
