task	total
0	16.1
1	18.9
2	19.5
3	16.2
4	15.4
5	18.4
6	20.0
7	16.8
8	15.8
9	18.3
10	19.5
11	16.4
12	15.4
13	21.9
14	19.6
15	16.1
16	16.1
17	19.2
18	19.8
19	16.4
20	15.8
21	18.7
22	19.8
23	16.3
24	15.9
25	19.2
26	19.9
27	16.6
28	16.0
29	19.1
30	19.6
31	16.3
32	16.0
33	18.4
34	18.9
35	16.1
36	15.6
37	18.1
38	18.7
39	16.0
40	16.1
41	19.1
42	19.3
43	15.8
44	16.4
45	19.8
46	21.1
47	17.1
48	16.3
49	18.9
50	19.2
51	16.1
52	16.0
53	19.2
