task	total
0	14.9
1	13.1
2	12.5
3	14.1
4	15.0
5	13.3
6	12.4
7	14.0
8	15.2
9	13.8
10	12.7
11	14.1
12	15.0
13	13.5
14	12.5
15	14.0
16	14.8
17	12.9
18	12.8
19	14.4
20	15.0
21	13.3
22	12.9
23	14.4
24	15.1
25	13.2
26	12.6
27	14.0
28	15.0
29	13.5
30	12.8
31	14.6
32	15.7
33	14.0
34	12.7
35	14.0
36	14.7
37	13.5
38	12.8
39	14.4
40	15.2
41	13.6
42	12.8
43	14.2
44	15.0
45	13.1
46	12.6
47	14.1
48	15.2
49	13.4
50	12.8
51	14.1
52	14.7
53	13.1
